"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",0.05,0.544125683060109,0.0111703688052175,0.00111703688052175,"weighted","KO"
"2",0.1,0.50327868852459,0.0165809591546395,0.00165809591546395,"weighted","KO"
"3",0.15,0.465846994535519,0.0175508173970985,0.00175508173970985,"weighted","KO"
"4",0.2,0.431803278688525,0.0178127480928934,0.00178127480928934,"weighted","KO"
"5",0.25,0.391366120218579,0.0235552811237108,0.00235552811237108,"weighted","KO"
"6",0.3,0.35844262295082,0.0237959828526275,0.00237959828526275,"weighted","KO"
"7",0.35,0.32275956284153,0.018570202422048,0.0018570202422048,"weighted","KO"
"8",0.4,0.287158469945355,0.0228612128261705,0.00228612128261705,"weighted","KO"
"9",0.45,0.252868852459016,0.0226053923641587,0.00226053923641587,"weighted","KO"
"10",0.5,0.215901639344262,0.0195178182235748,0.00195178182235748,"weighted","KO"
"11",0.55,0.187267759562842,0.017827558235709,0.0017827558235709,"weighted","KO"
"12",0.6,0.155027322404372,0.0179758275216396,0.00179758275216396,"weighted","KO"
"13",0.65,0.122896174863388,0.017479696674147,0.0017479696674147,"weighted","KO"
"14",0.7,0.0949453551912568,0.0183155648926684,0.00183155648926684,"weighted","KO"
"15",0.75,0.0713661202185792,0.0142807043320755,0.00142807043320755,"weighted","KO"
"16",0.8,0.0459289617486339,0.013179078833854,0.0013179078833854,"weighted","KO"
"17",0.85,0.0280327868852459,0.00950149461256465,0.000950149461256465,"weighted","KO"
"18",0.9,0.0137158469945355,0.00769841890519903,0.000769841890519903,"weighted","KO"
"19",0.95,0.00308743169398907,0.00430089602515329,0.000430089602515329,"weighted","KO"
"20",1,0,0,0,"weighted","KO"
"21",0.05,0.497950819672131,0.0141485890332888,0.00141485890332888,"unweighted","KO"
"22",0.1,0.460956284153005,0.0168395045944113,0.00168395045944113,"unweighted","KO"
"23",0.15,0.42827868852459,0.0232305365466475,0.00232305365466475,"unweighted","KO"
"24",0.2,0.389781420765027,0.0229820109398212,0.00229820109398212,"unweighted","KO"
"25",0.25,0.357595628415301,0.0236037615969799,0.00236037615969799,"unweighted","KO"
"26",0.3,0.321639344262295,0.0258622939847493,0.00258622939847493,"unweighted","KO"
"27",0.35,0.297650273224044,0.0257094705188647,0.00257094705188647,"unweighted","KO"
"28",0.4,0.260846994535519,0.0224953121843,0.00224953121843,"unweighted","KO"
"29",0.45,0.226065573770492,0.0208791020386573,0.00208791020386573,"unweighted","KO"
"30",0.5,0.193633879781421,0.0231989643441145,0.00231989643441145,"unweighted","KO"
"31",0.55,0.170710382513661,0.0218733731346267,0.00218733731346267,"unweighted","KO"
"32",0.6,0.137267759562842,0.018782031573191,0.0018782031573191,"unweighted","KO"
"33",0.65,0.113825136612022,0.0213561521223938,0.00213561521223938,"unweighted","KO"
"34",0.7,0.0888251366120219,0.0172386790383734,0.00172386790383734,"unweighted","KO"
"35",0.75,0.0639071038251366,0.0164159428670747,0.00164159428670747,"unweighted","KO"
"36",0.8,0.0448907103825137,0.0120402532291009,0.00120402532291009,"unweighted","KO"
"37",0.85,0.0268579234972678,0.0116312355449545,0.00116312355449545,"unweighted","KO"
"38",0.9,0.012103825136612,0.00838548267879878,0.000838548267879878,"unweighted","KO"
"39",0.95,0.00325136612021858,0.00383841991376065,0.000383841991376065,"unweighted","KO"
"40",1,0,0,0,"unweighted","KO"
