"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",1,0.645190217391304,0.00398129418594113,0.000398129418594113,"weighted","OE"
"2",2,0.64258152173913,0.00550913944909656,0.000550913944909656,"weighted","OE"
"3",3,0.64179347826087,0.006444193864926,0.0006444193864926,"weighted","OE"
"4",4,0.639103260869565,0.00720192848556093,0.000720192848556093,"weighted","OE"
"5",5,0.637119565217391,0.00790995749571186,0.000790995749571186,"weighted","OE"
"6",6,0.635190217391304,0.00764092826039173,0.000764092826039173,"weighted","OE"
"7",7,0.634103260869565,0.00792837100558734,0.000792837100558734,"weighted","OE"
"8",8,0.631902173913043,0.00853584070048601,0.000853584070048601,"weighted","OE"
"9",9,0.630190217391304,0.00799134093863587,0.000799134093863587,"weighted","OE"
"10",10,0.629565217391304,0.00776203784098502,0.000776203784098502,"weighted","OE"
"11",11,0.629375,0.00686469044182196,0.000686469044182196,"weighted","OE"
"12",12,0.627391304347826,0.00632621184077925,0.000632621184077925,"weighted","OE"
"13",13,0.626222826086957,0.00590033605023635,0.000590033605023635,"weighted","OE"
"14",14,0.625298913043478,0.00497469237773725,0.000497469237773725,"weighted","OE"
"15",15,0.624157608695652,0.00402674719936332,0.000402674719936332,"weighted","OE"
"16",16,0.622336956521739,0.00390038148040088,0.000390038148040088,"weighted","OE"
"17",17,0.622092391304348,0.00186254920062182,0.000186254920062182,"weighted","OE"
"18",18,0.622282608695652,0,0,"weighted","OE"
"19",1,0.622635869565217,0.00249277540626877,0.000249277540626877,"unweighted","OE"
"20",2,0.619864130434783,0.00386030356127474,0.000386030356127474,"unweighted","OE"
"21",3,0.616684782608696,0.0045833365880828,0.00045833365880828,"unweighted","OE"
"22",4,0.613315217391304,0.0062338083403459,0.00062338083403459,"unweighted","OE"
"23",5,0.611114130434783,0.00635696874928331,0.000635696874928331,"unweighted","OE"
"24",6,0.608777173913043,0.00616105486719817,0.000616105486719817,"unweighted","OE"
"25",7,0.606739130434783,0.0065555047444719,0.00065555047444719,"unweighted","OE"
"26",8,0.602880434782609,0.00730807887487414,0.000730807887487414,"unweighted","OE"
"27",9,0.601657608695652,0.00702790517416675,0.000702790517416675,"unweighted","OE"
"28",10,0.599809782608696,0.00656431671307887,0.000656431671307887,"unweighted","OE"
"29",11,0.598777173913043,0.0064902690985275,0.00064902690985275,"unweighted","OE"
"30",12,0.596032608695652,0.00558664635692364,0.000558664635692364,"unweighted","OE"
"31",13,0.593858695652174,0.00498255774580169,0.000498255774580169,"unweighted","OE"
"32",14,0.593885869565217,0.00486063372424382,0.000486063372424382,"unweighted","OE"
"33",15,0.591440217391304,0.00420222766782213,0.000420222766782213,"unweighted","OE"
"34",16,0.590380434782609,0.00375699877723028,0.000375699877723028,"unweighted","OE"
"35",17,0.589483695652174,0.00197904465258252,0.000197904465258252,"unweighted","OE"
"36",18,0.589673913043478,0,0,"unweighted","OE"
