"","KO","Means","SD"
"num.edges",389,389,0
"num.pos.edges",256,0,0
"num.neg.edges",133,0,0
"num.vertices",368,368,0
"connectance",0.00576057339177823,0.00576057339177823,0
"average.degree",2.11413043478261,2.11413043478261,0
"average.path.length",1,7.1172845746474,0.304660459107408
"diameter",1,17.34,1.81029603025906
"edge.connectivity",0,0,0
"clustering.coefficient",1,0.00568149529891626,0.00458965091371617
"no.clusters",136,53.01,5.04423863772754
"centralization.degree",0.0105882004501836,0.0145936500414643,0.00269588048676763
"centralization.betweenness",0,0.089806155790611,0.018304192493403
"centralization.closeness",5.88445033930814e-05,0.00474443183840985,0.00025992626056267
