"","KO","Means","SD"
"num.edges",395,395,0
"num.pos.edges",240,0,0
"num.neg.edges",155,0,0
"num.vertices",374,374,0
"connectance",0.00566300124729395,0.00566300124729395,0
"average.degree",2.11229946524064,2.11229946524064,0
"average.path.length",1,7.12791473516203,0.289332763365788
"diameter",1,17.51,1.88291092071652
"edge.connectivity",0,0,0
"clustering.coefficient",1,0.00558679277980043,0.00454670335938846
"no.clusters",137,54.27,4.79236556167908
"centralization.degree",0.00774182448997147,0.0145514759645023,0.00245241303608155
"centralization.betweenness",0,0.0896118696363058,0.0204689894804948
"centralization.closeness",4.22005594741339e-05,0.00466052993611146,0.000226085794874494
