"","KO","OE","WT"
"num.edges(L)","469","389","395"
"num.pos.edges","276","256","240"
"num.neg.edges","193","133","155"
"num.vertices(n)","366","368","374"
"Connectance(edge_density)","0.00702148364398533","0.00576057339177823","0.00566300124729395"
"average.degree(Average K)","2.56284153005464","2.11413043478261","2.11229946524064"
"average.path.length","1","1","1"
"diameter","1","1","1"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","1","1","1"
"no.clusters","122","136","137"
"centralization.degree","0.0121565985477955","0.0105882004501836","0.00774182448997147"
"centralization.betweenness","0","0","0"
"centralization.closeness","6.81950777943874e-05","5.88445033930814e-05","4.22005594741339e-05"
"RM(relative.modularity)","0.618471423638742","0.490068649426585","0.510847544304792"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
