"","Row.names","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4","Arabidopsis_00h_Arabidopsis_02h_log2_FC","Arabidopsis_00h_Arabidopsis_02h_Pvalue","Arabidopsis_00h_Arabidopsis_02h_fdr","Arabidopsis_00h_Arabidopsis_04h_log2_FC","Arabidopsis_00h_Arabidopsis_04h_Pvalue","Arabidopsis_00h_Arabidopsis_04h_fdr","Arabidopsis_00h_Arabidopsis_1d_log2_FC","Arabidopsis_00h_Arabidopsis_1d_Pvalue","Arabidopsis_00h_Arabidopsis_1d_fdr","Arabidopsis_00h_Arabidopsis_4d_log2_FC","Arabidopsis_00h_Arabidopsis_4d_Pvalue","Arabidopsis_00h_Arabidopsis_4d_fdr","Arabidopsis_00h_Arabidopsis_p5h_log2_FC","Arabidopsis_00h_Arabidopsis_p5h_Pvalue","Arabidopsis_00h_Arabidopsis_p5h_fdr","Arabidopsis_02h_Arabidopsis_04h_log2_FC","Arabidopsis_02h_Arabidopsis_04h_Pvalue","Arabidopsis_02h_Arabidopsis_04h_fdr","Arabidopsis_02h_Arabidopsis_1d_log2_FC","Arabidopsis_02h_Arabidopsis_1d_Pvalue","Arabidopsis_02h_Arabidopsis_1d_fdr","Arabidopsis_02h_Arabidopsis_4d_log2_FC","Arabidopsis_02h_Arabidopsis_4d_Pvalue","Arabidopsis_02h_Arabidopsis_4d_fdr","Arabidopsis_02h_Arabidopsis_p5h_log2_FC","Arabidopsis_02h_Arabidopsis_p5h_Pvalue","Arabidopsis_02h_Arabidopsis_p5h_fdr","Arabidopsis_04h_Arabidopsis_1d_log2_FC","Arabidopsis_04h_Arabidopsis_1d_Pvalue","Arabidopsis_04h_Arabidopsis_1d_fdr","Arabidopsis_04h_Arabidopsis_4d_log2_FC","Arabidopsis_04h_Arabidopsis_4d_Pvalue","Arabidopsis_04h_Arabidopsis_4d_fdr","Arabidopsis_04h_Arabidopsis_p5h_log2_FC","Arabidopsis_04h_Arabidopsis_p5h_Pvalue","Arabidopsis_04h_Arabidopsis_p5h_fdr","Arabidopsis_1d_Arabidopsis_4d_log2_FC","Arabidopsis_1d_Arabidopsis_4d_Pvalue","Arabidopsis_1d_Arabidopsis_4d_fdr","Arabidopsis_1d_Arabidopsis_p5h_log2_FC","Arabidopsis_1d_Arabidopsis_p5h_Pvalue","Arabidopsis_1d_Arabidopsis_p5h_fdr","Arabidopsis_4d_Arabidopsis_p5h_log2_FC","Arabidopsis_4d_Arabidopsis_p5h_Pvalue","Arabidopsis_4d_Arabidopsis_p5h_fdr","Arabidopsis_00h","Arabidopsis_02h","Arabidopsis_04h","Arabidopsis_1d","Arabidopsis_4d","Arabidopsis_p5h","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name","id"
"1","2-deoxyadenosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0",0,0,0,0,0,0,"2-deoxyadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyadenosine"
"2","2-deoxyguanosine",0.000117756168319921,0,0.000221079949196905,1.60371218218336e-05,0.000550746778194786,0.000246092209075933,0,0.000193670551092637,0,0.000413296881370595,4.93176726854591e-05,0,3.35095194658061e-05,0,3.30214202208418e-05,0,0,2.12557027515014e-05,4.76376620331663e-06,0,0,0,0,0,"0.161297921176744","0.459597386183942","0.459597386183942","0.295388533866917","0.183150203156622","0.183150203156622","-0.19655639857266","0.38363032713199","0.38363032713199","0.309832975532648","0.183150203156622","0.183150203156622","0.319187124368318","0.0689184442895021","0.0689184442895021","0.134090612690172","0.644552170515899","0.644552170515899","-0.0352584773959153","0.882420114075504","0.882420114075504","0.148535054355904","0.644552170515899","0.644552170515899","0.157889203191573","0.185876732365876","0.185876732365876","0.098832135294257","0.459597386183942","0.459597386183942","0.0144444416657311","0.644552170515899","0.644552170515899","0.0237985905014009","0.185876732365876","0.185876732365876","0.113276576959988","0.300522311495472","0.300522311495472","0.122630725795658","0.0689184442895021","0.0689184442895021","0.00935414883566941","0.185876732365876","0.185876732365876",0.000247627384590839,0.000115653638514014,1.6632734921662e-05,8.87183098346651e-05,6.5048672387045e-06,0,"2-deoxyguanosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyguanosine"
"3","2-hydroxypyridine",0,0.0210239837300375,0,0,3.29092333023668,2.48417143381438,0.20884572872599,6.76123261733942,0,0,0,0.871937482380305,0.293559279278972,0.0300517193549276,0,0,0,0,0,0.373128471825218,1.85803721999651,2.23223773234901,0,0.192121525276436,"3.863431963999","0.0545144786438286","0.0545144786438286","5.28227607683301","0.0590718680155165","0.0590718680155165","-8.99287648425702","0.0265187219594307","0.0265187219594307","5.07920379631488","0.0545144786438286","0.0545144786438286","1.57256647348852","0.112351197690464","0.112351197690464","1.41884411283401","0.868661062991067","0.868661062991067","-5.12944452025802","1","1","1.21577183231588","1","1","-2.29086549051048","0.21860373720806","0.21860373720806","-3.71060040742401","0.408351969325938","0.408351969325938","-0.203072280518126","0.868661062991067","0.868661062991067","-3.70970960334448","0.300522311495472","0.300522311495472","-3.91367268794214","1","1","-7.4203100107685","0.124094658828252","0.124094658828252","-3.50663732282636","0.21860373720806","0.21860373720806",3.18629327752912,0.217984370595076,0.080902749658475,0.00525599593250936,0.0932821179563046,1.07059911940549,"2-hydroxypyridine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-hydroxypyridine"
"4","3-methoxytyramine",0,7.79285462200816e-05,0,0,0.00374898387875982,0.00334447120285425,0.000519877702883505,0.00285395476328646,0.0273032962726798,0.000233473280113714,7.84446940091536e-05,0.000186043718437031,0,0,0,0,0,0,0,0.000150026704561563,0.000360663799093961,0.00115425912447602,0,0.000336517427028192,"-1.13628937717946","0.312321421676216","0.312321421676216","1.85472255316461","0.0210705701343787","0.0210705701343787","-1.82688605660291","0.0265187219594307","0.0265187219594307","1.80160193323166","0.0265187219594307","0.0265187219594307","1.30593076079462","0.0606019697120061","0.0606019697120061","2.99101193034407","0.0210705701343787","0.0210705701343787","-2.96317543378237","0.0265187219594307","0.0265187219594307","2.93789131041112","0.0545144786438286","0.0545144786438286","2.44222013797408","0.885233914473202","0.885233914473202","0.0278364965617002","0.453254704753736","0.453254704753736","-0.0531206199329552","0.453254704753736","0.453254704753736","-0.548791792369996","0.0689184442895021","0.0689184442895021","-0.025284123371255","1","1","-0.520955295808296","0.124094658828252","0.124094658828252","-0.495671172437041","0.124094658828252","0.124094658828252",0.00261682188694601,0.00695031449130993,0,1.94821365550204e-05,3.75066761403908e-05,0.000462860087649543,"3-methoxytyramine","HMDB0000022","C05587","belongs to the class of organic compounds known as methoxyphenols. Methoxyphenols are compounds containing a methoxy group attached to the benzene ring of a phenol moiety.","Organic compounds","Benzenoids","Phenols","Methoxyphenols","554-52-9",NA,NA,"223438743",NA,"C05587","  1582",NA,"3-Methoxytyramine","3-methoxytyramine"
"5","3-methyladenine",0.0575950426212745,0.0110090691691854,0.0309931308461161,0.437572095740094,0.00443185310448446,0.00679511356500011,0.00408621729319044,0.00294447580696116,0.00776311084081259,0.122958852946804,0.0056633550434226,0.00456479485524268,0.00859238964421899,0.00447777945094592,0.000320251259906032,0.00439485788119921,0.0364078239552565,0.0195408361929487,0.428692290073408,0.461101919676938,0.00246748889036348,0.00580363627490482,0.0081386840757168,0.00545542946723262,"-2.70318264800471","0.112351197690464","0.112351197690464","0.0309483726865176","0.885233914473202","0.885233914473202","4.60370628435877","0.0303828219765775","0.0303828219765775","-5.41516315911968","0.0303828219765775","0.0303828219765775","-0.216712594313051","0.665005542102029","0.665005542102029","2.73413102069123","0.193930852282411","0.193930852282411","1.90052363635405","0.193930852282411","0.193930852282411","-2.71198051111496","0.112351197690464","0.112351197690464","2.48647005369166","0.665005542102029","0.665005542102029","4.63465465704529","0.0303828219765775","0.0303828219765775","-5.4461115318062","0.0303828219765775","0.0303828219765775","-0.247660966999568","0.665005542102029","0.665005542102029","-0.81145687476091","0.665005542102029","0.665005542102029","4.38699369004572","0.0303828219765775","0.0303828219765775","5.19845056480663","0.0303828219765775","0.0303828219765775",0.00456441494240904,0.0352375284215705,0.00444631955906754,0.134292334594167,0.236435717474638,0.00546630967705443,"3-methyladenine","HMDB0011600",NA,NA,NA,NA,NA,NA,"5142-23-4","DTXSID80199406","DTXCID70121897","315759746"," 1673","C00913"," 38635","DB04104","3-Methyladenine","3-methyladenine"
"6","4-aminobutanoic acid",3.58692670489545,7.12050539756842,2.43228184877781,3.73120439615709,3.42280227139542,1.2591472664602,3.20468068860025,2.54496398450545,0,1.83773478194962,1.73580756726582,2.50152176311136,7.81385618712254,8.26223552838316,3.13862086705665,7.54849348770789,5.15414877701251,5.90650092247232,4.15919472373851,5.88939686283282,5.19754681395102,3.43854900447677,1.25331271739737,3.62828087803899,"0.779591611793024","0.193930852282411","0.193930852282411","-1.35895380898296","0.112351197690464","0.112351197690464","0.693367770387909","0.193930852282411","0.193930852282411","-1.01663532591973","0.0303828219765775","0.0303828219765775","-0.373762663662787","0.312321421676216","0.312321421676216","-2.13854542077599","0.0303828219765775","0.0303828219765775","1.47295938218093","0.0606019697120061","0.0606019697120061","-1.79622693771276","0.0303828219765775","0.0303828219765775","-1.15335427545581","0.193930852282411","0.193930852282411","-0.665586038595054","0.193930852282411","0.193930852282411","0.34231848306323","0.312321421676216","0.312321421676216","0.985191145320176","0.193930852282411","0.193930852282411","-0.323267555531824","0.312321421676216","0.312321421676216","0.319605106725122","0.665005542102029","0.665005542102029","0.642872662256946","0.112351197690464","0.112351197690464",2.60789855274033,1.5187660280817,6.69080151756756,4.21772958684969,5.27731032151404,3.37942235346604,"4-aminobutanoic acid","HMDB0000112","C00334","belongs to the class of organic compounds known as gamma amino acids and derivatives. These are amino acids having a (-NH2) group attached to the gamma carbon atom.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","56-12-2","DTXSID6035106","DTXCID4015106","315677424","  119","C00334"," 16865","DB02530","4-Aminobutanoic acid","4-aminobutanoic acid"
"7","4-guanidinobutanoic acid",0.00194144010295006,0.00747354045481466,0.0488520920032063,0.00274753975770131,0.0182918035717733,0.0136969607472567,0.00799961327794354,0.0292460486291087,0.0426576053950228,0,0,0,0.000190030336774915,0.00518281401248018,0,0,0,0,0,0,0.010154441269855,0.00514119004213044,0,0.0110412724414579,"0.650409727842934","0.300522311495472","0.300522311495472","2.9659631639066","0.0294010481903397","0.0294010481903397","-0.171757987119776","0.312321421676216","0.312321421676216","4.194450088617","0.0210705701343787","0.0210705701343787","1.27144814504309","0.112351197690464","0.112351197690464","2.31555343606366","0.868661062991067","0.868661062991067","0.478651740723158","0.183150203156622","0.183150203156622","3.54404036077407","0.453254704753736","0.453254704753736","0.621038417200157","0.538472380986992","0.538472380986992","2.79420517678682","0.110210182673421","0.110210182673421","1.2284869247104","0.185876732365876","0.185876732365876","-1.69451501886351","0.300522311495472","0.300522311495472","4.02269210149722","0.0210705701343787","0.0210705701343787","1.09969015792331","1","1","-2.92300194357391","0.0689184442895021","0.0689184442895021",0.0173086065565206,0.0106644013487557,0.00134321108731377,0.0152536530796681,0,0.00658422593836083,"4-guanidinobutanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-guanidinobutanoic acid"
"8","4-hydroxybenzoic acid",0.414946877300567,0.58394534732901,0,0.0278692939511431,0.0782830280642512,0.0456523648271457,0.0406810584366623,0.137744390293443,0.209689573010107,0,0,0,0.051245293426412,0.0232294448010117,0.0191205399739807,0.0660444296936809,0.193943577758001,0.252088413083198,0,0.306429575717619,0.0279173494633385,0.0513794623625109,0,0.0644549360493565,"0.519715393532674","0.300522311495472","0.300522311495472","0.904709039835462","0.312321421676216","0.312321421676216","1.75040677117476","1","1","-1.30403487859601","0.312321421676216","0.312321421676216","1.05205670958189","0.312321421676216","0.312321421676216","0.384993646302787","0.300522311495472","0.300522311495472","2.27012216470743","0.21860373720806","0.21860373720806","-1.82375027212869","0.21860373720806","0.21860373720806","0.532341316049217","0.538472380986992","0.538472380986992","2.65511581101022","0.665005542102029","0.665005542102029","-2.20874391843147","0.312321421676216","0.312321421676216","0.14734766974643","1","1","0.446371892578745","0.771503409140308","0.771503409140308","2.80246348075665","0.771503409140308","0.771503409140308","2.3560915881779","0.245383458473363","0.245383458473363",0.0755902104053756,0.0524223932525268,0.0399099269737713,0.25669037964518,0.188115391639704,0.0359379369688015,"4-hydroxybenzoic acid","HMDB0000500",NA,NA,NA,NA,NA,NA,"99-96-7","DTXSID3026647","DTXCID806647","315675580","  135","C00156"," 30763","DB04242","4-Hydroxybenzoic acid","4-hydroxybenzoic acid"
"9","4-imidazoleacetic acid",2.84222172330067e-05,0.00119253055738368,0,3.07284656491788e-06,0.0010563231128401,0.000561117088226836,0.0025302883696099,0.00140065647683844,0.0055017645688193,0,0,0.00249167494889291,0,0.000635179802624739,0,0,0.000565794147253362,0.000947570581258329,0.000421285827587263,0.00303348392753823,0.00257199298510144,0.000381101083112041,0,0.000483823579634647,"-0.32891680815504","0.884549438852962","0.884549438852962","1.04263144229128","0.0545144786438286","0.0545144786438286","-0.870094773028089","0.112351197690464","0.112351197690464","0.090448833056236","0.665005542102029","0.665005542102029","0.360551948954729","0.312321421676216","0.312321421676216","1.37154825044632","0.408351969325938","0.408351969325938","-1.19901158118313","0.882420114075504","0.882420114075504","0.419365641211276","0.884549438852962","0.884549438852962","0.689468757109768","1","1","0.172536669263187","0.356170327949322","0.356170327949322","-0.95218260923504","0.103753677520986","0.103753677520986","-0.682079493336547","0.356170327949322","0.356170327949322","-0.779645939971853","0.193930852282411","0.193930852282411","-0.50954282407336","0.561363210234124","0.561363210234124","0.270103115898492","0.312321421676216","0.312321421676216",0.00138709626187882,0.00199835987942805,0.000158794950656185,0.000306006405295401,0.0012420336209093,0.000859229411962031,"4-imidazoleacetic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-imidazoleacetic acid"
"10","4-pyridoxic acid",0.000649755553890434,0.000727556893470796,0.00097181561990056,0.00108336765293486,0.00129700005707555,0.000777726223292481,0.000435751918174221,0.00118082693770384,0.00663711313300846,4.07718686496099e-05,9.4228687234688e-05,0,0.000498787212678093,0.000322899670686658,0.00031247168076164,0.00108799407709844,0.00111158471190598,0.00109959971412894,0.00230012001301212,0.00224245639167705,0.00125789646402368,0.000902075676603276,0.000410622552422968,0.00112003569275983,"-0.486001026490232","0.312321421676216","0.312321421676216","0.305814642277285","0.193930852282411","0.193930852282411","-0.0493817022379115","0.665005542102029","0.665005542102029","-0.483540956042675","0.312321421676216","0.312321421676216","0.000126571731830561","0.885233914473202","0.885233914473202","0.791815668767517","0.312321421676216","0.312321421676216","-0.535382728728144","0.312321421676216","0.312321421676216","0.0024600704475576","0.312321421676216","0.312321421676216","0.486127598222063","0.312321421676216","0.312321421676216","0.256432940039373","0.312321421676216","0.312321421676216","-0.789355598319959","0.0303828219765775","0.0303828219765775","-0.305688070545454","0.193930852282411","0.193930852282411","-0.532922658280586","0.0303828219765775","0.0303828219765775","-0.0492551305060809","0.665005542102029","0.665005542102029","0.483667527774505","0.312321421676216","0.312321421676216",0.000922826284061524,0.00169302842222319,0.000555538160306207,0.000858123930049162,0.00168844020768102,0.000922657596452439,"4-pyridoxic acid","HMDB0000017","C00847","belongs to the class of organic compounds known as pyridinecarboxylic acids. Pyridinecarboxylic acids are compounds containing a pyridine ring bearing a carboxylic acid group.","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","82-82-6",NA,NA,"  8144151",NA,"C00847"," 17405",NA,"4-Pyridoxic acid","4-pyridoxic acid"
