"","x","y","Group","ID"
"Arabidopsis-1d.1",-0.131101331888976,0.133814202446802,"Arabidopsis_1d","Arabidopsis-1d.1"
"Arabidopsis-1d.2",-0.233699712282211,0.096173896307722,"Arabidopsis_1d","Arabidopsis-1d.2"
"Arabidopsis-1d.3",-0.07484523915382,0.0741859132211606,"Arabidopsis_1d","Arabidopsis-1d.3"
"Arabidopsis-1d.4",-0.0917622205123954,0.0824647911864784,"Arabidopsis_1d","Arabidopsis-1d.4"
"Arabidopsis-00h.1",0.120650803296075,-0.0887612264844869,"Arabidopsis_00h","Arabidopsis-00h.1"
"Arabidopsis-00h.2",0.195164904830533,-0.0221791386432937,"Arabidopsis_00h","Arabidopsis-00h.2"
"Arabidopsis-00h.3",0.164358063894128,-0.016816836952284,"Arabidopsis_00h","Arabidopsis-00h.3"
"Arabidopsis-00h.4",0.102286550694659,-0.020163903709148,"Arabidopsis_00h","Arabidopsis-00h.4"
"Arabidopsis-02h.1",0.0897807210004254,0.179953652074419,"Arabidopsis_02h","Arabidopsis-02h.1"
"Arabidopsis-02h.2",0.11216942887259,0.119858684914401,"Arabidopsis_02h","Arabidopsis-02h.2"
"Arabidopsis-02h.3",0.0962559896719798,0.100545457277954,"Arabidopsis_02h","Arabidopsis-02h.3"
"Arabidopsis-02h.4",0.183981229630365,-0.113654591679242,"Arabidopsis_02h","Arabidopsis-02h.4"
"Arabidopsis-04h.1",-0.0936729871312836,0.200843742177109,"Arabidopsis_04h","Arabidopsis-04h.1"
"Arabidopsis-04h.2",-0.157869840084129,0.166980373564339,"Arabidopsis_04h","Arabidopsis-04h.2"
"Arabidopsis-04h.3",0.0618460838162565,-0.0228972795507107,"Arabidopsis_04h","Arabidopsis-04h.3"
"Arabidopsis-04h.4",-0.0215254037488267,0.0182669367334655,"Arabidopsis_04h","Arabidopsis-04h.4"
"Arabidopsis-4d.1",-0.299471718059648,-0.188982993060209,"Arabidopsis_4d","Arabidopsis-4d.1"
"Arabidopsis-4d.2",-0.345804523608744,-0.208348032050956,"Arabidopsis_4d","Arabidopsis-4d.2"
"Arabidopsis-4d.3",-0.222981868132106,-0.108639551613938,"Arabidopsis_4d","Arabidopsis-4d.3"
"Arabidopsis-4d.4",-0.265307473251821,-0.108949552047407,"Arabidopsis_4d","Arabidopsis-4d.4"
"Arabidopsis-p5h.1",0.139733548929697,-0.0204271917631363,"Arabidopsis_p5h","Arabidopsis-p5h.1"
"Arabidopsis-p5h.2",0.125935506756039,-0.0201647487326834,"Arabidopsis_p5h","Arabidopsis-p5h.2"
"Arabidopsis-p5h.3",0.383213274800158,-0.167050502497515,"Arabidopsis_p5h","Arabidopsis-p5h.3"
"Arabidopsis-p5h.4",0.162666211661055,-0.0660521011188403,"Arabidopsis_p5h","Arabidopsis-p5h.4"
