"","x","y","Group","ID"
"Arabidopsis-1d.1",-0.146042937006001,-0.157963266665735,"Arabidopsis_1d","Arabidopsis-1d.1"
"Arabidopsis-1d.2",-0.24482651383764,-0.138737611735912,"Arabidopsis_1d","Arabidopsis-1d.2"
"Arabidopsis-1d.3",-0.0613319455964,-0.108516031283693,"Arabidopsis_1d","Arabidopsis-1d.3"
"Arabidopsis-1d.4",-0.10118940168552,-0.108795025127921,"Arabidopsis_1d","Arabidopsis-1d.4"
"Arabidopsis-00h.1",0.152696502930144,0.215968941923346,"Arabidopsis_00h","Arabidopsis-00h.1"
"Arabidopsis-00h.2",0.238294916562916,0.0864672645751486,"Arabidopsis_00h","Arabidopsis-00h.2"
"Arabidopsis-00h.3",0.140350201416293,0.0423228887498771,"Arabidopsis_00h","Arabidopsis-00h.3"
"Arabidopsis-00h.4",0.18935317572438,0.104483364437324,"Arabidopsis_00h","Arabidopsis-00h.4"
"Arabidopsis-02h.1",0.225731724639728,-0.139975005530399,"Arabidopsis_02h","Arabidopsis-02h.1"
"Arabidopsis-02h.2",0.190897189392333,-0.126616655028051,"Arabidopsis_02h","Arabidopsis-02h.2"
"Arabidopsis-02h.3",0.163555157366944,-0.108009266201521,"Arabidopsis_02h","Arabidopsis-02h.3"
"Arabidopsis-02h.4",0.18002601463378,0.140616138341752,"Arabidopsis_02h","Arabidopsis-02h.4"
"Arabidopsis-04h.1",-0.0620759441450996,-0.218323071747456,"Arabidopsis_04h","Arabidopsis-04h.1"
"Arabidopsis-04h.2",-0.114550674991639,-0.224530379940384,"Arabidopsis_04h","Arabidopsis-04h.2"
"Arabidopsis-04h.3",0.0794033672916877,-0.0266358095613309,"Arabidopsis_04h","Arabidopsis-04h.3"
"Arabidopsis-04h.4",-0.0208650927943879,-0.0709878989955647,"Arabidopsis_04h","Arabidopsis-04h.4"
"Arabidopsis-4d.1",-0.404925632927259,0.150437245508909,"Arabidopsis_4d","Arabidopsis-4d.1"
"Arabidopsis-4d.2",-0.47601038579021,0.162296899354334,"Arabidopsis_4d","Arabidopsis-4d.2"
"Arabidopsis-4d.3",-0.292424013263972,0.120096036507504,"Arabidopsis_4d","Arabidopsis-4d.3"
"Arabidopsis-4d.4",-0.339923619675987,0.0984510879738668,"Arabidopsis_4d","Arabidopsis-4d.4"
"Arabidopsis-p5h.1",0.137947686748531,0.0507166877169072,"Arabidopsis_p5h","Arabidopsis-p5h.1"
"Arabidopsis-p5h.2",0.14659172162248,0.0266591836002881,"Arabidopsis_p5h","Arabidopsis-p5h.2"
"Arabidopsis-p5h.3",0.262853174979572,0.143314976696611,"Arabidopsis_p5h","Arabidopsis-p5h.3"
"Arabidopsis-p5h.4",0.156465328405328,0.0872593064321005,"Arabidopsis_p5h","Arabidopsis-p5h.4"
