"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"2-hydroxypyridine",0,2974184.29166667,0,0,77127031.875,109867861.875,4479557.375,165480321.875,0,0,0,18448682.8333333,18094074.9583333,1621943.45833333,0,0,0,0,0,57734544.5,74812649.8333333,62120789.8333333,0,4656547.33333333
"2-deoxyadenosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-deoxyguanosine",12376.4218716667,0,9616.04687166667,1079.67968166667,12907.4609325,10883.9609325,0,4740.0624925,0,27406.4297325,2147.42968250001,0,2065.42187500001,0,1110.64843500001,0,0,3739.3229125,547.846352500001,0,0,0,0,0
"3-methoxytyramine",0,11024.25977,0,0,87862.2714966667,147916.482396667,11150.9199266667,69850.1855466667,715162.05534,15482.01628,3415.70182,3936.36198,0,0,0,0,0,0,0,23213.7832,14521.8912833333,32121.7975333333,0,8156.34440333333
"3-methyladenine",6053360.56163883,1557411.81163883,1348070.68663883,29459008.0616388,103866.192358333,300528.614258333,87645.7705083333,72065.6767583333,203341.100257667,8153613.81895767,246598.350257667,96583.1314576667,529607.998342167,241673.529642167,10771.3889421667,158263.060842167,5184110.24941783,3437641.99941783,49300804.7494178,71346764.7494178,99351.8215543333,161508.993454333,146428.415354333,132226.024654333
"4-aminobutanoic acid",376993568.625,1007311248.625,105794018.625,251198788.625,80217784.9183592,55688514.9183592,68737584.9183592,62287674.9183592,0,121863366.114567,75581926.1145667,52927856.1145667,481621633.3229,445927193.3229,105564943.3229,271828513.3229,733899272.166667,1039077112.16667,478318952.166667,911272312.166667,209275812.992167,95691142.9921667,22549172.9921667,87940492.9921667
"4-guanidinobutanoic acid",204049.453166667,1057253.79686667,2124860.29686667,184974.765666667,428692.003903333,605777.753903333,171584.675803333,715793.378903333,1117341.30727333,0,0,0,11712.87505,279725.46875,0,0,0,0,0,0,408861.91665,143073.82295,0,267612.94795
"4-hydroxybenzoic acid",43611792.75,82608562.75,0,1876266.25,1834663.7083,2019074.7083,872572.9583,3371276.7083,5492451.33333333,0,0,0,3158599.45833333,1253733.45833333,643103.708333333,2378323.45833333,27615627.0833333,44347627.0833333,0,47414157.0833333,1124073.763,1429835.513,0,1562227.138
"4-imidazoleacetic acid",2987.23503,168702.83466,0,206.875650000002,24756.2942733333,24816.6184933333,54272.4622433333,34280.8919233333,144109.092826667,0,0,52719.5146266667,0,34281.7565133333,0,0,80563.43168,166697.49418,48449.04098,469374.02538,103559.610376667,10605.6357466667,0,11726.6787066667
"4-pyridoxic acid",68290.6803366667,102924.750686667,42269.8873666667,72936.4068966667,30396.8688133333,34396.6266233333,9346.49576333333,28900.5914733333,173847.5612,2703.653,4102.98112,0,30743.6822866667,17427.4557266667,10509.7291666667,39179.7135366667,158278.553125556,193442.600025556,264520.193825556,346977.537525556,50648.3759726667,25103.8017626667,7387.78027266667,27146.8759726667
"4-quinolinecarboxylic acid",142331.101563333,261782.101563333,239959.070363333,262645.289063333,287879.971403333,741656.190103333,52678.3776033333,670483.065103333,140564.38608,78402.62048,97757.04238,0,76645.4804433333,38197.2851533333,28105.2070333333,79002.4179433333,0,0,0,0,120100.85612,221962.62172,32695.09831,210140.88742
"5-methylcytosine",1495452.55793333,838835.995433333,857450.807933333,1294525.43293333,214930.386366667,412944.058266667,92729.0191666667,291677.933266667,1823107.49868,385787.09248,269233.93618,22105.76428,240693.716853333,162743.544953333,121261.748053333,314455.685553333,2711046.00422889,26437160.2542289,2818363.75422889,2779020.50422889,220154.673803333,185413.970703333,102088.752003333,204778.330103333
"5-deoxyadenosine",0,0,0,0,0,0,0,0,638721.31989175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-methylthioadenosine",893712.17707,1383070.30207,142179.42707,612346.55207,0,0,0,0,527802.59243,234325.62373,109205.59243,119695.35803,0,0,0,0,278172.012525889,227034.950025889,441203.387525889,569494.950025889,185809.368506667,161397.852906667,43204.6810066667,123828.759106667
"acetylcholine",2847853.67186667,131357109.421867,217589.296866667,1356484.29686667,563430.901033333,5258.40103333327,317202.276033333,0,0,0,0,0,1561378.9427,3961123.1927,0,384018.0677,3200152.30726667,69615429.0572667,2304031.55726667,104746429.057267,606509.208333333,0,0,0
