"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"2-hydroxypyridine",0,0.000210239837300375,0,0,0.0329092333023668,0.0248417143381438,0.0020884572872599,0.0676123261733942,0,0,0,0.00871937482380305,0.00293559279278972,0.000300517193549276,0,0,0,0,0,0.00373128471825218,0.0185803721999651,0.0223223773234901,0,0.00192121525276436
"2-deoxyadenosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-deoxyguanosine",1.17756168319921e-06,0,2.21079949196905e-06,1.60371218218336e-07,5.50746778194786e-06,2.46092209075933e-06,0,1.93670551092637e-06,0,4.13296881370595e-06,4.93176726854591e-07,0,3.35095194658061e-07,0,3.30214202208418e-07,0,0,2.12557027515014e-07,4.76376620331663e-08,0,0,0,0,0
"3-methoxytyramine",0,7.79285462200816e-07,0,0,3.74898387875982e-05,3.34447120285425e-05,5.19877702883505e-06,2.85395476328646e-05,0.000273032962726798,2.33473280113714e-06,7.84446940091536e-07,1.86043718437031e-06,0,0,0,0,0,0,0,1.50026704561563e-06,3.60663799093961e-06,1.15425912447602e-05,0,3.36517427028192e-06
"3-methyladenine",0.000575950426212745,0.000110090691691854,0.000309931308461161,0.00437572095740094,4.43185310448446e-05,6.79511356500011e-05,4.08621729319044e-05,2.94447580696116e-05,7.76311084081259e-05,0.00122958852946804,5.6633550434226e-05,4.56479485524268e-05,8.592389644219e-05,4.47777945094592e-05,3.20251259906032e-06,4.39485788119921e-05,0.000364078239552565,0.000195408361929487,0.00428692290073408,0.00461101919676938,2.46748889036348e-05,5.80363627490482e-05,8.1386840757168e-05,5.45542946723262e-05
"4-aminobutanoic acid",0.0358692670489545,0.0712050539756842,0.0243228184877781,0.0373120439615709,0.0342280227139542,0.012591472664602,0.0320468068860025,0.0254496398450545,0,0.0183773478194962,0.0173580756726582,0.0250152176311136,0.0781385618712254,0.0826223552838316,0.0313862086705665,0.0754849348770789,0.0515414877701251,0.0590650092247232,0.0415919472373851,0.0588939686283282,0.0519754681395102,0.0343854900447677,0.0125331271739737,0.0362828087803899
"4-guanidinobutanoic acid",1.94144010295006e-05,7.47354045481466e-05,0.000488520920032063,2.74753975770131e-05,0.000182918035717733,0.000136969607472567,7.99961327794354e-05,0.000292460486291087,0.000426576053950229,0,0,0,1.90030336774915e-06,5.18281401248018e-05,0,0,0,0,0,0,0.00010154441269855,5.14119004213044e-05,0,0.000110412724414579
"4-hydroxybenzoic acid",0.00414946877300567,0.0058394534732901,0,0.000278692939511431,0.000782830280642512,0.000456523648271457,0.000406810584366623,0.00137744390293443,0.00209689573010107,0,0,0,0.00051245293426412,0.000232294448010117,0.000191205399739807,0.000660444296936809,0.00193943577758001,0.00252088413083198,0,0.00306429575717619,0.000279173494633385,0.000513794623625109,0,0.000644549360493564
"4-imidazoleacetic acid",2.84222172330067e-07,1.19253055738368e-05,0,3.07284656491788e-08,1.0563231128401e-05,5.61117088226836e-06,2.5302883696099e-05,1.40065647683844e-05,5.5017645688193e-05,0,0,2.49167494889291e-05,0,6.35179802624739e-06,0,0,5.65794147253362e-06,9.47570581258329e-06,4.21285827587263e-06,3.03348392753823e-05,2.57199298510144e-05,3.81101083112041e-06,0,4.83823579634647e-06
"4-pyridoxic acid",6.49755553890434e-06,7.27556893470796e-06,9.7181561990056e-06,1.08336765293486e-05,1.29700005707555e-05,7.77726223292481e-06,4.35751918174221e-06,1.18082693770384e-05,6.63711313300846e-05,4.07718686496099e-07,9.4228687234688e-07,0,4.98787212678093e-06,3.22899670686658e-06,3.1247168076164e-06,1.08799407709844e-05,1.11158471190598e-05,1.09959971412894e-05,2.30012001301212e-05,2.24245639167705e-05,1.25789646402368e-05,9.02075676603276e-06,4.10622552422968e-06,1.12003569275983e-05
