"","x","y","Group","ID"
"Brachy-1d.1",-0.122402469393624,-0.022273480115203,"Brachy_1d","Brachy-1d.1"
"Brachy-1d.2",-0.0950189377662793,-0.0315957740105013,"Brachy_1d","Brachy-1d.2"
"Brachy-1d.3",0.125989991685404,-0.152504198084633,"Brachy_1d","Brachy-1d.3"
"Brachy-1d.4",-0.100796875793069,-0.00780646856200384,"Brachy_1d","Brachy-1d.4"
"Brachy-00h.1",0.172823947888224,-0.191619172884964,"Brachy_00h","Brachy-00h.1"
"Brachy-00h.2",0.210304004518149,-0.17181089300989,"Brachy_00h","Brachy-00h.2"
"Brachy-00h.3",0.297553211153713,-0.201106544968408,"Brachy_00h","Brachy-00h.3"
"Brachy-00h.4",-0.0777478080551286,-0.110755748882561,"Brachy_00h","Brachy-00h.4"
"Brachy-02h.1",-0.25301149793281,0.072269760074057,"Brachy_02h","Brachy-02h.1"
"Brachy-02h.2",-0.190037343812944,0.0148920670473332,"Brachy_02h","Brachy-02h.2"
"Brachy-02h.3",-0.0835787226327308,0.10303351743618,"Brachy_02h","Brachy-02h.3"
"Brachy-02h.4",0.136118270617111,0.00138113703217993,"Brachy_02h","Brachy-02h.4"
"Brachy-04h.1",-0.46511689538503,0.0493708528778691,"Brachy_04h","Brachy-04h.1"
"Brachy-04h.2",-0.231192165924978,0.0824838690752114,"Brachy_04h","Brachy-04h.2"
"Brachy-04h.3",-0.235304569765397,0.109972440014282,"Brachy_04h","Brachy-04h.3"
"Brachy-04h.4",0.0247254698809502,-0.0471893468731996,"Brachy_04h","Brachy-04h.4"
"Brachy-4d.1",-0.167406313747362,0.0143739183847476,"Brachy_4d","Brachy-4d.1"
"Brachy-4d.2",-0.208913729343734,-0.0187991227752863,"Brachy_4d","Brachy-4d.2"
"Brachy-4d.3",0.0671326186373967,-0.129947690082018,"Brachy_4d","Brachy-4d.3"
"Brachy-4d.4",-0.162893061509345,-0.0431430763701645,"Brachy_4d","Brachy-4d.4"
"Brachy-p5h.1",0.342200139014648,0.0713274219822276,"Brachy_p5h","Brachy-p5h.1"
"Brachy-p5h.2",0.320901799335423,0.243220139840467,"Brachy_p5h","Brachy-p5h.2"
"Brachy-p5h.3",0.35287342765621,0.393706272152954,"Brachy_p5h","Brachy-p5h.3"
"Brachy-p5h.4",0.342797510675203,-0.027479879298677,"Brachy_p5h","Brachy-p5h.4"
