"","Brachy.1d.1","Brachy.1d.2","Brachy.1d.3","Brachy.1d.4","Brachy.00h.1","Brachy.00h.2","Brachy.00h.3","Brachy.00h.4","Brachy.02h.1","Brachy.02h.2","Brachy.02h.3","Brachy.02h.4","Brachy.04h.1","Brachy.04h.2","Brachy.04h.3","Brachy.04h.4","Brachy.4d.1","Brachy.4d.2","Brachy.4d.3","Brachy.4d.4","Brachy.p5h.1","Brachy.p5h.2","Brachy.p5h.3","Brachy.p5h.4","id"
"Brachy-1d.1",1,0.923124476933813,0.681128860795773,0.931247187314669,0.621451642853,0.608685904185224,0.509586396790661,0.845554376061961,0.767547111099928,0.838943304777337,0.842748824365883,0.598882302305112,0.59911785237256,0.815479391365941,0.76516989980603,0.790229231879127,0.875047486302249,0.856562642495982,0.698691405335902,0.889334484236989,0.423954461918457,0.44668391374419,0.371729337310026,0.478350902932906,"Brachy-1d.1"
"Brachy-1d.2",0.923124476933813,1,0.710554926567244,0.941380852229006,0.640115276481852,0.628466626007732,0.516517226925548,0.82564739500055,0.741745702230812,0.787411697073359,0.797361568036155,0.637190923133619,0.575963794876923,0.774634131646956,0.746717832980268,0.814065701408011,0.861268065044557,0.838888760927706,0.75981948562512,0.871185061852189,0.440933973992136,0.478457897424536,0.376248551639406,0.494661909280362,"Brachy-1d.2"
"Brachy-1d.3",0.681128860795773,0.710554926567244,1,0.683765431022165,0.70019590267551,0.685669812194579,0.683225966905563,0.664377282026934,0.507307554885321,0.601202120018609,0.596747061322947,0.799176828530747,0.350168748739444,0.526537828836467,0.507204180448176,0.768285814338825,0.594981243640836,0.572677098874607,0.798634085930171,0.614171416357267,0.613221133246577,0.456585536727013,0.378741789941021,0.5991485891855,"Brachy-1d.3"
"Brachy-1d.4",0.931247187314669,0.941380852229006,0.683765431022165,1,0.629635408812097,0.62089744565739,0.508571213474506,0.835251210780071,0.760414782506304,0.804010546256012,0.816964036442184,0.627140004470738,0.571728514876815,0.797933921310122,0.761490067906277,0.813233501896579,0.865322047007229,0.841589472931143,0.72260019458174,0.871379887418669,0.442623754286109,0.484039162876674,0.389463552538352,0.477744682865982,"Brachy-1d.4"
"Brachy-00h.1",0.621451642853,0.640115276481852,0.70019590267551,0.629635408812097,1,0.875096524318815,0.69602224668801,0.708102590108356,0.449271503549581,0.54398816268961,0.549445080458554,0.574417406263115,0.261397692265401,0.473066195376721,0.451251085196407,0.638957626533899,0.575209578450084,0.561418964435327,0.709372718922884,0.614024982282929,0.4849306583752,0.519125195185591,0.373183219673838,0.636723846511101,"Brachy-00h.1"
"Brachy-00h.2",0.608685904185224,0.628466626007732,0.685669812194579,0.62089744565739,0.875096524318815,1,0.737527331707235,0.69846326589857,0.435595741106902,0.528306711018136,0.527228390250825,0.540367910429272,0.229012167203292,0.454310985951075,0.448994629787236,0.641305122978941,0.535565931610299,0.54120250799634,0.647246266108717,0.587743876673786,0.493258222952734,0.549536616369443,0.402947621568693,0.705297124184948,"Brachy-00h.2"
"Brachy-00h.3",0.509586396790661,0.516517226925548,0.683225966905563,0.508571213474506,0.69602224668801,0.737527331707235,1,0.620620213831095,0.376679177116177,0.47097084026327,0.469499152866147,0.549472685777679,0.173295864423859,0.358292616429396,0.339962808715333,0.616536765210009,0.43399494022637,0.414170520768003,0.607915858593983,0.452448155136238,0.561238329336922,0.469657572122179,0.39053838184104,0.706433179694908,"Brachy-00h.3"
"Brachy-00h.4",0.845554376061961,0.82564739500055,0.664377282026934,0.835251210780071,0.708102590108356,0.69846326589857,0.620620213831095,1,0.720422870661696,0.816003606929649,0.806161110829313,0.563877656487299,0.521931786644132,0.724915972042965,0.70179578128043,0.733084676052787,0.783467618004534,0.781044260291495,0.64099061373835,0.80981310426477,0.384891829903972,0.425125387299662,0.339642333290563,0.560424423334361,"Brachy-00h.4"
"Brachy-02h.1",0.767547111099928,0.741745702230812,0.507307554885321,0.760414782506304,0.449271503549581,0.435595741106902,0.376679177116177,0.720422870661696,1,0.903600796853815,0.789222772809296,0.516351375770204,0.687145219510752,0.843724906044748,0.874154667810863,0.656781147103275,0.779624595461712,0.817705885425886,0.541676555174083,0.770059178501687,0.303713710997167,0.347734325622034,0.306622764327742,0.380266096346013,"Brachy-02h.1"
"Brachy-02h.2",0.838943304777337,0.787411697073359,0.601202120018609,0.804010546256012,0.54398816268961,0.528306711018136,0.47097084026327,0.816003606929649,0.903600796853815,1,0.869488086929939,0.555263457503379,0.676279886469933,0.873074912374578,0.844359179861332,0.697377605772639,0.823506592209782,0.843882811494305,0.583653794438622,0.813307025377207,0.340683112892023,0.38523611084739,0.343971023588115,0.468297288921562,"Brachy-02h.2"
"Brachy-02h.3",0.842748824365883,0.797361568036155,0.596747061322947,0.816964036442184,0.549445080458554,0.527228390250825,0.469499152866147,0.806161110829313,0.789222772809296,0.869488086929939,1,0.62406119277162,0.554529184662011,0.760439548776523,0.722698921822102,0.712914964217784,0.781472808017907,0.778943677258051,0.596901994936852,0.802915718658536,0.457447941124294,0.484688938469086,0.463232324476161,0.579472429557892,"Brachy-02h.3"
"Brachy-02h.4",0.598882302305112,0.637190923133619,0.799176828530747,0.627140004470738,0.574417406263115,0.540367910429272,0.549472685777679,0.563877656487299,0.516351375770204,0.555263457503379,0.62406119277162,1,0.308129822138812,0.559837774759693,0.531392243627484,0.759216111590031,0.606855000912226,0.540397405437306,0.750401831226501,0.564454263486221,0.676820811936558,0.489256716697495,0.448884198699175,0.566706519296759,"Brachy-02h.4"
"Brachy-04h.1",0.59911785237256,0.575963794876923,0.350168748739444,0.571728514876815,0.261397692265401,0.229012167203292,0.173295864423859,0.521931786644132,0.687145219510752,0.676279886469933,0.554529184662011,0.308129822138812,1,0.708585610398063,0.650404196937185,0.443872940445504,0.623850659901773,0.645491559091724,0.385656859092332,0.592088557457153,0.170299808862315,0.135911225428069,0.0858499337501798,0.147958539853401,"Brachy-04h.1"
"Brachy-04h.2",0.815479391365941,0.774634131646956,0.526537828836467,0.797933921310122,0.473066195376721,0.454310985951075,0.358292616429396,0.724915972042965,0.843724906044748,0.873074912374578,0.760439548776523,0.559837774759693,0.708585610398063,1,0.872694257799993,0.683191068264179,0.851300611509135,0.837316305753079,0.590891092685465,0.793317412944431,0.408527366744473,0.350006259801471,0.331290581474842,0.376175607854665,"Brachy-04h.2"
"Brachy-04h.3",0.76516989980603,0.746717832980268,0.507204180448176,0.761490067906277,0.451251085196407,0.448994629787236,0.339962808715333,0.70179578128043,0.874154667810863,0.844359179861332,0.722698921822102,0.531392243627484,0.650404196937185,0.872694257799993,1,0.655224896692634,0.796417124454172,0.781055043928252,0.536415715995873,0.745858076987114,0.373273466948572,0.359160406873635,0.334029666090761,0.34268979315248,"Brachy-04h.3"
"Brachy-04h.4",0.790229231879127,0.814065701408011,0.768285814338825,0.813233501896579,0.638957626533899,0.641305122978941,0.616536765210009,0.733084676052787,0.656781147103275,0.697377605772639,0.712914964217784,0.759216111590031,0.443872940445504,0.683191068264179,0.655224896692634,1,0.720325067731198,0.693276945361142,0.795125875665823,0.717485150887534,0.592302029392105,0.496795536401607,0.409754261254111,0.567742084750069,"Brachy-04h.4"
"Brachy-4d.1",0.875047486302249,0.861268065044557,0.594981243640836,0.865322047007229,0.575209578450084,0.535565931610299,0.43399494022637,0.783467618004534,0.779624595461712,0.823506592209782,0.781472808017907,0.606855000912226,0.623850659901773,0.851300611509135,0.796417124454172,0.720325067731198,1,0.903053006078326,0.698001264138917,0.877311268631845,0.410015006801338,0.428615916127001,0.342448006785778,0.417543041449727,"Brachy-4d.1"
"Brachy-4d.2",0.856562642495982,0.838888760927706,0.572677098874607,0.841589472931143,0.561418964435327,0.54120250799634,0.414170520768003,0.781044260291495,0.817705885425886,0.843882811494305,0.778943677258051,0.540397405437306,0.645491559091724,0.837316305753079,0.781055043928252,0.693276945361142,0.903053006078326,1,0.652637981569552,0.914721904955334,0.332763055915154,0.4116857807128,0.285510577637114,0.403412236400053,"Brachy-4d.2"
