"","Row.names","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430","MS.nonster.Brachy_MS.ster.Brachy_log2_FC","MS.nonster.Brachy_MS.ster.Brachy_Pvalue","MS.nonster.Brachy_MS.ster.Brachy_fdr","MS.nonster.Brachy_MSSuc.ster.Brachy_log2_FC","MS.nonster.Brachy_MSSuc.ster.Brachy_Pvalue","MS.nonster.Brachy_MSSuc.ster.Brachy_fdr","MS.ster.Brachy_MSSuc.ster.Brachy_log2_FC","MS.ster.Brachy_MSSuc.ster.Brachy_Pvalue","MS.ster.Brachy_MSSuc.ster.Brachy_fdr","MS.nonster.Brachy","MS.ster.Brachy","MSSuc.ster.Brachy","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name","id"
"1","1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",0.015322165752688,0.0171471985223568,0.010179431056416,0.0144164829148022,0.000247819218650035,0.00061039991617351,0.00338815344858066,0.0945083482869889,0,0.000514750641890157,0.0031982253166532,0.0140399261608652,0.00386129420477961,0.0237193632977995,0.0113772069583097,"0.765374222283765","0.674774363633297","0.674774363633297","0.0260977005072489","0.964270765991678","0.964270765991678","-0.739276521776516","0.681133508372144","0.681133508372144",0.0112392031876814,0.0198043304587266,0.0114626194929826,"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline"
"2","2- or 4-hydroxybenzoic acid",5.02789592528173e-05,0,0,0,0.0418015923461184,0,0,0,0,0,0.298541046002594,0.124486376600318,0.11043596694782,0.182803079212886,0.103090688555371,"-7.36519762338226","0.0108737936042951","0.0108737936042951","-4.13709095182515","0.0115153424028202","0.0115153424028202","3.22810667155711","0.373256058641102","0.373256058641102",0.163871431463798,0,0.00837037426107425,"2- or-hydroxybenzoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2- or 4-hydroxybenzoic acid"
"3","2-amino-2-methylpropanoic acid",0.000225226526886092,0,0,8.82116389513182e-05,0,0,0,0,0,0,0.00798151616079692,0,0.000368623893995079,0.00224408094565588,0,"-1.64101148558407","0.236700672260563","0.236700672260563","-1.55329389276572","0.248549074009272","0.248549074009272","0.0877175928183529","0.228047585521008","0.228047585521008",0.00211884420008958,0,6.2687633167482e-05,"2-amino-2-methylpropanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-amino-2-methylpropanoic acid"
"4","2-deoxy-glucose",0,0,0,0,0.22023298546547,0,0,0,0,0.352507737398652,0,0,0,0,0,"6.1599025607948","0.373900966300059","0.373900966300059","5.49334622107391","0.373900966300059","0.373900966300059","-0.666556339720891","0.759980706321584","0.759980706321584",0,0.0705015474797303,0.044046597093094,"2-deoxy-glucose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxy-glucose"
"5","2-deoxyadenosine",0.0114144897918548,0.0377133761745431,0.00653350509226101,0.0579014197357054,0.431033360811788,0.0113373451024395,0.000798381361359037,0.00283570616239727,0.00564119560565767,0.00677585949078726,0.00242246149738878,0.000322249320417357,0.00036241717890796,0.00161955494709453,0.000916741162163032,"1.60551875136154","0.0721554740416595","0.0721554740416595","5.69033764071836","0.254369428086935","0.254369428086935","4.08481888935682","0.271024511642336","0.271024511642336",0.00112868482119433,0.00547769754452815,0.10891923032123,"2-deoxyadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyadenosine"
"6","2-deoxyguanosine",0.00422798641263082,0.0118385169111868,0.00442314670950498,0.0210188113177199,0.189146780792974,0.00330628098301623,0.00178932857905953,0.00138715704561317,0.00285596958876079,0.00313125786742897,0,0.000669631514176224,0.00041928436337004,0.00114677236270822,0.000270992657426553,"1.2186320563103","0.00359726559196703","0.00359726559196703","4.9723588075751","0.272445372069568","0.272445372069568","3.7537267512648","0.290844890848189","0.290844890848189",0.000501336179536208,0.00249399881277574,0.0461310484288034,"2-deoxyguanosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyguanosine"
"7","2-hydroxypyridine and/or isomers",0.146243952583253,0.0879447249223145,0.137101973029846,0.0855574275629595,0.0343878211358059,0,0,0.00284986956999822,0,0,0,0,0,0,0,"0.650740588125817","0.373900966300059","0.373900966300059","6.63295420289822","0.00825308971729781","0.00825308971729781","5.98221361477241","0.00840158406974805","0.00840158406974805",0,0.000569973913999645,0.0982471798468357,"2-hydroxypyridine and/or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-hydroxypyridine and/or isomers"
"8","2-methylmaleic acid",0,0,0,0,0,0,0,0,0.164724970778366,0,0,0.0572573266522438,0,0.0879193323531575,0.194501832477746,"-1.02205243798356","0.493206325761013","0.493206325761013","-6.10717936980737","0.131318015166426","0.131318015166426","-5.08512693182381","0.373900966300059","0.373900966300059",0.0679356982966295,0.0329449941556731,0,"2-methylmaleic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-methylmaleic acid"
"9","2,3-cyclic AMP",0,0,0,0,0.00707246292048561,0.0582517099879185,0.0603492272360167,0.0523805804838038,0.0714911717277245,0.0725593358975826,0.0823413084652615,0.042161822418771,0.019680098990144,0.0327900843256825,0.0645945365529408,"0.376231578307857","0.271906710718012","0.271906710718012","-4.35219276577819","0.0134319546642835","0.0134319546642835","-4.72842434408605","2.42853339552513e-05","2.42853339552513e-05",0.0483135701505599,0.0630064050666092,0.00141449258409712,"2,3-cyclic amp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3-cyclic AMP"
"10","3-amino-4-hydroxybenzoic acid",0.021356663586248,0.125078932083668,0.0227169561562565,0.0766806243645001,0.0586807857160634,4.89936627253199,3.61775803487539,2.42294009036695,5.94638607796815,5.90092886410311,1.30407749007164,0.661826542851072,0.0884901621310615,0.442743603660958,1.12785472850334,"2.65051305477186","0.00338828664825902","0.00338828664825902","-3.55189018351681","0.0400151353882409","0.0400151353882409","-6.20240323828867","0.0027231301788173","0.0027231301788173",0.724998505443615,4.55747586796912,0.0609027923813471,"3-amino-4-hydroxybenzoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-amino-4-hydroxybenzoic acid"
