"","id","group","Alcohols and polyols","Alloxazines and isoalloxazines","Amines","Amino acids, peptides, and analogues","Benzoic acids and derivatives","Fatty acids and conjugates","Imidazoles","Indolyl carboxylic acids and derivatives","Purines and purine derivatives","Pyridinecarboxylic acids and derivatives","Pyridoxamines","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Unknown"
"1","MSSuc.ster.Brachy.1.419","MSSuc.ster.Brachy",0.000438356577718508,1.26420950212401e-05,0.00283871872561907,0.0140994675209069,0.000583370454946309,0,7.79446086982242e-05,2.69154297611797e-06,0.100569912246952,0.000383387463188889,0,7.85499060645404e-05,0.00019180184404005,0.880723157013868
"2","MSSuc.ster.Brachy.2.420","MSSuc.ster.Brachy",0.00104809190266452,1.74984682492046e-05,0.00210845524294697,0.0107830908256897,0.000695255168247823,0,8.72935988223245e-05,8.13335976756216e-06,0.175096427482852,0.000389400719659531,0,0.000131001508276518,0.000271928981912731,0.809363422740911
"3","MSSuc.ster.Brachy.3.421","MSSuc.ster.Brachy",0.000527404078680593,9.59006777145303e-06,0.00188297745084021,0.0140938955251589,0.00024368415948056,0,5.11855162674396e-05,4.80607970986962e-06,0.0870638062608362,0.000472399644505547,0,5.10312762912279e-05,0.000145280096060437,0.895453939844398
"4","MSSuc.ster.Brachy.4.422","MSSuc.ster.Brachy",0.000957355337944509,1.11593861393506e-05,0.0017305923987081,0.00907308976689145,0.000647522301935646,7.45329328172216e-06,6.66521510069534e-05,5.31673303961053e-06,0.171238944825663,0.000363382511586178,0,6.23798805140704e-05,0.000353798029593783,0.815482353383696
"5","MSSuc.ster.Brachy.5.423","MSSuc.ster.Brachy",0.00139722466899797,5.21196352289454e-05,0.00501658031362737,0.00648697749275406,1.11395578332811e-05,0.0125483210852487,8.68933343901985e-05,3.22432974340057e-05,0.119912800555841,0.00744418617788173,0.000802065546913169,0.00021380840239546,0.00156081974666008,0.844434820184794
"6","MS.ster.Brachy.1.412","MS.ster.Brachy",0.00225498637779205,0,0.0482339043418843,0.00489062012558124,0,0,0.00167404050585499,0,0.510858135531531,0.00159785424615395,0,0.00143840885317841,0.0011470256818293,0.427905024336195
"7","MS.ster.Brachy.2.413","MS.ster.Brachy",0.00234880869415748,0,0.0597697378645057,0.00501237981241261,0,0,0.00419133765291342,0,0.571857316944952,0.00285843324452595,0,0.00211705523200915,0.001082433202398,0.350762497352125
"8","MS.ster.Brachy.3.414","MS.ster.Brachy",0.00203303730432929,0,0.0480325513482072,0.00300413965141988,0,0,0.00234337624610642,0,0.482029653693205,0.00222524815828749,0,0.00187315451757903,0.00140797070705371,0.457050868373812
"9","MS.ster.Brachy.4.415","MS.ster.Brachy",0.00283236015941817,0,0.0542631411963349,0.00395744220199963,0,0,0.00342106018262268,0,0.363407171616135,0.00150198270314811,0,0.00243935294460607,0.00258292261050119,0.565594566385235
"10","MS.ster.Brachy.5.416","MS.ster.Brachy",0.000708672164464341,0,0.0482957047588888,0.00590597280853385,0,0,0.00251444478401959,0,0.461582781804088,0.00106382578397561,0,0.00241438947464498,0.0014855034420374,0.476028704979347
"11","MS.nonster.Brachy.1.426","MS.nonster.Brachy",0.0101135093934331,1.28933255130201e-05,0.0334882208503147,0.0172900424468911,4.15780623644027e-05,3.90819168195307e-06,0.00149716936018795,2.1387667045326e-05,0.21832443660982,0.000968900347192903,0.000138532366508471,0.00116105376833703,0.00170833265329579,0.715230034957414
"12","MS.nonster.Brachy.2.427","MS.nonster.Brachy",0.0244094563740145,2.92803114247132e-05,0.0384338166757284,0.016048286054878,2.8139593261463e-05,0,0.00292840943725859,2.91338841462906e-05,0.141640574551603,0.00223302092203729,0.000248507465879121,0.00118910842967005,0.00609297814098382,0.766689288159115
"13","MS.nonster.Brachy.3.428","MS.nonster.Brachy",0.00615337990610126,6.95115744728835e-06,0.0148229114872823,0.00514591573938398,1.17562979287838e-05,7.2095068542777e-06,0.000642187513497934,3.67053452518235e-06,0.0943417520705041,0.000671733747895176,6.16724952208936e-05,0.000345129128947606,0.000851086232030138,0.876934644182381
"14","MS.nonster.Brachy.4.429","MS.nonster.Brachy",0.0144645197074051,9.62809928457534e-05,0.0301912293438806,0.0184784255173979,6.26340479346277e-05,1.46659911959685e-05,0.00243410916222904,2.46010696372125e-05,0.217577564077569,0.00146786319437486,0.000542687063040355,0.00124184441871068,0.00240026331504879,0.711003312098731
"15","MS.nonster.Brachy.5.430","MS.nonster.Brachy",0.0162165340633076,4.16623024920388e-05,0.0558639601994298,0.0217018491013328,1.72453842716831e-05,5.47934443704409e-06,0.00190986851009765,2.24416654307294e-05,0.201091847793746,0.00167118874958273,0.000325539184267995,0.0010750840807368,0.00323894680080544,0.696818352820062
