"","MSSuc.ster.Brachy.1.419","MSSuc.ster.Brachy.2.420","MSSuc.ster.Brachy.3.421","MSSuc.ster.Brachy.4.422","MSSuc.ster.Brachy.5.423","MS.ster.Brachy.1.412","MS.ster.Brachy.2.413","MS.ster.Brachy.3.414","MS.ster.Brachy.4.415","MS.ster.Brachy.5.416","MS.nonster.Brachy.1.426","MS.nonster.Brachy.2.427","MS.nonster.Brachy.3.428","MS.nonster.Brachy.4.429","MS.nonster.Brachy.5.430","id"
"MSSuc-ster-Brachy-1-419",1,0.868656017452604,0.842608309971284,0.770262278435104,0.500772892828034,0.308927516610288,0.203160116267082,0.365017210404679,0.396508787944877,0.175085628639289,0.537607163895481,0.641926449376311,0.60537391564286,0.545606460496479,0.517373322974208,"MSSuc-ster-Brachy-1-419"
"MSSuc-ster-Brachy-2-420",0.868656017452604,1,0.812290176338002,0.871626005749409,0.472643038636141,0.39210212252457,0.285698413227334,0.446976672848045,0.459338493400956,0.257051921233016,0.544756848127794,0.601407813779497,0.652169900406696,0.55022849332868,0.538203056663473,"MSSuc-ster-Brachy-2-420"
"MSSuc-ster-Brachy-3-421",0.842608309971284,0.812290176338002,1,0.835956331002606,0.376519584721138,0.286218105843106,0.180589033999404,0.307148511349729,0.31193331178788,0.155442287276558,0.409194450489812,0.508824721023511,0.703426725825818,0.40438809449849,0.381600103271376,"MSSuc-ster-Brachy-3-421"
"MSSuc-ster-Brachy-4-422",0.770262278435104,0.871626005749409,0.835956331002606,1,0.370145784481558,0.357829919502608,0.281892133591857,0.345926273545626,0.35151619096687,0.254969874701441,0.438428842596693,0.500616270402209,0.699764325552024,0.427929702166909,0.425661633451622,"MSSuc-ster-Brachy-4-422"
"MSSuc-ster-Brachy-5-423",0.500772892828034,0.472643038636141,0.376519584721138,0.370145784481558,1,0.352971618275062,0.225856739074556,0.421062960606325,0.449866566149793,0.210937174126711,0.593726577737574,0.607274096228384,0.365861484742293,0.553371715027723,0.606254892293506,"MSSuc-ster-Brachy-5-423"
"MS-ster-Brachy-1-412",0.308927516610288,0.39210212252457,0.286218105843106,0.357829919502608,0.352971618275062,1,0.852901535048334,0.915474435381637,0.827492504609512,0.719527698420151,0.495232627366487,0.444577745249768,0.305418527467961,0.510085669486825,0.551836086258377,"MS-ster-Brachy-1-412"
"MS-ster-Brachy-2-413",0.203160116267082,0.285698413227334,0.180589033999404,0.281892133591857,0.225856739074556,0.852901535048334,1,0.793974540448172,0.706666112300531,0.76268346486177,0.397060669712203,0.345199971813425,0.196630698825349,0.415794934614183,0.457839013115788,"MS-ster-Brachy-2-413"
"MS-ster-Brachy-3-414",0.365017210404679,0.446976672848045,0.307148511349729,0.345926273545626,0.421062960606325,0.915474435381637,0.793974540448172,1,0.853112415596993,0.66649644415552,0.54841164913713,0.499758100231209,0.316237331370678,0.557945769205501,0.602445221974621,"MS-ster-Brachy-3-414"
"MS-ster-Brachy-4-415",0.396508787944877,0.459338493400956,0.31193331178788,0.35151619096687,0.449866566149793,0.827492504609512,0.706666112300531,0.853112415596993,1,0.681136024245315,0.596939808293989,0.554313536282917,0.32225696256073,0.609352141040063,0.668240475574327,"MS-ster-Brachy-4-415"
"MS-ster-Brachy-5-416",0.175085628639289,0.257051921233016,0.155442287276558,0.254969874701441,0.210937174126711,0.719527698420151,0.76268346486177,0.66649644415552,0.681136024245315,1,0.392158313316536,0.314907019437266,0.170350679460185,0.38719046888187,0.419558587105011,"MS-ster-Brachy-5-416"
"MS-nonster-Brachy-1-426",0.537607163895481,0.544756848127794,0.409194450489812,0.438428842596693,0.593726577737574,0.495232627366487,0.397060669712203,0.54841164913713,0.596939808293989,0.392158313316536,1,0.757600585998276,0.43205389520207,0.790948274519537,0.800461008360604,"MS-nonster-Brachy-1-426"
"MS-nonster-Brachy-2-427",0.641926449376311,0.601407813779497,0.508824721023511,0.500616270402209,0.607274096228384,0.444577745249768,0.345199971813425,0.499758100231209,0.554313536282917,0.314907019437266,0.757600585998276,1,0.533534448028865,0.743603081964501,0.783017257322413,"MS-nonster-Brachy-2-427"
"MS-nonster-Brachy-3-428",0.60537391564286,0.652169900406696,0.703426725825818,0.699764325552024,0.365861484742293,0.305418527467961,0.196630698825349,0.316237331370678,0.32225696256073,0.170350679460185,0.43205389520207,0.533534448028865,1,0.379835272233319,0.373968254866429,"MS-nonster-Brachy-3-428"
"MS-nonster-Brachy-4-429",0.545606460496479,0.55022849332868,0.40438809449849,0.427929702166909,0.553371715027723,0.510085669486825,0.415794934614183,0.557945769205501,0.609352141040063,0.38719046888187,0.790948274519537,0.743603081964501,0.379835272233319,1,0.836995785187944,"MS-nonster-Brachy-4-429"
"MS-nonster-Brachy-5-430",0.517373322974208,0.538203056663473,0.381600103271376,0.425661633451622,0.606254892293506,0.551836086258377,0.457839013115788,0.602445221974621,0.668240475574327,0.419558587105011,0.800461008360604,0.783017257322413,0.373968254866429,0.836995785187944,1,"MS-nonster-Brachy-5-430"
