"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","id","PCone"
"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",0.00015322165752688,0.000171471985223568,0.00010179431056416,0.000144164829148022,2.47819218650035e-06,6.1039991617351e-06,3.38815344858066e-05,0.000945083482869889,0,5.14750641890157e-06,3.1982253166532e-05,0.000140399261608652,3.86129420477961e-05,0.000237193632977995,0.000113772069583097,0.0001523218295966,-5.22800382049516e-06,-0.00152293571234169,0.00133268684027652,0.000285571282644753,-0.000901303679544332,-0.00324207564528398,0.00653635095239725,0.00926418433999061,-0.00616783502974399,0.00394451940336187,0.0328839221735876,-0.0294633980694049,0.000397668736100023,-0.472719600475521,"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",2.32019397716556e-08
"2- or 4-hydroxybenzoic acid",5.02789592528173e-07,0,0,0,0.000418015923461184,0,0,0,0,0,0.00298541046002594,0.00124486376600318,0.0011043596694782,0.00182803079212886,0.00103090688555371,-0.000298367936726188,0.00322558540243968,0.00387073801866639,-0.000859179116116162,-0.0160530766194021,-0.0201913177954186,0.00850167450468761,-0.00152076749226791,0.00190548992565989,-0.0125055672066662,0.0127586059204031,0.00406079852402851,0.010606554211655,-0.0204610508640719,-0.648978607709471,"2- or 4-hydroxybenzoic acid",8.90234256662428e-08
"2-amino-2-methylpropanoic acid",2.25226526886092e-06,0,0,8.82116389513182e-07,0,0,0,0,0,0,7.98151616079692e-05,0,3.68623893995079e-06,2.24408094565588e-05,0,2.95586740429008e-06,4.50644871292144e-05,8.06518518212126e-05,3.16837617843304e-05,-0.000276797714238162,-0.000527202181510711,0.000622918802151016,-0.000122089583136489,0.000477313327350239,8.15798724994277e-06,-6.54251503212676e-06,0.000378723084516854,0.000316481046434217,-0.000235620372022481,-0.0924385071793223,"2-amino-2-methylpropanoic acid",8.73715211174457e-12
"2-deoxy-glucose",0,0,0,0,0.0022023298546547,0,0,0,0,0.00352507737398652,0,0,0,0,0,0.00104224676927549,-0.000374703621686256,0.0106960705811623,-0.0127499888512144,0.0174982937469251,-0.00139053896928562,-0.00400955948702215,-0.0108711214092709,0.00792795756945771,-0.00545231477509912,0.0102915446505997,-0.000323505977824818,-0.0275023112484651,-0.0128129498620922,0.158990044324382,"2-deoxy-glucose",1.08627832806519e-06
"2-deoxyadenosine",0.000114144897918547,0.000377133761745431,6.53350509226101e-05,0.000579014197357054,0.00431033360811788,0.000113373451024395,7.98381361359037e-06,2.83570616239727e-05,5.64119560565767e-05,6.77585949078726e-05,2.42246149738878e-05,3.22249320417357e-06,3.6241717890796e-06,1.61955494709453e-05,9.16741162163032e-06,-0.000317130789217887,0.00254714362535562,-0.00293169518230294,-0.0115808348350923,0.0243047382974911,-0.0112489174152943,0.00379125841692827,-0.02302450010859,-0.0213395232013613,-0.000112234208698636,0.00298804443806583,0.00637871375125398,-0.00148155148752753,0.00332361966758989,0.164933066124965,"2-deoxyadenosine",1.0057193746996e-07
"2-deoxyguanosine",4.22798641263082e-05,0.000118385169111868,4.42314670950498e-05,0.000210188113177199,0.00189146780792974,3.30628098301623e-05,1.78932857905953e-05,1.38715704561317e-05,2.85596958876079e-05,3.13125786742897e-05,0,6.69631514176224e-06,4.1928436337004e-06,1.14677236270822e-05,2.70992657426553e-06,-0.000117803322998954,0.00113306713909197,-0.00124707597929095,-0.00514797233748771,0.0105928093462371,-0.00463259605143909,0.00167792160710206,-0.0101069147164175,-0.00966927230753179,-0.00155819130199773,0.00157075604142427,0.00370190232728675,0.0016939708699886,-0.000577893315059106,0.147972620671177,"2-deoxyguanosine",1.3877622909596e-08
"2-hydroxypyridine and/or isomers",0.00146243952583253,0.000879447249223145,0.00137101973029846,0.000855574275629595,0.000343878211358059,0,0,2.84986956999822e-05,0,0,0,0,0,0,0,-0.00136053957718925,-0.000405793074038823,-0.000204128788325997,0.00576897614593615,0.00816817906265544,0.00602508437115344,0.00690916746150194,0.00542973669603316,0.00735773547928761,0.00677305131502616,-0.010424059345899,0.000244007275854761,0.0160561479083834,-0.0105031144961764,0.307539268994006,"2-hydroxypyridine and/or isomers",1.8510679410983e-06
"2-methylmaleic acid",0,0,0,0,0,0,0,0,0.00164724970778366,0,0,0.000572573266522438,0,0.000879193323531575,0.00194501832477746,0.000624213635621818,0.00197908754010278,0.0002270532273174,0.001044612976999,-0.00787867797393388,0.0166694049203798,-0.00791272859494568,-0.0089476144878006,-0.0138269410276771,0.00441013493579989,-0.0387327059226005,-0.00783950779284736,-0.0426627108486257,0.0479138934131937,-0.099973459326091,"2-methylmaleic acid",3.89642662896208e-07
"2,3-cyclic AMP",0,0,0,0,7.07246292048561e-05,0.000582517099879185,0.000603492272360167,0.000523805804838037,0.000714911717277245,0.000725593358975827,0.000823413084652615,0.00042161822418771,0.00019680098990144,0.000327900843256825,0.000645945365529408,0.000978914249424634,9.04824209528457e-05,0.000970857239918233,-0.00179997065333825,-0.00486952877185474,0.0003766261894198,0.00253997122670487,0.00145399564443735,0.00138303110042778,-0.00122588399815611,-0.00429543197784276,-0.00382319757528803,-0.0052137768477505,-0.00072784257663765,0.123724383519971,"2,3-cyclic AMP",9.58273107726595e-07
"3-amino-4-hydroxybenzoic acid",0.00021356663586248,0.00125078932083668,0.000227169561562565,0.000766806243645001,0.000586807857160634,0.0489936627253199,0.036177580348754,0.0242294009036695,0.0594638607796815,0.0590092886410311,0.0130407749007164,0.00661826542851072,0.000884901621310615,0.00442743603660958,0.0112785472850334,0.0709623373806382,-0.0516677706774855,0.0447540045007976,-0.119116031681856,-0.0886831909108085,0.335186363794701,0.0812945618548596,-0.362245574342397,0.201137364356157,0.340402940849664,0.159884609885037,-0.581957430784121,0.214522567479134,-0.000903303573290828,-0.0987140266614012,"3-amino-4-hydroxybenzoic acid",0.00503565332652352
