"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430"
"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",312410.87207,341300.99707,207315.79397,218565.15337,3359.83691,3183.24756,18837.8042,632884.63623,0,2617.79053,93293.408675,139094.416475,147965.697775,443303.650875,173390.166475
"2- or 4-hydroxybenzoic acid",1025.16144000003,0,0,0,566729.78644,0,0,0,0,0,8708552.10418,1233294.22918,4231932.10418,3416502.85418,1571115.97918
"2-amino-2-methylpropanoic acid",4592.25,0,0,1337.35742,0,0,0,0,0,0,232823.761715,0,14125.753905,41940.808595,0
"2-deoxy-glucose",0,0,0,0,2985833.4531,0,0,0,0,1792696,0,0,0,0,0
"2-hydroxypyridine and/or isomers",2981837,1750468,2792239,1297117.5,466216.75,0,0,19084.4375,0,0,0,0,0,0,0
"2-methylmaleic acid",0,0,0,0,0,0,0,0,887453.1875,0,0,567251.875,0,1643170.625,2964234.125
"2-deoxyadenosine",232735.42185,750653.98435,133062.32815,877830.79685,5843783.23435,59124.47754,4438.92285,18989.59082,30391.85254,34458.97754,70664.09277,3192.54394,13887.91113,30268.71387,13971.25879
"2-deoxyguanosine",86206.41126,235636.02068,90082.45813,318661.61438,2564378.73938,17242.32031,9948.493164,9289.236328,15386.49121,15924.1709,0,6634.08081,16067.07495,21432.63159,4129.9646
"2,3-cyclic AMP",0,0,0,0,95885.71094,303783.8125,335535.8438,350771.8125,385157.5625,369004.1875,2401926.25,417699.7813,754146,612831.125,984429.4375
"3-amino-4-hydroxybenzoic acid",435451.097656667,2489594.09765667,462656.878956667,1162538.22265667,795571.347656667,25550291.40625,20114383.40625,16225461.40625,32036061.40625,30009473.40625,38040419.97655,6556756.47655,3390963.72655,8274667.97655,17188657.97655
"3-hydroxybenzoic acid",1189461.56510333,1383848.69010333,496290.752603333,981694.440103333,15102.5807333333,0,0,0,0,0,121284.737003333,27878.0690133333,45050.4088533333,117060.065103333,26282.1979133333
"3-methyladenine and/or isomers",218936.319279333,154630.866179333,251652.194279333,161159.006779333,536239.772379333,0,0,0,0,0,3455323.66748,512363.04248,1013381.48048,1189416.29248,2100508.66748
"4-aminobutanoic acid",27176214.88379,18814890.88379,28070608.88379,12150079.88379,7816639.88379,2550468.0078,2786834.5078,2011752.2578,2132065.7578,2135400.0078,47407159.825195,15707512.825195,19275085.825195,33416337.825195,32661965.825195
"4-guanidinobutanoic acid",103871.15625,2643371.65625,0,1850409.90625,21886862.40625,962148.9609,572359.5234,902427.8359,1183100.0859,484765.3984,8800899.7969,2802459.2969,5514990.7969,4226188.7969,3048344.2969
"4-hydroxy-2-quinolinecarboxylic acid",0,0,0,0,3077701.73176667,0,0,0,0,0,2493123.25,875120.5,1848785,1676572.875,1726211.875
"4-hydroxyphenylacetic acid",10236.712891,7340.011721,7305.895511,3128.327636,35671.179691,14841.60449,16843.65625,15105.91699,29148.19531,26397.32617,128743.887182,91721.762212,45340.203612,37987.746582,77511.910642
"4-imidazoleacetic acid",0,0,0,0,881284.21875,1102836.875,316525.6875,392989.4375,635167.3125,529809.5625,1625352.5,601215.3125,1810224.875,805467.1875,637831.8125
"4-pyridoxic acid",371566.140625,457503.453125,387513.796925,469319.765625,10092539.078125,833284.129885,1589261.129885,1490159.754885,809190.817385,541014.004885,2265741.117185,1528204.617185,1607178.742185,2203561.367185,2288669.367185
"4-quinolinecarboxylic acid and/or isomers",0,0,0,0,9727638.308595,370568.474645,139446.068345,133674.083945,636783.818345,447179.005845,4240200.42965,1009689.42965,2220665.17965,1916007.67965,9764973.42965
"5-methylcytosine",130321.218775,146207.781275,147686.906275,114956.953175,138199.046875,382048.304735,485323.085935,790002.585935,772668.710935,180135.414035,745453.078125,746933.390625,1549957.453125,1788469.828125,1088197.703125
"5-oxo-proline",0,0,0,0,12847709.625,380150.043035,402738.511735,443133.511735,619440.449235,580064.449235,2227328.21875,740597.96875,1291169.46875,2026502.71875,2187337.96875
"5-valerolactone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-methylthioadenosine",2908135.61914,3685914.61914,1760082.74414,3192423.11914,22829587.36914,0,0,2181791.58595,463640.08595,0,3597461.69531,991206.50831,2061619.19531,2435895.44531,2796045.44531
"abscisic acid and/or isomers",0,0,0,0,1587355.45285,0,0,0,0,0,0,0,0,0,0
"adenine",191566107.5,317732811.5,168346283.5,236420123.5,151935035.5,241490709.25,287569877.25,297410741.25,171523861.25,188543413.25,407302443.5,92783291.5,236869083.5,294785963.5,232311307.5
"adenosine",11602757.875,13762214.875,13781393.875,10109543.875,40957180.875,13133520.25,5586906.75,18532241.25,11254278.25,8946279.25,8274032.21875,0,2185357.21875,4070810.21875,4124442.21875
"alanine",3620750.12272,1992143.12272,1409577.49772,1180956.62272,0,0,0,0,0,0,12552220.466795,3717124.216795,6589886.466795,15014167.466795,3233457.716795
"allantoin",158924.94292,173750.78662,104245.17722,101049.87252,117806.61472,873015.41406,2330343.03906,1569265.41406,1843090.78906,1278733.66406,4367298.0839845,2901193.3339845,2460877.5839845,4549234.5839845,2910665.3339845
"arginine",7728812.375,10207202.375,2974868.125,8070647.375,56455224.375,2896455.40625,2823599.65625,1663405.90625,4842014.65625,2960878.15625,48390640.2708,2281486.0208,8086666.2708,5572174.7708,18480196.2708
"asparagine",6650385.418945,6316536.918945,6659764.418945,3850355.418945,16184.043945,676270.15234,1979744.77734,624687.33984,950924.77734,1171792.90234,26158682,3712990,8530403,23599324,16024634
"aspartic acid and/or isomers",10935610.40625,7634680.40625,9272472.40625,8704522.40625,0,4550976.22655,7102926.22655,3973763.72655,1115324.97655,6819244.72655,1887545.04557,154316.67057,660136.29557,388650.54557,1004015.17057
"azelaic acid",1424030.64746,1035588.52246,866721.58496,1298766.64746,3089301.89746,1750589.04492,2871979.41992,2073736.66992,3911211.41992,2627824.16992,9130055.69238,16792027.69238,8767889.69238,9733489.69238,18264887.69238
"betaine and/or isomers",540446436,409748228,330937956,156422500,570252132,70022200,12539816,135162040,123066424,0,892092068,332158852,565732388,613170148,559910052
"biotin",15840.415037,0,0,0,1907266.356447,0,0,0,0,0,3476.64143933333,0,9640.91829033333,7152.32747433333,0
"bis(3-aminopropyl)amine",0,1417721.625,0,0,2149364.625,0,0,0,0,0,0,233913.25,2436915.75,840289.75,0
"C6 sugar alcohol peak 1 (ex. sorbitol)",10639970.228535,8662281.228535,10879057.228535,8765304.228535,444559.041035,1157743.45508,2135059.45508,1011965.95508,850698.14258,3030137.20508,1148613.46874967,2196824.71874967,1236509.09374967,1218265.96874967,2453183.96874967
"C6 sugar alcohol peak 2 (ex. mannitol, galactitol)",83208581,43361225,165697661,38446221,0,0,0,0,0,0,438766.096842333,141344.440642333,173036.565642333,206898.768742333,147062.518742333
"caffeic acid and/or isomers",114541.01561,218470.20311,75123.70311,395091.42191,10084870.64061,0,0,0,0,0,1677811.72655,0,10727.78905,120616.03905,844050.22655
"carnitine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"choline o-sulfuric acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"citrulline",1801489.625,785924.6875,1181043.75,502029.1875,1710402.875,0,0,0,0,0,1334532.77473833,347587.493538333,606638.587238333,914188.337238333,553086.024738333
"creatine",0,0,0,0,0,0,0,0,0,0,11051.279295,0,28347.654285,0,0
"creatinine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cytidine",204552.1719,655468.0625,99498.53906,350590.3438,731837.875,1058287.125,1340735.75,3243105.75,1720219,857462.4375,55641568,10017075,34545556,30616338,10573815
"cytosine",23026.67185,0,0,0,5134746.17185,0,0,0,0,0,4955982.34375,1026705.09375,4163119.34375,2329451.34375,985418.59375
"deoxycarnitine",196529.98638,125702.25198,189418.09568,38604.20508,1161345.39258,44538.160155,182066.886745,158373.980445,446772.339845,17249.265625,192282.78611,429280.45801,1460203.39551,634894.83301,260184.30181
"deoxycytidine",0,13629.038085,0,0,122951.133815,328984.0313,559440.125,591227.8125,435577.8438,371904.625,2869748.75,225484.9219,869509.6875,1815758.25,1120494.375
"deoxyuridine",82962.721655,184607.565455,54146.838865,61124.057655,36550.260745,193728.476585,342739.523485,438935.929685,391606.960985,425715.398485,187976.584445,398315.506345,163374.318845,274084.100145,263532.975145
"dethiobiotin",0,0,0,11299.775395,17012527.345705,0,0,0,0,0,11400.338865,0,27626.999025,27410.041995,8350.594725
"dihexose (ex. sucrose, palatinose, maltose, cellobiose, trehalose, melibiose)",413137.12495,271709.18745,2046407.93745,232905.56245,0,0,0,0,0,0,15341.92676,0,8067.503906,10989.10352,13709.01855
"ferulic acid",199012.20508,204709.33008,99170.15038,176661.17388,41672.87696,207018.25195,280722.59575,157987.98635,279698.93945,267295.78325,452599.047855,591085.860355,250954.985355,643114.422855,897981.922855
"fumaric acid and/or isomers",0,0,0,0,2926418.55127,0,0,0,184020.30857,0,11768369.857748,2028557.607748,4738309.357748,8594510.857748,3348207.857748
"glutamic acid",694959.26172,759286.19922,556461.57422,856595.82422,122766.79302,0,0,0,0,0,12917.3208055,120.7573245,1902.1508755,873.7270515,0
"glutamic acid2",4398453.970705,5190303.470705,2604075.470705,5332870.470705,522452.658205,0,0,0,0,0,16986535.5605467,3399248.56054667,5723810.56054667,753201.810546667,8094792.06054667
"glutamine",164588595.02732,125564291.02732,156864867.02732,81931459.02732,629709.08982,2358023.11715,3759139.61715,1178920.36715,2962266.86715,2721394.86715,134508742.32617,35880658.32617,71034430.32617,256530982.32617,91731366.32617
"glyceraldehyde or lactic acid",26510.7697785,14837.5842285,10184.9269985,2789.7883305,8106.3381385,0,0,0,0,0,153351.52976,76689.21729,241106.06106,75950.49854,51210.98291
"glyceric acid and/or isomers",1088180.405762,1259820.155762,620716.593262,1449354.280762,206669.155762,75861.119143,102499.166053,118375.408253,71774.189453,110207.939453,136215.767553,79467.400393,166903.486353,173357.236353,119514.642553
"guanine",13458328.1875,30782342.1875,8969148.1875,23191506.1875,10498889.1875,24922812.5,30377238.5,25385252.5,24261180.5,46196854.5,229554414,47523422,124643750,111832670,74145718
