"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430"
"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",0.00015322165752688,0.000171471985223568,0.00010179431056416,0.000144164829148022,2.47819218650035e-06,6.1039991617351e-06,3.38815344858066e-05,0.000945083482869889,0,5.14750641890157e-06,3.1982253166532e-05,0.000140399261608652,3.86129420477961e-05,0.000237193632977995,0.000113772069583097
"2- or 4-hydroxybenzoic acid",5.02789592528173e-07,0,0,0,0.000418015923461184,0,0,0,0,0,0.00298541046002594,0.00124486376600318,0.0011043596694782,0.00182803079212886,0.00103090688555371
"2-amino-2-methylpropanoic acid",2.25226526886092e-06,0,0,8.82116389513182e-07,0,0,0,0,0,0,7.98151616079692e-05,0,3.68623893995079e-06,2.24408094565588e-05,0
"2-deoxy-glucose",0,0,0,0,0.0022023298546547,0,0,0,0,0.00352507737398652,0,0,0,0,0
"2-hydroxypyridine and/or isomers",0.00146243952583253,0.000879447249223145,0.00137101973029846,0.000855574275629595,0.000343878211358059,0,0,2.84986956999822e-05,0,0,0,0,0,0,0
"2-methylmaleic acid",0,0,0,0,0,0,0,0,0.00164724970778366,0,0,0.000572573266522438,0,0.000879193323531575,0.00194501832477746
"2-deoxyadenosine",0.000114144897918547,0.000377133761745431,6.53350509226101e-05,0.000579014197357054,0.00431033360811788,0.000113373451024395,7.98381361359037e-06,2.83570616239727e-05,5.64119560565767e-05,6.77585949078726e-05,2.42246149738878e-05,3.22249320417357e-06,3.6241717890796e-06,1.61955494709453e-05,9.16741162163032e-06
"2-deoxyguanosine",4.22798641263082e-05,0.000118385169111868,4.42314670950498e-05,0.000210188113177199,0.00189146780792974,3.30628098301623e-05,1.78932857905953e-05,1.38715704561317e-05,2.85596958876079e-05,3.13125786742897e-05,0,6.69631514176224e-06,4.1928436337004e-06,1.14677236270822e-05,2.70992657426553e-06
"2,3-cyclic AMP",0,0,0,0,7.07246292048561e-05,0.000582517099879185,0.000603492272360167,0.000523805804838037,0.000714911717277245,0.000725593358975827,0.000823413084652615,0.00042161822418771,0.00019680098990144,0.000327900843256825,0.000645945365529408
"3-amino-4-hydroxybenzoic acid",0.00021356663586248,0.00125078932083668,0.000227169561562565,0.000766806243645001,0.000586807857160634,0.0489936627253199,0.036177580348754,0.0242294009036695,0.0594638607796815,0.0590092886410311,0.0130407749007164,0.00661826542851072,0.000884901621310615,0.00442743603660958,0.0112785472850334
"3-hydroxybenzoic acid",0.000583370454946309,0.000695255168247823,0.00024368415948056,0.000647522301935646,1.11395578332811e-05,0,0,0,0,0,4.15780623644027e-05,2.8139593261463e-05,1.17562979287838e-05,6.26340479346277e-05,1.72453842716831e-05
"3-methyladenine and/or isomers",0.000107377139311903,7.76876183434413e-05,0.000123563965523677,0.000106299930797644,0.00039552670251521,0,0,0,0,0,0.00118453208940653,0.00051716952170171,0.000264450754238901,0.000636407958697591,0.00137827434585738
"4-aminobutanoic acid",0.0133285524354862,0.00945273151647602,0.0137829743876392,0.00801415122023667,0.00576549886306696,0.00489062012558124,0.00501237981241261,0.00300413965141988,0.00395744220199963,0.00419895523385248,0.0162518210982886,0.0158548650496131,0.0050300021094504,0.0178797141731931,0.0214315466910899
"4-guanidinobutanoic acid",5.09435239062117e-05,0.00132804823153779,0,0.00122052405827357,0.0161435965063486,0.00184495749705307,0.00102944158058278,0.00134759100374363,0.0021960158555153,0.000953221035575134,0.003017068508862,0.00282874917587925,0.00143918504921759,0.00226126058833265,0.00200020823851131
"4-hydroxy-2-quinolinecarboxylic acid",0,0,0,0,0.00227009125393612,0,0,0,0,0,0.000854676660326957,0.000883330008007024,0.000482456604046078,0.000897065499886318,0.00113267494662671
"4-hydroxyphenylacetic acid",5.02058749234039e-06,3.68767273511946e-06,3.587274188592e-06,2.06343423097965e-06,2.63108124475858e-05,2.84593452624099e-05,3.02948748188733e-05,2.25575907892073e-05,5.41035368209981e-05,5.19065235910657e-05,4.41351608005029e-05,9.25822043354536e-05,1.18319224038508e-05,2.03256878274e-05,5.08603842441775e-05
"4-imidazoleacetic acid",0,0,0,0,0.000650029070902825,0.00211473196276653,0.000569300746669555,0.000586849174497267,0.0011789682933663,0.00104179386872646,0.000557193009432675,0.000606855315130397,0.000472394002413604,0.00043097251301809,0.000418521112409946
"4-pyridoxic acid",0.000182234310765829,0.000229852904115283,0.000190273490681509,0.000309561715506314,0.00744418617788173,0.00159785424615395,0.00285843324452595,0.00222524815828749,0.00150198270314811,0.00106382578397561,0.000776726963338513,0.00154254070923307,0.000419407339441645,0.00117903546506083,0.00150173828072088
"4-quinolinecarboxylic acid and/or isomers",0,0,0,0,0.00717503792452284,0.000710579248381968,0.000250806661083209,0.000199614845411212,0.00118196877701807,0.000879312831414804,0.00145359855046484,0.00101916132918534,0.000579501987141453,0.0010251772604464,0.00640740625089264
