"","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name"
"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline","1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2- or 4-hydroxybenzoic acid","2- or-hydroxybenzoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-amino-2-methylpropanoic acid","2-amino-2-methylpropanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-deoxy-glucose","2-deoxy-glucose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-hydroxypyridine and/or isomers","2-hydroxypyridine and/or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-methylmaleic acid","2-methylmaleic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-deoxyadenosine","2-deoxyadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-deoxyguanosine","2-deoxyguanosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,3-cyclic AMP","2,3-cyclic amp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-amino-4-hydroxybenzoic acid","3-amino-4-hydroxybenzoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxybenzoic acid","3-hydroxybenzoic acid","HMDB0002466","C00587","belongs to the class of organic compounds known as hydroxybenzoic acid derivatives. Hydroxybenzoic acid derivatives are compounds containing a hydroxybenzoic acid (or a derivative), which is a benzene ring bearing a carboxyl and a hydroxyl groups.","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","99-06-9","DTXSID6021610","DTXCID601610","315672488","  7420","C00587","30764",NA,"3-Hydroxybenzoic acid"
"3-methyladenine and/or isomers","3-methyladenine and/or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
