"","id","group","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Organooxygen compounds","Phenols","Pyridines and derivatives","Pyrimidine nucleosides","Unknown"
"1","Medicago.1d.1","Medicago_1d",0.163436955468138,0.0150347452007206,0.000137998539902352,0.23858799631969,0.0205713255026537,5.36407265386199e-05,4.43891028589331e-05,0.00835549511770022,0.553777454021797
"2","Medicago.1d.2","Medicago_1d",0.307100659090005,0.0683633810072485,0.00160907229472959,0.175208684588501,0.000268528934988376,2.0800972841857e-05,1.06889604739921e-05,0.0258464727733604,0.421571711377852
"3","Medicago.1d.3","Medicago_1d",0.0210477310128796,0.00175666402398178,9.01355673088244e-05,0.460995863260109,0.00279477317090284,6.68441970671775e-05,6.72968778672882e-05,0.00117062057882221,0.512010071311062
"4","Medicago.1d.4","Medicago_1d",0.0168432656033847,0.00310824479697327,0.00247264135827912,0.563568742279761,0.00247890671989517,0.000123764752414181,6.96636457176109e-05,0.00217582949957458,0.409158941344
"5","Medicago.00h.1","Medicago_00h",0.0332020520013572,0.000221676703365617,9.88563622826913e-05,0.27110030161135,0.00110491941118048,4.3864510044461e-05,7.76150082789363e-05,0.000128753483554063,0.694021960908586
"6","Medicago.00h.2","Medicago_00h",0.11945785439965,0.0001092106475598,2.82285313633502e-05,0.140566836566383,0.0367094433369404,1.09695442480587e-05,7.2769135580888e-06,6.98740069897126e-05,0.703040306053308
"7","Medicago.00h.3","Medicago_00h",0.000217459684686249,0.000352273059260352,0.000491567892700424,0.626928660528245,0.00192032777920846,0.000106012797566757,0.000140937853758,7.42133173209854e-05,0.369768547087254
"8","Medicago.00h.4","Medicago_00h",0.0470879190660374,0.000174015561555078,0.000496086858380069,0.459375593121086,2.98174899856358e-05,7.12483977166997e-05,0.000144015913060637,0.000343843989505138,0.492277459602673
"9","Medicago.02h.1","Medicago_02h",0.219823940105219,0.00447803642110661,1.98391847292445e-05,0.165990147261639,0.000572632398424486,1.44297869890689e-05,2.72948859290579e-05,0.00335588934503563,0.605717790610928
"10","Medicago.02h.2","Medicago_02h",0.199336987010179,0.0358513800908046,1.13600860295436e-07,0.308513862579004,0.00400413629837458,4.6443927452423e-06,4.95636462285285e-06,0.0228943130656335,0.429389606597776
"11","Medicago.02h.3","Medicago_02h",5.51911101141604e-05,0.0032644479046437,0,0.582207988308682,0.0689521863402171,4.65219857743886e-05,0.000109381364387513,0.000254349781740001,0.345109933204441
"12","Medicago.02h.4","Medicago_02h",0.00019234501257404,0.00101359292004135,2.7827410206919e-05,0.320072858409585,0.00422846068536741,3.92323268289632e-05,6.00780191332823e-05,0.000558110602733536,0.673807494613529
"13","Medicago.04h.1","Medicago_04h",0.0276912536164075,0.0126847156169608,0.0013402683122783,0.25569638239898,0.00493439156970761,1.23706942056671e-05,3.17403373871141e-05,0.0162291718154718,0.681379705638601
"14","Medicago.04h.2","Medicago_04h",0.175559027921935,0.0390462642870694,0.000188596976749487,0.293024235312155,0.00390920672148387,1.4080193573858e-05,1.49495545903502e-05,0.0211880008033419,0.467055638229101
"15","Medicago.04h.3","Medicago_04h",0.00320498004460729,0.00146169034504828,7.09595368586131e-05,0.499530295323503,0.000461353560962466,2.58659008371913e-05,8.47286169107189e-05,0.00181662481670259,0.49334350185457
"16","Medicago.04h.4","Medicago_04h",0.0353756174621641,0.00166954814262219,0.000167939570641862,0.413345089452714,0.00349878194012813,7.02230741153204e-05,7.43402413837996e-05,0.0011803975996112,0.544618062516619
"17","Medicago.4d.1","Medicago_4d",0.280310633666829,0.0167246298430268,0.00289394083779279,0.0994070276542826,0.0170582317283177,0.000102559102879954,4.57252919100976e-05,0.00962870026671371,0.573828551608247
"18","Medicago.4d.2","Medicago_4d",0.190730619743265,0.0190303600835526,0.0195385556778636,0.124461959595255,0.0287356198894477,8.28006878148476e-05,9.68749253931855e-05,0.00850446898018238,0.608818740417226
"19","Medicago.4d.3","Medicago_4d",0.0221306913895855,0.00161507788228751,0,0.224245974304676,0.0341090780730859,0.000107087412055008,0.000125299699539615,0.000354557817173326,0.717312233421597
"20","Medicago.4d.4","Medicago_4d",0.149929694373812,0.0117886840395988,0.00797515259981726,0.147802097838611,0.0346275693841351,0.000122112830541424,0.000104761636057589,0.00693092550730829,0.640719001790119
"21","Medicago.p5h.1","Medicago_p5h",0.0281160543176792,0.000311047993604958,2.27414570311478e-05,0.365468733976144,0.0336915809593824,2.56721116695675e-05,6.0884680963936e-05,0.000254606224101495,0.572048678279423
"22","Medicago.p5h.2","Medicago_p5h",0.126876629053337,0.00802451515962258,1.36469006574564e-05,0.32478842242295,0.0312984279454513,9.39694298896936e-06,5.64738884715082e-06,0.000296824685541014,0.508686489500604
"23","Medicago.p5h.3","Medicago_p5h",0.00498384242667845,0.000470183611602182,0.000545987623831146,0.552430209898025,0,4.02274668671678e-05,0.000160325138110859,0.00551368059073239,0.435855543244153
"24","Medicago.p5h.4","Medicago_p5h",0.0014607973484347,0.000366335907481312,0.000193300605656011,0.757546991413734,0.0016797248642698,8.84424752151891e-05,0.000126983406808188,0.000308337684020331,0.23822908629438
