"","id","group","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"1","Medicago.1d.1","Medicago_1d",5.36407265386199e-05,0.000137998539902352,0.00835549511770022,0.163436955468138,0.0205713255026537,0.253667130623269,0.553777454021797
"2","Medicago.1d.2","Medicago_1d",2.0800972841857e-05,0.00160907229472959,0.0258464727733604,0.307100659090005,0.000268528934988376,0.243582754556223,0.421571711377852
"3","Medicago.1d.3","Medicago_1d",6.68441970671775e-05,9.01355673088244e-05,0.00117062057882221,0.0210477310128796,0.00279477317090284,0.462819824161958,0.512010071311062
"4","Medicago.1d.4","Medicago_1d",0.000123764752414181,0.00247264135827912,0.00217582949957458,0.0168432656033847,0.00247890671989517,0.566746650722452,0.409158941344
"5","Medicago.00h.1","Medicago_00h",4.3864510044461e-05,9.88563622826913e-05,0.000128753483554063,0.0332020520013572,0.00110491941118048,0.271399593322995,0.694021960908586
"6","Medicago.00h.2","Medicago_00h",1.09695442480587e-05,2.82285313633502e-05,6.98740069897126e-05,0.11945785439965,0.0367094433369404,0.140683324127501,0.703040306053308
"7","Medicago.00h.3","Medicago_00h",0.000106012797566757,0.000491567892700424,7.42133173209854e-05,0.000217459684686249,0.00192032777920846,0.627421871441263,0.369768547087254
"8","Medicago.00h.4","Medicago_00h",7.12483977166997e-05,0.000496086858380069,0.000343843989505138,0.0470879190660374,2.98174899856358e-05,0.459693624595702,0.492277459602673
"9","Medicago.02h.1","Medicago_02h",1.44297869890689e-05,1.98391847292445e-05,0.00335588934503563,0.219823940105219,0.000572632398424486,0.170495478568674,0.605717790610928
"10","Medicago.02h.2","Medicago_02h",4.6443927452423e-06,1.13600860295436e-07,0.0228943130656335,0.199336987010179,0.00400413629837458,0.344370199034431,0.429389606597776
"11","Medicago.02h.3","Medicago_02h",4.65219857743886e-05,0,0.000254349781740001,5.51911101141604e-05,0.0689521863402171,0.585581817577714,0.345109933204441
"12","Medicago.02h.4","Medicago_02h",3.92323268289632e-05,2.7827410206919e-05,0.000558110602733536,0.00019234501257404,0.00422846068536741,0.32114652934876,0.673807494613529
"13","Medicago.04h.1","Medicago_04h",1.23706942056671e-05,0.0013402683122783,0.0162291718154718,0.0276912536164075,0.00493439156970761,0.268412838353328,0.681379705638601
"14","Medicago.04h.2","Medicago_04h",1.4080193573858e-05,0.000188596976749487,0.0211880008033419,0.175559027921935,0.00390920672148387,0.332085449153815,0.467055638229101
"15","Medicago.04h.3","Medicago_04h",2.58659008371913e-05,7.09595368586131e-05,0.00181662481670259,0.00320498004460729,0.000461353560962466,0.501076714285462,0.49334350185457
"16","Medicago.04h.4","Medicago_04h",7.02230741153204e-05,0.000167939570641862,0.0011803975996112,0.0353756174621641,0.00349878194012813,0.41508897783672,0.544618062516619
"17","Medicago.4d.1","Medicago_4d",0.000102559102879954,0.00289394083779279,0.00962870026671371,0.280310633666829,0.0170582317283177,0.116177382789219,0.573828551608247
"18","Medicago.4d.2","Medicago_4d",8.28006878148476e-05,0.0195385556778636,0.00850446898018238,0.190730619743265,0.0287356198894477,0.1435891946042,0.608818740417226
"19","Medicago.4d.3","Medicago_4d",0.000107087412055008,0,0.000354557817173326,0.0221306913895855,0.0341090780730859,0.225986351886504,0.717312233421597
"20","Medicago.4d.4","Medicago_4d",0.000122112830541424,0.00797515259981726,0.00693092550730829,0.149929694373812,0.0346275693841351,0.159695543514267,0.640719001790119
"21","Medicago.p5h.1","Medicago_p5h",2.56721116695675e-05,2.27414570311478e-05,0.000254606224101495,0.0281160543176792,0.0336915809593824,0.365840666650713,0.572048678279423
"22","Medicago.p5h.2","Medicago_p5h",9.39694298896936e-06,1.36469006574564e-05,0.000296824685541014,0.126876629053337,0.0312984279454513,0.33281858497142,0.508686489500604
"23","Medicago.p5h.3","Medicago_p5h",4.02274668671678e-05,0.000545987623831146,0.00551368059073239,0.00498384242667845,0,0.553060718647738,0.435855543244153
"24","Medicago.p5h.4","Medicago_p5h",8.84424752151891e-05,0.000193300605656011,0.000308337684020331,0.0014607973484347,0.0016797248642698,0.758040310728024,0.23822908629438
