"","x","y","Group","ID"
"Medicago-1d.1",-0.128695520214417,0.0566629350168395,"Medicago_1d","Medicago-1d.1"
"Medicago-1d.2",-0.162000762810462,-0.0249609815411549,"Medicago_1d","Medicago-1d.2"
"Medicago-1d.3",0.14055901078443,0.0549516072167913,"Medicago_1d","Medicago-1d.3"
"Medicago-1d.4",0.194860780249989,0.0147574780221676,"Medicago_1d","Medicago-1d.4"
"Medicago-00h.1",-0.0678412630362313,0.0580164181986892,"Medicago_00h","Medicago-00h.1"
"Medicago-00h.2",-0.0899492193766685,-0.0534310033232006,"Medicago_00h","Medicago-00h.2"
"Medicago-00h.3",0.290237458616738,0.219975620040742,"Medicago_00h","Medicago-00h.3"
"Medicago-00h.4",0.0796978280764735,-0.0551686794078103,"Medicago_00h","Medicago-00h.4"
"Medicago-02h.1",-0.192065003678096,0.063637155558086,"Medicago_02h","Medicago-02h.1"
"Medicago-02h.2",-0.0551921824457763,-0.0956016605887498,"Medicago_02h","Medicago-02h.2"
"Medicago-02h.3",0.254538888695701,0.121606459906084,"Medicago_02h","Medicago-02h.3"
"Medicago-02h.4",-0.0404133009831859,-0.0326247615860133,"Medicago_02h","Medicago-02h.4"
"Medicago-04h.1",-0.0850393408016352,0.0407705360938863,"Medicago_04h","Medicago-04h.1"
"Medicago-04h.2",-0.0636379718845235,-0.0997596897627182,"Medicago_04h","Medicago-04h.2"
"Medicago-04h.3",0.0389917426249429,-0.229893295074935,"Medicago_04h","Medicago-04h.3"
"Medicago-04h.4",0.0193835734209436,-0.207290172315389,"Medicago_04h","Medicago-04h.4"
"Medicago-4d.1",-0.266909434081823,0.108064192579394,"Medicago_4d","Medicago-4d.1"
"Medicago-4d.2",-0.180867228576573,0.0847368136886641,"Medicago_4d","Medicago-4d.2"
"Medicago-4d.3",-0.0424851346254314,0.168312275550043,"Medicago_4d","Medicago-4d.3"
"Medicago-4d.4",-0.131402672525487,0.146136194164582,"Medicago_4d","Medicago-4d.4"
"Medicago-p5h.1",-0.0377014266390156,-0.0784087140694489,"Medicago_p5h","Medicago-p5h.1"
"Medicago-p5h.2",-0.011474116360674,-0.0670925997191074,"Medicago_p5h","Medicago-p5h.2"
"Medicago-p5h.3",0.124194725396907,-0.220801995539768,"Medicago_p5h","Medicago-p5h.3"
"Medicago-p5h.4",0.413210570173873,0.027405866892327,"Medicago_p5h","Medicago-p5h.4"
