"","x","y","Group","ID"
"Medicago-1d.1",-0.268637373136235,0.00218292601936532,"Medicago_1d","Medicago-1d.1"
"Medicago-1d.2",-0.173471624619328,-0.212822086478155,"Medicago_1d","Medicago-1d.2"
"Medicago-1d.3",0.151799766284542,0.148794490740325,"Medicago_1d","Medicago-1d.3"
"Medicago-1d.4",0.214661256717862,0.0755890538654092,"Medicago_1d","Medicago-1d.4"
"Medicago-00h.1",-0.140625237554379,0.082047050797807,"Medicago_00h","Medicago-00h.1"
"Medicago-00h.2",0.00992652690345515,-0.126835249462377,"Medicago_00h","Medicago-00h.2"
"Medicago-00h.3",0.215138089763992,0.305025377489482,"Medicago_00h","Medicago-00h.3"
"Medicago-00h.4",0.185905078628357,0.00618889430936251,"Medicago_00h","Medicago-00h.4"
"Medicago-02h.1",-0.326208511425048,-0.0447540888580792,"Medicago_02h","Medicago-02h.1"
"Medicago-02h.2",-0.0141083481590795,-0.275883613913586,"Medicago_02h","Medicago-02h.2"
"Medicago-02h.3",0.257421856840407,0.212536395631373,"Medicago_02h","Medicago-02h.3"
"Medicago-02h.4",0.022299069071048,0.0607800703258164,"Medicago_02h","Medicago-02h.4"
"Medicago-04h.1",-0.193175309817282,0.0490327636413816,"Medicago_04h","Medicago-04h.1"
"Medicago-04h.2",-0.0327014427383182,-0.231151272196358,"Medicago_04h","Medicago-04h.2"
"Medicago-04h.3",0.16984371460865,-0.112663431442771,"Medicago_04h","Medicago-04h.3"
"Medicago-04h.4",0.185123558574586,-0.162493157471593,"Medicago_04h","Medicago-04h.4"
"Medicago-4d.1",-0.421680240291352,0.0119814892470842,"Medicago_4d","Medicago-4d.1"
"Medicago-4d.2",-0.251352562889497,0.097449509309021,"Medicago_4d","Medicago-4d.2"
"Medicago-4d.3",-0.106736000947899,0.305744766552326,"Medicago_4d","Medicago-4d.3"
"Medicago-4d.4",-0.229898085643962,0.147539042921929,"Medicago_4d","Medicago-4d.4"
"Medicago-p5h.1",-0.0523188689859432,-0.0595845676876149,"Medicago_p5h","Medicago-p5h.1"
"Medicago-p5h.2",0.0663093436326091,-0.11428428167704,"Medicago_p5h","Medicago-p5h.2"
"Medicago-p5h.3",0.286609490033245,-0.133869296902458,"Medicago_p5h","Medicago-p5h.3"
"Medicago-p5h.4",0.445875855149569,-0.0305507847606495,"Medicago_p5h","Medicago-p5h.4"
