"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4"
"2-hydroxypyridine",0,0.000914406829010923,0,0,0,0,0,0.00171657807378809,0,0,0,0,0.00284570786560753,0,0.000121474552745831,0.0069035349701903,0,0,0,0,0,0,0.00128033375603209,0
"2-deoxyadenosine",0,3.22274960672679e-06,0,0,0,8.14349106502086e-05,0,0,0,2.15558497110387e-05,0,0,0,4.99068231713482e-07,0,0,0,0,0,0,0,0.0101283977093706,0.000217571896851891,0
"2-deoxyguanosine",1.80063505402792e-06,9.896332503288e-07,3.78124581917946e-07,0,0.000180677061347097,2.37186476060058e-05,0.000565138335790685,0.000665619203871884,0,4.7786921278977e-06,2.28703345844135e-05,1.2251830148504e-05,2.14556602081444e-06,2.59150720049553e-06,0,0,3.00713156980474e-06,1.47761503424493e-05,7.33223349864382e-06,6.37964773083655e-06,3.49921798383474e-06,7.86378809187436e-05,0.000734373118319739,0.000307340522047579
"3-methoxytyramine",2.42493214226181e-06,1.54394217713425e-06,0,0,2.60957269934174e-06,1.06044699474766e-07,7.71141952006198e-06,6.62421362144556e-06,2.82076021372273e-06,4.64238122689617e-07,6.71311680582597e-06,2.11907926562062e-07,6.64474177176549e-07,1.26808022561478e-06,0,0,4.55948059568826e-05,7.30606332102691e-06,2.52932041039974e-07,6.82410733862423e-08,1.19117451708437e-06,1.36153175944129e-07,6.57951593835296e-06,2.57827502047708e-06
"3-methyladenine",0.000941756684801053,0.0101524560452883,0.00050114280840358,0.000622880807000631,0.00181698473454457,0.0215191109198512,0.00107541071017465,0.000661025397755639,0.0281290471749985,0.0107391509566509,0.00298114606986745,0.00170914632345544,0.0100497369498377,0.00704318107447112,0.00178632535984998,0.00118957888965477,0.00523511241399398,0.00554663491184299,0.0109096894893978,0.000413945686240561,0.00211846842863278,0.0267753128082795,0.00116736529821415,0.00105359391239747
"4-aminobutanoic acid",0.0294557112238135,0.0639774702211687,0.0210370086405158,0.0168384927897562,0.0299763587276393,0.021023838660077,0.000202110302661889,0.0470187548406575,0.0134133793783592,0.0313925939003687,0,0,0.0276386055449663,0.0399955644517161,0.00318045781513961,0.0352917567910894,0.0102751264320958,0.0371801898121783,0.0130593963871608,0.0273863426318928,0.0278443218901106,0.0173538401851428,0.00486763604496275,0.00142773580079427
"4-guanidinobutanoic acid",0.114175435360308,0.0245645181566558,0.0113006780570193,0.000495618889413382,0.176640724564162,0.000595801135724637,0.000995536096237031,0.00138785335152653,0.143574721108913,0.0136890330361808,0.000782699991294476,0.0739943165235367,0.164067998298121,0.0184091749382161,0.00183267718202069,0.000681368176066032,0.128212288441493,0.0397922993917612,0.0338679277456684,0.0504577728241321,0.137477434694639,0.00566643665891884,0.00199078141887902,0.00816369936786354
"4-hydroxybenzoic acid",0.000101471388736148,0.000979018313872723,0.0106178214996269,0,0.000472472617604746,0.00011527769852623,2.25960588633828e-05,0.000369592171424092,0,0,0,0,0.00453106308668206,4.03301428754656e-05,0,3.56151922356828e-05,0.00515209832968723,0.00449953196245277,0.00163098992592851,0,0.000675124781276963,8.98094863304123e-06,0,8.72006508697861e-05
"4-imidazoleacetic acid",0.000111672340532275,6.44594337104361e-05,9.73117176725808e-05,1.79966766140828e-05,4.27620842122806e-05,2.04477519787116e-06,3.72326734257996e-05,6.75277888056512e-05,0.00022594501013049,5.18226603949243e-05,7.84569605683965e-06,4.00053929809542e-05,0.000223134532153681,0.00010667507854431,0.000286238052796652,4.2582332266594e-05,0.0040850365832997,0.000241445792970677,0.000104660687121543,0.00115643587945153,8.15197072035584e-05,1.52224780896286e-06,0.00231086095266538,3.14599491295245e-05
"4-pyridoxic acid",4.43891028589331e-05,1.06889604739921e-05,6.72968778672882e-05,6.96636457176109e-05,7.76150082789363e-05,7.2769135580888e-06,0.000140937853758,0.000144015913060637,2.72948859290579e-05,4.95636462285285e-06,0.000109381364387513,6.00780191332823e-05,3.17403373871141e-05,1.49495545903502e-05,8.47286169107189e-05,7.43402413837996e-05,4.57252919100976e-05,9.68749253931855e-05,0.000125299699539615,0.000104761636057589,6.0884680963936e-05,5.64738884715082e-06,0.000160325138110859,0.000126983406808188
