"","Row.names","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S","root.Arabidopsis_root.Brachy_log2_FC","root.Arabidopsis_root.Brachy_Pvalue","root.Arabidopsis_root.Brachy_fdr","root.Arabidopsis_root.Medicago_log2_FC","root.Arabidopsis_root.Medicago_Pvalue","root.Arabidopsis_root.Medicago_fdr","root.Arabidopsis_shoot.Arabidopsis_log2_FC","root.Arabidopsis_shoot.Arabidopsis_Pvalue","root.Arabidopsis_shoot.Arabidopsis_fdr","root.Arabidopsis_shoot.Brachy_log2_FC","root.Arabidopsis_shoot.Brachy_Pvalue","root.Arabidopsis_shoot.Brachy_fdr","root.Arabidopsis_shoot.Medicago_log2_FC","root.Arabidopsis_shoot.Medicago_Pvalue","root.Arabidopsis_shoot.Medicago_fdr","root.Brachy_root.Medicago_log2_FC","root.Brachy_root.Medicago_Pvalue","root.Brachy_root.Medicago_fdr","root.Brachy_shoot.Arabidopsis_log2_FC","root.Brachy_shoot.Arabidopsis_Pvalue","root.Brachy_shoot.Arabidopsis_fdr","root.Brachy_shoot.Brachy_log2_FC","root.Brachy_shoot.Brachy_Pvalue","root.Brachy_shoot.Brachy_fdr","root.Brachy_shoot.Medicago_log2_FC","root.Brachy_shoot.Medicago_Pvalue","root.Brachy_shoot.Medicago_fdr","root.Medicago_shoot.Arabidopsis_log2_FC","root.Medicago_shoot.Arabidopsis_Pvalue","root.Medicago_shoot.Arabidopsis_fdr","root.Medicago_shoot.Brachy_log2_FC","root.Medicago_shoot.Brachy_Pvalue","root.Medicago_shoot.Brachy_fdr","root.Medicago_shoot.Medicago_log2_FC","root.Medicago_shoot.Medicago_Pvalue","root.Medicago_shoot.Medicago_fdr","shoot.Arabidopsis_shoot.Brachy_log2_FC","shoot.Arabidopsis_shoot.Brachy_Pvalue","shoot.Arabidopsis_shoot.Brachy_fdr","shoot.Arabidopsis_shoot.Medicago_log2_FC","shoot.Arabidopsis_shoot.Medicago_Pvalue","shoot.Arabidopsis_shoot.Medicago_fdr","shoot.Brachy_shoot.Medicago_log2_FC","shoot.Brachy_shoot.Medicago_Pvalue","shoot.Brachy_shoot.Medicago_fdr","root.Arabidopsis","root.Brachy","root.Medicago","shoot.Arabidopsis","shoot.Brachy","shoot.Medicago","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name","id"
"1","1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",0.0336477627098907,0.0248406199439813,0.0218051096916759,0.0534785415188689,0.0300517424884318,0.0238462076196775,0.00100008097327534,0,0.000819758828168579,0.00130111188137153,0.000688133929570604,0.000912064589145043,0.001762786200725,0.00162252950226779,0.00112704320544223,0.00112388953508273,0.00126608634839856,0.0210461441630887,0.0402974718099495,0.0242333185889993,0.0369540257057157,0.0360245469368837,0.00233933510530658,0,0.00183645916287249,0.0146684138236912,0.000883997298749395,0.00152482477097809,0,0.00126933864310414,0,0.00258235581041141,0.00220494382399671,0.00333651337117301,0.0017237223921806,0.00206265736727929,0.00211888698095451,0,0.00286162958787999,0,0.000271114335496683,0,0,0,0.000486741490003813,0.00528879304345382,0.00131123382409731,0.00315173343693075,0.00459501145044562,0.00210042870318632,0.0039140843396031,0.000506064446414881,0.0010589486068681,0,0,0.000897173666725123,0,0.000574517161183888,0,0.000281412172279853,0.000497156347467629,0.00172306803101,0.00103625564101217,0.0010926632775637,0.00193432605187721,0.0916656822882428,0.885134680430472,0.885134680430472,0.20797554367503,0.969849976993156,0.969849976993156,3.56433896886829,7.5487374028163e-05,7.5487374028163e-05,4.57831656529576,6.90838356370269e-05,6.90838356370269e-05,2.22137130547811,0.00131494466971322,0.00131494466971322,"-0.741316499174272","0.648913462215212","0.648913462215212",0.225440867287285,0.415351983974072,0.415351983974072,1.45722296194849,0.00221020318262644,0.00221020318262644,0.0129078521457252,0.0636223326001342,0.0636223326001342,0.117068801752534,0.595314257867306,0.595314257867306,0.922747088510628,0.00770670751475164,0.00770670751475164,-0.508284280302437,0.250998270442923,0.250998270442923,0.320438101667392,0.838331160780301,0.838331160780301,0.707027596646493,0.0255257841958039,0.0255257841958039,0.383857467514651,0.788601845171719,0.788601845171719,0.0290470688568725,0.00196957043815186,0.00143988589660318,0.00153997339658988,0.000191903773311988,0.00247039038439744,"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline"
"2","2-amino-2-methylpropanoic acid",0.00127186378402755,0.00108208632854266,0,0.00158481195519913,0,0.00097507532110141,0.0311196992927178,0.0237939387267968,0.033518756937391,0.0120058637961576,0.0103395374744041,0.0220176145170256,0,0,0.000453572130828702,0.000527501864558666,0,0,0.00140718248530857,0.000826088058735909,0.00130382335090828,0.0012241374779606,0.0479913217192453,0.0151934296334254,0.0150743853246348,0.0147715669141701,0.0183062114412327,0.0153258608941326,0.0142244646999262,0,0,0,0,0,0,0.000494370366665727,0.000657308481889536,0.00049115745008071,0,0.0030318605224382,0.00185371030985208,0.00222694347979096,0.00195261067352723,0.00255016535546358,0.00309673460549289,0.000650084115443066,0.000644300481938696,0.000600861237852828,0.000926279344179988,0.000581641138168454,0,0,0.000517947235363192,0.00047176372859015,0.000371890234103846,0.000645995323674222,0.00249444563981156,0.00355955706639481,0.00168468790833355,0.00246419336099473,0.00256602679025453,0.00118815301731536,0.000636064991413932,0.000543002868841263,0.000568373882623602,-0.0745478416985679,0.794837673814644,0.794837673814644,-1.98110918308225,0.905371170140997,0.905371170140997,2.15426026091341,0.0114315851637163,0.0114315851637163,-2.02088581756574,8.00141998527133e-05,8.00141998527133e-05,-1.81643190419894,0.677126445647605,0.677126445647605,"0.482641973404113","0.466752988268345","0.466752988268345",3.92481481730077,3.38156067957849e-05,3.38156067957849e-05,2.14957459348999,0.000139772426463584,0.000139772426463584,2.18538904706671,0.00131494466971322,0.00131494466971322,-0.243984834351704,0.096160033383256,0.096160033383256,-1.29770614396691,0.00134916601663586,0.00134916601663586,-0.619914992467041,0.000273914817249923,0.000273914817249923,-0.116990390980748,0.791659836332597,0.791659836332597,-0.0482659697318713,0.848980508948108,0.848980508948108,0.0668879703401794,0.520522883275773,0.520522883275773,0.00480553254008578,0.0188076108043346,0.000109008221709708,0.000304202735030615,0.00249826688294128,0.000704306786419687,"2-amino-2-methylpropanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-amino-2-methylpropanoic acid"
"3","2-deoxyadenosine",0.0111945265888407,0.00840572265043616,0.00532145806121679,0.00735182314227315,0.0040484144076211,0.0147903611370297,0.00233795806744933,0.00410556446088126,0.00307737035735386,0.00297258471750472,0.00335217482352701,0.00291773293942024,0.000620381049997921,0.00106996591602956,0.00653740900389968,0.000845940589368067,0.00103060115588178,0.00698620095467936,0.008243739070238,0.0052896177364664,0.00931021249962854,0.00564914212410154,0.00367252147957143,0.00136185315946324,0.00465338844411808,0.00547021030202836,0.00287948933521146,0.00229783305611437,0.00229563212698053,0.00163027817570682,0.00501784229409767,0.000103787523829469,0.000127711244407989,0.000785910221833114,0.00141998718527622,0.0024232698380179,0.00180490883616418,0.000656267764306647,0.00158019147265664,0.0518756947541682,0.132745664041714,0.0330630395238387,0.0637689786277705,0.0577408217914651,0.0769692234425267,0.0244588993342334,0.0238613472348819,0.0213962475920324,0.0162090295748416,0.0190770849124655,0.000779470671499017,0.000429385768367748,0.000248213455664759,0.000626502310783525,0.000722610196949124,0.000514264290206263,0.0736806377285791,0.0987074388156012,0.0355900102823752,0.069462179863319,0.0730546225532483,0.0240738991416501,0.0150730608141886,0.0232898742394007,0.0264824389328813,0.223818235259513,0.623604884395689,0.623604884395689,0.301894318823129,0.570750388058174,0.570750388058174,2.09173057528831,3.6584553538971e-05,3.6584553538971e-05,-2.85948884614544,0.00129274477969569,0.00129274477969569,-1.03817419387296,0.01401927711396,0.01401927711396,"0.042413250863273","0.733729995696247","0.733729995696247",1.05138607473116,0.000196161473706543,0.000196161473706543,-3.92849490383227,0.00102617421745643,0.00102617421745643,-2.07749164010768,0.0172574560831198,0.0172574560831198,0.424528248277773,0.791336780100661,0.791336780100661,-3.20018984194891,0.000329838520777994,0.000329838520777994,-2.96523361255637,0.000412294802061691,0.000412294802061691,-0.0391243969473118,0.470100759874129,0.470100759874129,0.141346636473897,0.185876732365876,0.185876732365876,0.128372322449769,0.909721889145555,0.909721889145555,0.00752197832100857,0.00314348264917104,0.001887101883691,0.000999248500977095,0.0696962101295097,0.0215468757529528,"2-deoxyadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyadenosine"
"4","2-deoxyguanosine",0.00254054679721036,0.00218627904566108,0.0035218816558288,0,0.00177163117864545,0.0207033972973365,0.0013499276255312,0.00577897751909958,0.00533242520987785,0.000255531545723027,0.000109035975725109,0.014123487192153,0.00290109000489391,0.0027142228349195,0.00315768622928444,0.00320650090134731,0.00445566767557838,0.0006861173905553,0.000614696048330466,0.00436412959775457,0.000513361360508618,0.000425384282014862,0.0121343268980846,0.00111282488103266,0.0115044747404273,0.00039681174916696,0.0170013306933439,0.0130595910062953,0.00282360225767671,0.00500864220337138,0.00134165461231026,0.00357125685999266,0.000329928319219259,0.00106149955750904,0.00104083291251083,0.00138953660882114,0.00310875726351331,0.00816352418305466,0,0.00289308171155716,0.0109604171226042,0.00742684048717844,0.00344694866645443,0.0209300738092092,0.00297316366727968,0.000884276525182063,0.00594926098279624,0.00387604115432216,0.000686544547273933,0.00441725584994701,0.000497428688243716,0.0107940614242749,0.0704001551662466,0.169615542051104,0.0284100076343468,0.00706098696493566,0.0121429968746871,0.0103495691346348,0.0518974965149485,0.0267809314478004,0.0665118654737817,0.0154088825683575,0.0339476535021549,0.00972948418690725,0.00238998902851432,-0.137432324305625,0.930987446559567,0.930987446559567,0.289693737159362,1,1,-2.35089945261294,0.272552198762183,0.272552198762183,-1.83932292203525,0.0025228230618503,0.0025228230618503,-1.05514636977309,0.104109889660227,0.104109889660227,"-0.522342727609024","0.520522883275773","0.520522883275773",-1.88570733401229,0.665005542102029,0.665005542102029,-1.01396560490658,0.167905475652635,0.167905475652635,-0.589771041664251,0.384673062735509,0.384673062735509,-3.00683763616879,0.472675593511587,0.472675593511587,-2.49692657067095,0.0017062493689196,0.0017062493689196,-1.27379868762536,0.250998270442923,0.250998270442923,-2.4924861793578,0.0215461209513858,0.0215461209513858,-3.31664690088485,0.00458639208025349,0.00458639208025349,-1.79839677676111,0.0172574560831198,0.0172574560831198,0.00412181262932755,0.00607066836633771,0.00296518329343523,0.0251285277045467,0.0196648531736487,0.0085877098161617,"2-deoxyguanosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyguanosine"
"5","2-phosphoglyceric acid",0,0,0,0,0,0,0,0,0.000832091791200676,0,0.00062093338090019,0,0,0.000748111192111335,0,0.00101897886182656,0.00041992219878952,0,0,0,0,0,0.000564800755397499,0,0.00104809327722342,0,0.000441802174533018,0.000522707252685723,0,0.000495262894219202,0.000914983280473364,0.00076247442848992,0,0.000723002157135896,0,0.000440135226689943,0.000693502006164551,0.000984725831913379,0,0.000383053349959872,0,0,0.000440132465570188,0.00030966296593709,0,0.00297142640868403,0.00447689719063526,0.00246776439581044,0.00268130527837556,0.00277089294861548,0.000424471273283045,0.000792677934116423,0.000951944240962073,0.000609826750020606,0.000385181079098831,0.000427402075851251,0.000383133081290695,0.000636690588899942,0.000626699243788758,0.000426689640018641,0.000473569829548075,0.0045259465062514,0.0012507120675446,0.00381199720606628,0.00535888777397793,-0.115803141355498,0.470906855460126,0.470906855460126,-0.161121613209031,0.30771074846953,0.30771074846953,-0.552892810668952,0.000604407512486522,0.000604407512486522,-0.425250506680245,0.000920917789873897,0.000920917789873897,-1.82870236450762,0.000231245708643341,0.000231245708643341,"-0.143751857930358","0.451509571472271","0.451509571472271",-0.253215199302781,0.163433805324401,0.163433805324401,0.0261223250387059,1,1,-1.45482854328812,0.00228203501965665,0.00228203501965665,-0.0189791389168071,1,1,0.148954219650873,0.39940536178817,0.39940536178817,-1.55721914369156,0.000401039044682549,0.000401039044682549,-0.154316445308336,0.321888555807526,0.321888555807526,-0.0287647645419076,0.909688076223491,0.909688076223491,-0.350933968543093,0.120664636435023,0.120664636435023,4.70667296164583e-05,0.000288802323045252,0.000484414761767767,0.000536072381269667,0.000334511924092115,0.00336842553066233,"2-phosphoglyceric acid","HMDB0000362","","belongs to the class of organic compounds known as sugar acids and derivatives. Sugar acids and derivatives are compounds containing a saccharide unit which bears a carboxylic acid group.","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,"223441398",NA,NA,"24344",NA,"2-Phosphoglyceric acid","2-phosphoglyceric acid"
"6","2,3-cyclic AMP",0.000932653118165772,0.00042988152967216,0.000464246213798562,0.000627223236625509,0.000375033946069827,0.000483348889637284,0.00624812631586952,0.00262228840379032,0.00348989727509166,0.00351462137040231,0.00294786319576102,0.00372721835636715,0,0,0,0,0,0.000604476682613786,0.000580515653300493,0.000479403321906757,0.000563211603876289,0.000748461418685231,0.00292409281908298,0.00367867067773498,0.00275789696641286,0.000915807019628377,0.00228430192965768,0.00189999214386071,0.00436442860326192,0,0,0,0,0.000474546354814835,0.000665160096519096,0.000330990677217163,0.000684880612990316,0.000328566184813093,0.000586883232578923,0.0112300225332496,0.0129243138059847,0.0044705696090341,0.00882848055557522,0.0104342878753762,0.0119475847920771,0.000363228599348121,0.000238462617201323,0.000266001831877941,0,0.000257121239276048,0.000764296593810097,0.000515181348520479,0.000471178737296438,0.000408292801308909,0.000270638279581088,0.000972682151396648,0.0129571127294293,0.013549751188406,0.00404410127369562,0.00972375604665774,0.0104689242942668,0.000401480729547021,0.000234991803760405,0,0.000362285829381747,0.163688956267021,1,1,-0.256272147020197,0.558046482581137,0.558046482581137,0.199476575660098,0.435730660031737,0.435730660031737,-2.72158406091308,8.15153612774325e-05,8.15153612774325e-05,0.00988881115358279,0.0256924445489082,0.0256924445489082,"0.329644983319256","0.558046482581137","0.558046482581137",1.4494446975608,4.69487256495388e-05,4.69487256495388e-05,-1.35679986089139,0.000181904569784443,0.000181904569784443,1.22673205761444,0.00281690562819375,0.00281690562819375,-0.520579827299146,0.000420700924784779,0.000420700924784779,-2.36476066475903,0.000565815486339186,0.000565815486339186,-0.305623318305008,0.00184859529381472,0.00184859529381472,-0.104747535272361,0.792812616632073,0.792812616632073,-0.0364996777062603,0.939720366947744,0.939720366947744,0.189513290710659,0.879784301056993,0.879784301056993,0.000767712369452888,0.00320425935481988,0,0.00053944142257059,0.0100526277003411,0.00023595251671029,"2,3-cyclic amp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3-cyclic AMP"
"7","3-dehydroshikimic acid and or isomers",0.0615523230073945,0.0294635009502794,0.0481169546533158,0.0172705405207661,0.012769958956039,0.0822103229711536,0.0191417354648387,0.0259039934042132,0.0321404871814857,0.0206961972414073,0.014905349722062,0.0265034552543453,0.00595049350363352,0.00535900434241276,0.0154214265922886,0.00952771845478474,0.0100061159600532,0.0198806359058257,0.0336024530050141,0.0348149046358358,0.0338196797643606,0.0339166237525658,0.0270763932629942,0.0180121010054489,0.0411868458727648,0.0284145647470143,0.0290992760544292,0.0397273360384316,0.0221753550100817,0.013020111221501,0.00901213250470895,0.00419946108057375,0.0067975222383557,0.00146593721915238,0.00267415809127301,0.00255404790888722,0.00355892646697639,0.00204244412235691,0.00213247002582658,0.0205378667768531,0.0346695610328281,0.0267323374496025,0.0248150004671299,0.0370665640242529,0.0240471028459636,0.0310835521104632,0.0417609638757513,0.0199866160522104,0.0269597218534105,0.0329295106163836,0.00227492194115437,0.00116212595309128,0.0017699830907701,0.00180618187769921,0.00135072641492924,0.00181498407821562,0.0234774458749577,0.0319594015292771,0.0250547183157046,0.0369856883904944,0.0288690815414477,0.024995695648315,0.0305183478149701,0.038483781726712,0.0334023117014989,0.107633670657834,0.402503823782004,0.402503823782004,0.376037759065137,0.969849976993156,0.969849976993156,3.60845393515771,3.6584553538971e-05,3.6584553538971e-05,0.371526390491723,0.430708328947102,0.430708328947102,0.271515392270567,0.677584957952476,0.677584957952476,"-0.277177132721756","0.570750388058174","0.570750388058174",3.17187026957787,3.6584553538971e-05,3.6584553538971e-05,-0.0544130914945023,0.84383142524677,0.84383142524677,-0.260392844166628,0.140465048158355,0.140465048158355,1.53469547207619,0.0017062493689196,0.0017062493689196,-1.46724066171793,0.00018267179110955,0.00018267179110955,-1.71128383540818,0.000412294802061691,0.000412294802061691,0.0569066448211765,0.393301639350615,0.393301639350615,-0.0285990121921823,0.427355313897808,0.427355313897808,-0.0893455520932244,0.472675593511587,0.472675593511587,0.0362078576154621,0.0264922247497102,0.00881044287759025,0.00205057559919436,0.0285649789316829,0.0311245001555239,"3-dehydroshikimic acid and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-dehydroshikimic acid and or isomers"
"8","3-hydroxyanthranilic acid",0.00200353943329275,0.00223878026861383,0.00145540380070347,0.00183027677596189,0.00184942110245366,0.00326302125718868,0.0204474985752913,0.0286018542120213,0.0263094276494777,0.0183215430718264,0.0127324268094087,0.0248026410133897,0.00232999660310304,0.00200752026326678,0.00209915174637657,0.00197566712341705,0.00245471725623303,0.00102497947178003,0.00183210569367154,0.00151789579184927,0.00144622064092533,0.00107795532229801,0.0202793472645382,0.0179786549902184,0.0447971758481855,0.00419052518336972,0.025732702594033,0.0183194495398035,0.0240763677477529,0.0030784111999882,0.00171259333924539,0.00179027666433617,0.00144830415623841,0.000961554715048923,0.000746167802470611,0.000970255103314214,0.00120628129988039,0.000663687830165323,0.000682106500716225,0.0235610661239428,0.0339128951096583,0.0482848708391622,0.0295792964917457,0.0307887244050702,0.0264602159215993,0.00135473984268792,0.00183802490101817,0.00150700546984015,0.00150457462543172,0.00206124006767213,0.00072232479429896,0.000594503082295267,0.00112302572616608,0.0036080307129382,0.000913503389600178,0.00196858934544561,0.0370194641060276,0.0371271040710494,0.0602722595534556,0.0364373328398368,0.0366556398523305,0.00202212960797266,0.00236470257084477,0.00158633090362304,0.00125415316678146,-0.16114005880476,0.583360466702703,0.583360466702703,-0.573623301095213,0.212293836192332,0.212293836192332,0.986115482271222,0.00510790542499549,0.00510790542499549,-3.69208598814187,8.15153612774325e-05,8.15153612774325e-05,-0.679889857773662,0.850106739138526,0.850106739138526,"-0.0427783393493215","0.850106739138526","0.850106739138526",3.41125801549608,3.6584553538971e-05,3.6584553538971e-05,-0.654180124566266,0.00581685721588046,0.00581685721588046,1.81163834197301,0.0017062493689196,0.0017062493689196,0.492030219590558,0.00579535854433471,0.00579535854433471,-2.88138293339418,0.00018267179110955,0.00018267179110955,0.187727612870069,0.133320215589627,0.133320215589627,-0.252567123299162,0.554530406489424,0.554530406489424,-0.331126967935866,0.161972410480126,0.161972410480126,-0.119360525322315,0.427355313897808,0.427355313897808,0.00331824556860639,0.0221925222695648,0.00209962648357829,0.001180002525195,0.0363726244830798,0.00172143346176356,"3-hydroxyanthranilic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-hydroxyanthranilic acid"
"9","3-methoxytyramine and or isomers",0.0615523230073945,0.0294635009502794,0.0481169546533158,0.0172705405207661,0.012769958956039,0.0822103229711536,0.0191417354648387,0.0259039934042132,0.0321404871814857,0.0206961972414073,0.014905349722062,0.0265034552543453,0.00595049350363352,0.00535900434241276,0.0154214265922886,0.00952771845478474,0.0100061159600532,0.0198806359058257,0.0336024530050141,0.0348149046358358,0.0338196797643606,0.0339166237525658,0.0270763932629942,0.0180121010054489,0.0411868458727648,0.0284145647470143,0.0290992760544292,0.0397273360384316,0.0221753550100817,0.013020111221501,0.00901213250470895,0.00419946108057375,0.0067975222383557,0.00146593721915238,0.00267415809127301,0.00255404790888722,0.00355892646697639,0.00204244412235691,0.00213247002582658,0.0205378667768531,0.0346695610328281,0.0267323374496025,0.0248150004671299,0.0370665640242529,0.0240471028459636,0.0310835521104632,0.0417609638757513,0.0199866160522104,0.0269597218534105,0.0329295106163836,0.00227492194115437,0.00116212595309128,0.0017699830907701,0.00180618187769921,0.00135072641492924,0.00181498407821562,0.0234774458749577,0.0319594015292771,0.0250547183157046,0.0369856883904944,0.0288690815414477,0.024995695648315,0.0305183478149701,0.038483781726712,0.0334023117014989,0.107633670657834,0.402503823782004,0.402503823782004,0.376037759065137,0.969849976993156,0.969849976993156,3.60845393515771,3.6584553538971e-05,3.6584553538971e-05,0.371526390491723,0.430708328947102,0.430708328947102,0.271515392270567,0.677584957952476,0.677584957952476,"-0.277177132721756","0.570750388058174","0.570750388058174",3.17187026957787,3.6584553538971e-05,3.6584553538971e-05,-0.0544130914945023,0.84383142524677,0.84383142524677,-0.260392844166628,0.140465048158355,0.140465048158355,1.53469547207619,0.0017062493689196,0.0017062493689196,-1.46724066171793,0.00018267179110955,0.00018267179110955,-1.71128383540818,0.000412294802061691,0.000412294802061691,0.0569066448211765,0.393301639350615,0.393301639350615,-0.0285990121921823,0.427355313897808,0.427355313897808,-0.0893455520932244,0.472675593511587,0.472675593511587,0.0362078576154621,0.0264922247497102,0.00881044287759025,0.00205057559919436,0.0285649789316829,0.0311245001555239,"3-methoxytyramine and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-methoxytyramine and or isomers"
"10","3-methyglutaric acid",0.00739773920272814,0.00357910396212933,0.00207447740841575,0.0042661216200106,0.00258268393731242,0.00383065222520413,0.00201643491380518,0.0016960559521529,0.00168562088850946,0.0023922156327258,0.00184975097034337,0.0016542331019453,0.000414361230885466,0.000802527568222854,0.000267442987906621,0.000352199212704573,0.000465173208875587,0.00313396781696976,0.00494071312092046,0.00273841920832505,0.00272800910578354,0.00359199300243479,0.00215801708582175,0.00205054309893492,0.00186748994786271,0.00194719421214448,0.00208151677775589,0.00172029666990829,0.00227023215285712,0.000508309751387329,0.000705041580262656,0.000152500689106463,0.000817484131835566,0.000677604618030722,0.00144372672336939,0.000699304868260611,0.00277844278535337,0.000862970052929559,0.00263652267659971,0.0162040180704476,0.0130308721598831,0.00710946618816297,0.016837967959237,0.00399587884210074,0.0139791092405182,0.00184743677097809,0.00101616602935723,0.001153964518343,0.00206506805248538,0.00107610752403774,0.00115114384740606,0.00126795903209562,0.000832553345506723,0.00107362847305835,0.000959947576183476,0.00289366698768861,0.015901738229267,0.020848102064995,0.00847841110199272,0.00928209621664275,0.00746700783163131,0.00164780096019601,0.00157428792536654,0.000761349449812431,0.0017378491673031,0.12145152036594,0.750831884089117,0.750831884089117,0.192610362341359,0.909721889145555,0.909721889145555,0.910214961076803,0.000731481991814226,0.000731481991814226,-1.42047237098623,0.0025228230618503,0.0025228230618503,0.813795155452292,0.00131494466971322,0.00131494466971322,"-0.0392207918976954","0.520522883275773","0.520522883275773",0.267078414682209,0.0404041195882237,0.0404041195882237,-2.12003976629429,0.000106959882685582,0.000106959882685582,0.218429143271839,0.045154569624279,0.045154569624279,-0.644742946081778,0.000439638752626564,0.000439638752626564,-2.0482441891782,0.0017062493689196,0.0017062493689196,-0.698254902849413,0.000792268203850291,0.000792268203850291,-0.182021309749316,0.792812616632073,0.792812616632073,0.115833900679214,0.791336780100661,0.791336780100661,0.147255627928607,0.623176223882117,0.623176223882117,0.00358515814133798,0.00193596535991212,0.000498337817909679,0.00143978924887352,0.0121031516277162,0.00143111448865328,"3-methyglutaric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-methyglutaric acid"
