"","root.EOD.Arabidopsis.1.451.3.R","root.EOD.Arabidopsis.2.452.3.R","root.EOD.Arabidopsis.3.453.3.R","root.EOD.Arabidopsis.4.454.3.R","root.EOD.Arabidopsis.5.455.3.R","root.EOD.Arabidopsis.6.456.3.R","root.EOD.Brachy.1.433.3.R","root.EOD.Brachy.2.434.3.R","root.EOD.Brachy.3.436.3.R","root.EOD.Brachy.4.437.3.R","root.EOD.Brachy.5.438.3.R","root.EOD.Brachy.6.439.3.R","root.EOD.Medicago.1.442.3a.R","root.EOD.Medicago.2.442.3b.R","root.EOD.Medicago.3.444.3a.R","root.EOD.Medicago.4.449.3a.R","root.EOD.Medicago.5.449.3b.R","root.EON.Arabidopsis.1.451.4.R","root.EON.Arabidopsis.2.452.4.R","root.EON.Arabidopsis.3.453.4.R","root.EON.Arabidopsis.4.454.4.R","root.EON.Arabidopsis.5.455.4.R","root.EON.Arabidopsis.6.456.4.R","root.EON.Brachy.1.433.4.R","root.EON.Brachy.2.434.4.R","root.EON.Brachy.3.436.4.R","root.EON.Brachy.4.437.4.R","root.EON.Brachy.5.438.4.R","root.EON.Brachy.6.439.4.R","root.EON.Medicago.1.442.4c.R","root.EON.Medicago.2.444.4b.R","root.EON.Medicago.3.444.4c.R","root.EON.Medicago.4.449.4c.R","shoot.EOD.Arabidopsis.1.451.3.S","shoot.EOD.Arabidopsis.2.452.3.S","shoot.EOD.Arabidopsis.3.453.3.S","shoot.EOD.Arabidopsis.4.454.3.S","shoot.EOD.Arabidopsis.5.455.3.S","shoot.EOD.Arabidopsis.6.456.3.S","shoot.EOD.Brachy.1.433.3.S","shoot.EOD.Brachy.2.434.3.S","shoot.EOD.Brachy.3.436.3.S","shoot.EOD.Brachy.4.437.3.S","shoot.EOD.Brachy.5.438.3.S","shoot.EOD.Brachy.6.439.3.S","shoot.EOD.Medicago.1.442.3a.S","shoot.EOD.Medicago.2.442.3b.S","shoot.EOD.Medicago.3.444.3a.S","shoot.EOD.Medicago.4.449.3a.S","shoot.EOD.Medicago.5.449.3b.S","shoot.EON.Arabidopsis.1.451.4.S","shoot.EON.Arabidopsis.2.452.4.S","shoot.EON.Arabidopsis.3.453.4.S","shoot.EON.Arabidopsis.4.454.4.S","shoot.EON.Arabidopsis.5.455.4.S","shoot.EON.Arabidopsis.6.456.4.S","shoot.EON.Brachy.1.433.4.S","shoot.EON.Brachy.2.434.4.S","shoot.EON.Brachy.3.436.4.S","shoot.EON.Brachy.5.438.4.S","shoot.EON.Brachy.6.439.4.S","shoot.EON.Medicago.1.442.4c.S","shoot.EON.Medicago.2.444.4b.S","shoot.EON.Medicago.3.444.4c.S","shoot.EON.Medicago.4.449.4c.S","id"
"root-EOD-Arabidopsis-1-451-3-R",1,0.850944092418887,0.901787565731651,0.940062295315361,0.831318283838858,0.915993423812244,0.628836209844392,0.668760929521615,0.562419247297048,0.655118399051652,0.546209247384787,0.591964445263962,0.746324986928215,0.732936490651102,0.716300923050136,0.701902315591838,0.689982463436384,0.844779819562018,0.96317040936966,0.892119218751797,0.923986539825768,0.90197834783169,0.587618237229021,0.702624865176954,0.712845305779507,0.871217121138322,0.609433750133978,0.574689422652239,0.73384161512011,0.735298424412264,0.792488754609176,0.771717173327763,0.814706115340739,0.643789068063171,0.688293435194086,0.728104820837834,0.666753275673884,0.598658014164177,0.715620445545129,0.473678828165934,0.474075437248547,0.514569001600523,0.459861387672049,0.488995731462279,0.465735711126072,0.758193899338633,0.794813041069263,0.638912787748257,0.719534803115888,0.706836568479719,0.748600230200084,0.680555365327905,0.675404547730608,0.689279867529198,0.707425022788575,0.747946885287073,0.50873335925436,0.47453808907959,0.524465676665932,0.47984304254067,0.578320791651716,0.787380437837773,0.716383598478543,0.763612672131858,0.830895103370845,"root-EOD-Arabidopsis-1-451-3-R"
"root-EOD-Arabidopsis-2-452-3-R",0.850944092418887,1,0.917336144580433,0.887289330767344,0.944761022716285,0.912702297414552,0.63025774895313,0.695017861936328,0.621024889289523,0.659818875488927,0.541343343199188,0.631636083712031,0.734440105641113,0.72365142468589,0.694047176975032,0.69022315009903,0.68027686421172,0.793091113326427,0.882216393623049,0.921027841640352,0.910744564749315,0.805539940406193,0.637965441328693,0.707479863872099,0.773113588799152,0.803579694020357,0.645096867261646,0.648612844274661,0.753859724134848,0.724058503744302,0.722987622204557,0.770545062027494,0.768761168645763,0.708421013354242,0.702294467200673,0.769729589620634,0.703912992670848,0.693349764795427,0.722059693927929,0.462102587071417,0.449193803744713,0.525792913139965,0.445904996370733,0.499823245292859,0.444088836467331,0.709780261818044,0.81124269987958,0.653119322536363,0.717422826702415,0.722627181539298,0.760870943054306,0.714473423673148,0.750043418232854,0.755147714810806,0.750439287409983,0.758380790207641,0.498605678912703,0.465467650833998,0.534642028179841,0.490222082605128,0.587886347168248,0.811791353831621,0.700946997387577,0.777436664005934,0.779882432922344,"root-EOD-Arabidopsis-2-452-3-R"
"root-EOD-Arabidopsis-3-453-3-R",0.901787565731651,0.917336144580433,1,0.888681117925918,0.90211745049229,0.915242541338897,0.63786656501237,0.700521731326203,0.619769044822731,0.6613952719759,0.555123938198923,0.635098597658727,0.745606025242255,0.73090831905202,0.7186616106949,0.704020223341279,0.689645308695296,0.848509428579784,0.920469875525566,0.963451037561221,0.900457015400118,0.859217119713645,0.649715239865774,0.711689289177243,0.768564740595487,0.852092854800985,0.644500438230313,0.636885229996121,0.749691066495561,0.737719907320038,0.759114477229518,0.784348551539636,0.805362362142444,0.709704162885984,0.738990817288624,0.800349111263177,0.716709993936215,0.672064618836051,0.76186253353288,0.499356792736704,0.486000266920452,0.564549072341904,0.486760701832046,0.540378766010251,0.48193190255905,0.717013900242528,0.819022813464334,0.667733213042387,0.731776761057411,0.734773880308284,0.797420620911637,0.739964745300314,0.753623964652298,0.766862917411812,0.776000424218643,0.796083269128909,0.540113583155883,0.507420738047903,0.573252479270743,0.52892112266547,0.62682044377901,0.812153621431523,0.736075283403511,0.789055107999509,0.785069322212651,"root-EOD-Arabidopsis-3-453-3-R"
"root-EOD-Arabidopsis-4-454-3-R",0.940062295315361,0.887289330767344,0.888681117925918,1,0.871111911893307,0.934613428130434,0.621187269348054,0.666690795928352,0.569354288425992,0.649650350973147,0.529111832308771,0.593595579246497,0.726931755639083,0.715064265998941,0.699387660201715,0.684817477502222,0.67442545952373,0.818809528315373,0.952468655561385,0.882589014539338,0.951822953417482,0.88722177859266,0.599640033583338,0.697348549562063,0.735836445002362,0.856008849510027,0.613255877832398,0.580451298420325,0.738423332482762,0.722547528402689,0.776075206230346,0.745545098890564,0.798625079990986,0.637171211954254,0.680160102481397,0.721422854607513,0.680933379335823,0.631670727340765,0.704369072870514,0.476084578634839,0.47257542350944,0.517197364632399,0.46082192809012,0.489933187470561,0.466710741563376,0.747868159166552,0.785346984539513,0.632969543442001,0.713090100813643,0.701930185534976,0.743369517537864,0.695535571738962,0.699645664653295,0.708712287245665,0.703196293673513,0.739885118536472,0.51135264224823,0.478293403449264,0.527774007132977,0.483471228640402,0.582404973337519,0.791845923628277,0.713383611423983,0.757626571840671,0.827949668819017,"root-EOD-Arabidopsis-4-454-3-R"
"root-EOD-Arabidopsis-5-455-3-R",0.831318283838858,0.944761022716285,0.90211745049229,0.871111911893307,1,0.887839335548881,0.629914447506521,0.702029265363832,0.625783625950541,0.658285199147065,0.540420514317736,0.638075268542028,0.741276160307595,0.727695713757636,0.70072745678445,0.697123248685355,0.684137089048994,0.788028977608306,0.864321029806908,0.907852703812181,0.884059180277849,0.787585415369474,0.634982045133445,0.708506451239123,0.777913408489346,0.786434621009111,0.652161313299011,0.644260535969067,0.756045977212397,0.730840917087916,0.710932206315392,0.799974100686817,0.770756530697922,0.698864228970514,0.693547873724052,0.75488303823866,0.694173268280733,0.679270714647147,0.713877838862328,0.462955540125866,0.449294312708991,0.533846614586122,0.447580399788539,0.507087548119384,0.444460124738157,0.691328600061942,0.815020957987051,0.656904595123486,0.707837740091232,0.727320743728586,0.734452173423915,0.705618207113581,0.741009519058378,0.749680918418812,0.741560838088328,0.751333782561525,0.500815475600281,0.466959890309878,0.542227515320546,0.497748059586684,0.596046351521129,0.815819369749846,0.707939295503373,0.778010845014858,0.763172347525207,"root-EOD-Arabidopsis-5-455-3-R"
"root-EOD-Arabidopsis-6-456-3-R",0.915993423812244,0.912702297414552,0.915242541338897,0.934613428130434,0.887839335548881,1,0.618984238673572,0.673573631959158,0.592759283622298,0.642559655261703,0.536025278985644,0.61081140519951,0.724482137178246,0.708794084601333,0.690258002846747,0.683906631829008,0.6703167069257,0.799317398908372,0.94009425551718,0.898448407241406,0.934512576579596,0.872950441547819,0.615370739943631,0.69287547451439,0.742988980091108,0.84098487663509,0.615940684148311,0.610989588795078,0.730543814454914,0.716941889204988,0.744290966495156,0.748845658480489,0.76694408944556,0.680801805453951,0.688294807940168,0.749329947344137,0.685853670152421,0.652582367534102,0.709978819408652,0.450483105040397,0.440794669222289,0.508439658906847,0.434168190477157,0.485088564460593,0.433841606737314,0.747056439855747,0.797117067645137,0.638601881602009,0.708843718666423,0.706769466487215,0.749716742231568,0.699114047593024,0.711696161205842,0.72175752450649,0.724963791215783,0.744687603633893,0.485143216041613,0.45418427758599,0.520197814794634,0.476393544808211,0.571913837105051,0.787242251465231,0.691739153397752,0.761398496331563,0.820850856244938,"root-EOD-Arabidopsis-6-456-3-R"
"root-EOD-Brachy-1-433-3-R",0.628836209844392,0.63025774895313,0.63786656501237,0.621187269348054,0.629914447506521,0.618984238673572,1,0.822382956437198,0.846361921800891,0.9546062039969,0.884526048055395,0.890368950764409,0.639955345640087,0.61266544668313,0.682375209718172,0.689247198233869,0.702491440299487,0.699387961657414,0.630115806490005,0.64056123792749,0.620951935028647,0.634425084251336,0.795623072506525,0.907394718944531,0.719069661781511,0.694837356428525,0.848440365614946,0.824827443709334,0.843873013198438,0.631531982177772,0.718277367210714,0.597775832237129,0.709076167500684,0.54308995611064,0.587098968121207,0.588006146663333,0.496344483478828,0.473745423368871,0.58880379775558,0.574840073412396,0.565105946220487,0.622795352168877,0.564434146133353,0.597562424812968,0.563396054012439,0.71623450860819,0.700286067031909,0.679783721404656,0.720083039948036,0.675821648714455,0.6334977096,0.579973759880743,0.524544819744463,0.506465885987466,0.519934802921966,0.552709524517677,0.573223457870384,0.539332450620527,0.542590906382221,0.566633360913031,0.544741504167896,0.654186489707952,0.607666724175412,0.662726634582047,0.694414298439908,"root-EOD-Brachy-1-433-3-R"
"root-EOD-Brachy-2-434-3-R",0.668760929521615,0.695017861936328,0.700521731326203,0.666690795928352,0.702029265363832,0.673573631959158,0.822382956437198,1,0.8464218327099,0.849950646511391,0.731392834202963,0.874879767859536,0.74880659942703,0.743305995243987,0.763334955745575,0.767345743895786,0.762275626373803,0.723638966903677,0.672480298539675,0.701092786033643,0.664336491399659,0.674640367716176,0.810374751646848,0.895323844219937,0.889810544451386,0.733612745730405,0.893537631462904,0.886728114011724,0.886902902815466,0.754356984026586,0.735302803657727,0.72875284803662,0.72893925861387,0.666312847767406,0.687344064013773,0.699998214734365,0.593857641603349,0.611292934576909,0.655136563969913,0.537197190030377,0.522984328717702,0.62049158173248,0.528521463720439,0.616082091688407,0.519377714073064,0.718137308677689,0.779612178390716,0.769693458372971,0.73647949145329,0.77864089244636,0.680941655321131,0.677347124081211,0.648654682679862,0.643262287450136,0.638926914058214,0.652387568241691,0.575604137721688,0.541245485022069,0.61813607281758,0.595893369067891,0.6707651277948,0.767206012634689,0.733303539714285,0.766855797583302,0.729406645802207,"root-EOD-Brachy-2-434-3-R"
"root-EOD-Brachy-3-436-3-R",0.562419247297048,0.621024889289523,0.619769044822731,0.569354288425992,0.625783625950541,0.592759283622298,0.846361921800891,0.8464218327099,1,0.839475996063875,0.807650671932295,0.899850808960388,0.644530527331153,0.619138328713592,0.685927670844676,0.691814419114931,0.707191901721247,0.647647944581353,0.588606947205457,0.620019467933664,0.585541335039234,0.585426402464711,0.898511914494196,0.802070007541932,0.774554650975877,0.642168315221706,0.857317364971774,0.904556582201384,0.794621438452541,0.637467735630405,0.672035567998862,0.602959274918078,0.66234004443451,0.561873979030051,0.575971381724375,0.595636559142165,0.474577224447516,0.504987655552296,0.57833599253652,0.574720282083693,0.57172941612078,0.626261981082832,0.568926464609843,0.647854432109913,0.563346065392767,0.669059402600534,0.69702339909921,0.711408251141981,0.675986255972491,0.703549401649499,0.612867793216785,0.569032345715596,0.543930739235481,0.535508118693338,0.530258357501014,0.535850635843928,0.547262202595978,0.541193986928878,0.568051021786168,0.614043303311618,0.559504049164194,0.687052046045335,0.614333785027641,0.688732927641123,0.65427704264682,"root-EOD-Brachy-3-436-3-R"
"root-EOD-Brachy-4-437-3-R",0.655118399051652,0.659818875488927,0.6613952719759,0.649650350973147,0.658285199147065,0.642559655261703,0.9546062039969,0.849950646511391,0.839475996063875,1,0.852158086297885,0.881889484576791,0.669781381139118,0.645456720128109,0.712399623531578,0.719268191033918,0.734921781977499,0.726934062094839,0.655408094999064,0.66502002824957,0.648958740397307,0.658436316881907,0.789903240813567,0.929758023084917,0.746913028294346,0.718629149338518,0.86462128350509,0.830385870435809,0.868078344495919,0.662052926088067,0.752448654771386,0.624932764415226,0.744180088637899,0.56541122655168,0.609210130973077,0.609691553945787,0.518189968537266,0.496965052956949,0.60869155156874,0.568755119018993,0.560241508670437,0.618431714863658,0.55739812480987,0.592929454558424,0.558617899021933,0.752466527226857,0.732773652112078,0.712311399166629,0.75273498340266,0.708453389894854,0.658555299547288,0.600654401109696,0.548165741001595,0.530958055568374,0.542581529854912,0.57316656940569,0.565649088486099,0.531966625678993,0.557031041770639,0.561515384506955,0.573947236356794,0.687386491899641,0.636278753475015,0.69838342109012,0.729012774734298,"root-EOD-Brachy-4-437-3-R"
