"","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S"
"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",1315259.75,1614273.125,1209808.625,1788405.25,1772332.5,1862241.125,39093.2890625,0,34481.32421875,48415.39453125,31960.626953125,50935.265625,101527.5078125,84427.296875,66187.6015625,60552.8046875,71710.3828125,984857.375,1538530.375,1506929.75,1595733.875,1513659.75,183210.953125,0,86520.796875,529726.5625,42239.0625,69036.6015625,0,64323.27734375,0,104312.1015625,71107.75,195109.921875,83424.8671875,173116.1875,84121.0078125,0,121318.3359375,0,24111.65625,0,0,0,38814.05078125,275996.625,107310.9609375,207206.671875,216802.25,169954.71875,225063.453125,25195.599609375,79930.84375,0,0,37610.45703125,0,48160.67578125,0,35280.27734375,40066.60546875,117450.5,87509.9921875,87247.46875,84479.6328125
"2-amino-2-methylpropanoic acid",49715.9724121094,70319.6169433594,0,52998.5661621094,0,76147.3435058594,1216472.89819336,1155878.02319336,1409891.64819336,446747.616943359,480223.523193359,1229598.27319336,0,0,26636.8239746094,28420.6911621094,0,0,53725.2810058594,51369.6325683594,56301.1755371094,51435.1403808594,3758561.89819336,531434.023193359,710197.023193359,533451.773193359,874705.398193359,693879.960693359,477029.429443359,0,0,0,0,0,0,41491.8708496094,26095.5173339844,31752.0778808594,0,240257.101318359,164860.429443359,238200.038818359,149292.382568359,250477.835693359,246941.788818359,33924.7575683594,52729.3474121094,39502.8513183594,43703.7966308594,47063.0856933594,0,0,39095.3435058594,35802.3356933594,24090.0798339844,27080.7985839844,185834.523193359,298390.866943359,173686.976318359,308932.710693359,206800.101318359,80988.7731933594,53714.5856933594,43357.9372558594,24823.1247558594
"2-phosphoglyceric acid",0,0,0,0,0,0,0,0,35000.0827636719,0,28839.4733886719,0,0,38927.4929199219,0,54900.4382324219,23784.1452636719,0,0,0,0,0,44233.8015136719,0,49378.6452636719,0,21110.1433105469,23665.6257324219,0,25097.2683105469,25830.1901855469,30799.5163574219,0,42279.1335449219,0,36939.9851074219,27532.4206542969,63660.0163574219,0,30354.7233886719,0,0,33651.5749511719,30415.1687011719,0,155064.426513672,366387.848388672,162240.004638672,126509.590576172,224204.864013672,24407.4890136719,39465.3210449219,71854.0124511719,46279.9929199219,24951.0261230469,17917.1413574219,28543.1569824219,53372.5554199219,64611.0749511719,53493.5241699219,38165.7312011719,308504.754638672,105620.465576172,304382.067138672,234043.723388672
"2-deoxyadenosine",437583.6328125,546247.7265625,295249.4140625,245856.3515625,238759.4140625,1155035.6015625,91391.0703125,199442.8828125,129442.7109375,110612.2109375,155692.9609375,162944.0546875,35730.7890625,55675,383920.8828125,45577.5,58372.640625,326920.2890625,314740.4140625,328930.6953125,402029.8515625,237362.5703125,287622.8203125,47634.7421875,219234.3203125,197547.9921875,137587.4453125,104034.6328125,76985.9609375,82613.7578125,141654.8515625,4192.41015625,4118.58984375,45957.8203125,68724.6640625,203381.9296875,71655.8984375,42426.0390625,66991.96875,4110843.4765625,11805785.9765625,3536514.2265625,4875637.9765625,5671316.9765625,6137728.9765625,1276392.1015625,1952805.1015625,1406668.8515625,764775.9140625,1543608.9765625,44820.28125,21377.97265625,18735.48046875,47545.5078125,46808.8046875,21558.49609375,5489157.9765625,8274455.9765625,3669238.2265625,8708382.9765625,5887585.9765625,1640963.3515625,1272893.8515625,1859660.3515625,1156592.3515625
"2-deoxyguanosine",99307.6114501953,142075.822387695,195403.869262695,0,104483.775512695,1616807.1036377,52768.8380126953,280735.072387695,224296.556762695,9508.52941894531,5064.21496582031,788741.916137695,167088.009887695,141232.869262695,185440.697387695,172759.525512695,252366.384887695,32106.9630126953,23468.6817626953,271379.947387695,22167.7637939453,17873.5645751953,950330.541137695,38924.2598876953,542008.416137695,14330.2286376953,812355.728637695,591274.353637695,94691.8848876953,253811.134887695,37875.2208251953,144257.931762695,10639.9356689453,62073.5098876953,50374.3223876953,116622.025512695,123419.416137695,527751.041137695,0,229259.697387695,974768.853637695,794395.416137695,263546.228637695,2055756.7286377,237087.916137695,46146.1309814453,486885.634887695,254825.353637695,32392.6075439453,357419.166137695,28602.6075439453,537407.541137695,5313896.9786377,12872190.4786377,1840326.2286377,296003.947387695,904645.103637695,867584.603637695,5350497.9786377,3357490.4786377,5360294.9786377,1050324.7286377,2866820.4786377,776884.228637695,104380.228637695
"2,3-cyclic AMP",36456.54296875,27935.9453125,25757.681640625,20975.31640625,22118.013671875,37746.5546875,244240.03125,127387.296875,146794.734375,130781.8203125,136914.5625,208150.671875,0,0,0,0,0,28286.57421875,22163.697265625,29811.31640625,24320.376953125,31448.443359375,229007.734375,128672.1171875,129932.34375,33072.921875,109148.265625,86022.34375,146364.796875,0,0,0,0,27750.13671875,32192.4765625,27779.623046875,27190.146484375,21240.966796875,24880.822265625,889913.1875,1149428.75,478184.5,675006.5,1024858.1875,952731.9375,18955.150390625,19515.705078125,17487.94921875,0,20804.78515625,43947.7578125,25649.505859375,35565.1953125,30985.501953125,17531.2421875,40775.8515625,965296.1875,1135849.75,416936.40625,1219054.625,843706.9375,27366.3671875,19844.650390625,0,15822.4482421875
"3-dehydroshikimic acid and or isomers",2406023.0592041,1914692.0592041,2669663.5592041,577553.621704102,753121.496704102,6420117.0592041,748252.809204102,1258381.6842041,1351917.8092041,770121.746704102,692284.309204102,1480115.0592041,342718.121704102,278852.402954102,905650.496704102,513333.434204102,566740.496704102,930317.246704102,1282919.0592041,2164937.3092041,1460387.8092041,1425090.1842041,2120556.3092041,630025.184204102,1940429.0592041,1026147.0592041,1390418.4342041,1798659.3092041,743669.246704102,659789.434204102,254414.590454102,169633.715454102,219214.887329102,85723.8873291016,129424.137329102,214357.965454102,141291.387329102,132038.809204102,90405.7310791016,1627505.0592041,3083350.5592041,2859364.8092041,1897301.1842041,3640686.5592041,1917579.4342041,1622100.8092041,3417704.0592041,1313994.4342041,1272016.0592041,2664468.3092041,130810.106079102,57859.1529541016,133600.668579102,137071.856079102,87496.5357666016,76086.0279541016,1749053.9342041,2679095.5592041,2583076.8092041,4636847.5592041,2326604.3092041,1703796.3092041,2577221.5592041,3072870.3092041,1458810.4342041
"3-hydroxyanthranilic acid",78316.4930419922,145487.625854492,80749.8836669922,61207.2899169922,109071.516479492,254821.750854492,799295.250854492,1389440.18835449,1106647.31335449,681759.000854492,591362.125854492,1385131.18835449,134195.938354492,104460.047729492,123276.391479492,106444.789916992,139033.735229492,47964.0633544922,69948.5633544922,94389.1492919922,62450.1180419922,45292.9383544922,1588228.43835449,628855.313354492,2110521.93835449,151334.188354492,1229557.18835449,829415.000854492,807421.313354492,155997.375854492,48346.9071044922,72316.7274169922,46706.7000732422,56229.0164794922,36113.0946044922,81432.2664794922,47890.0477294922,42905.7274169922,28917.7977294922,1867075.81335449,3016056.18835449,5164683.43835449,2261568.93835449,3024075.68835449,2110007.43835449,70697.3446044922,150423.375854492,99076.1414794922,70988.9774169922,166783.797729492,41534.3406982422,29598.7235107422,84767.4696044922,273814.875854492,59174.3680419922,82525.3211669922,2757925.18835449,3112294.18835449,6213914.43835449,4568100.93835449,2954135.18835449,137835.610229492,199695.032104492,126666.063354492,54773.8055419922
"isomer of 3-methoxy-4-hydroxymandelic acid",19127.2612304688,23009.1147460938,15807.7690429688,18880.2885742188,18236.8549804688,35575.8393554688,1343910.36279297,1501431.86279297,1440841.98779297,914494.362792969,880670.050292969,1641406.11279297,0,12963.2084960938,0,0,0,12298.6284179688,21166.6616210938,23827.3725585938,23416.2104492188,0,1884649.36279297,801807.612792969,1827299.61279297,124489.354980469,1588957.61279297,862332.800292969,1122835.86279297,12869.4467773438,9707.36474609375,0,0,0,14146.4506835938,25337.1186523438,26778.5991210938,20996.4877929688,21477.4272460938,3239071.11279297,4183832.36279297,4325162.61279297,3009638.61279297,3193767.86279297,2589175.86279297,22515.9370117188,164454.862792969,34495.3315429688,42381.4487304688,72928.5502929688,33416.0541992188,19080.7319335938,20337.3178710938,37216.8393554688,27343.0893554688,20124.1557617188,3139154.36279297,4197496.11279297,4732298.11279297,5944217.61279297,2686089.11279297,110670.519042969,33956.8510742188,282640.987792969,39847.8549804688
"3-methoxytyramine and or isomers",2406023.0592041,1914692.0592041,2669663.5592041,577553.621704102,753121.496704102,6420117.0592041,748252.809204102,1258381.6842041,1351917.8092041,770121.746704102,692284.309204102,1480115.0592041,342718.121704102,278852.402954102,905650.496704102,513333.434204102,566740.496704102,930317.246704102,1282919.0592041,2164937.3092041,1460387.8092041,1425090.1842041,2120556.3092041,630025.184204102,1940429.0592041,1026147.0592041,1390418.4342041,1798659.3092041,743669.246704102,659789.434204102,254414.590454102,169633.715454102,219214.887329102,85723.8873291016,129424.137329102,214357.965454102,141291.387329102,132038.809204102,90405.7310791016,1627505.0592041,3083350.5592041,2859364.8092041,1897301.1842041,3640686.5592041,1917579.4342041,1622100.8092041,3417704.0592041,1313994.4342041,1272016.0592041,2664468.3092041,130810.106079102,57859.1529541016,133600.668579102,137071.856079102,87496.5357666016,76086.0279541016,1749053.9342041,2679095.5592041,2583076.8092041,4636847.5592041,2326604.3092041,1703796.3092041,2577221.5592041,3072870.3092041,1458810.4342041
