"","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name"
"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",0.000336477627098907,0.000248406199439813,0.000218051096916759,0.000534785415188689,0.000300517424884318,0.000238462076196775,1.00008097327534e-05,0,8.19758828168579e-06,1.30111188137153e-05,6.88133929570604e-06,9.12064589145043e-06,1.762786200725e-05,1.62252950226779e-05,1.12704320544223e-05,1.12388953508273e-05,1.26608634839856e-05,0.000210461441630887,0.000402974718099495,0.000242333185889993,0.000369540257057157,0.000360245469368837,2.33933510530658e-05,0,1.83645916287249e-05,0.000146684138236912,8.83997298749395e-06,1.52482477097809e-05,0,1.26933864310414e-05,0,2.58235581041141e-05,2.20494382399671e-05,3.33651337117301e-05,1.7237223921806e-05,2.06265736727929e-05,2.11888698095451e-05,0,2.86162958787999e-05,0,2.71114335496683e-06,0,0,0,4.86741490003813e-06,5.28879304345382e-05,1.31123382409731e-05,3.15173343693075e-05,4.59501145044562e-05,2.10042870318632e-05,3.9140843396031e-05,5.06064446414881e-06,1.0589486068681e-05,0,0,8.97173666725123e-06,0,5.74517161183888e-06,0,2.81412172279853e-06,4.97156347467629e-06,1.72306803101e-05,1.03625564101217e-05,1.0926632775637e-05,1.93432605187721e-05,"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-amino-2-methylpropanoic acid",1.27186378402755e-05,1.08208632854266e-05,0,1.58481195519913e-05,0,9.7507532110141e-06,0.000311196992927178,0.000237939387267968,0.00033518756937391,0.000120058637961576,0.000103395374744041,0.000220176145170256,0,0,4.53572130828702e-06,5.27501864558666e-06,0,0,1.40718248530857e-05,8.26088058735909e-06,1.30382335090828e-05,1.2241374779606e-05,0.000479913217192453,0.000151934296334254,0.000150743853246348,0.000147715669141701,0.000183062114412327,0.000153258608941326,0.000142244646999262,0,0,0,0,0,0,4.94370366665727e-06,6.57308481889536e-06,4.9115745008071e-06,0,3.0318605224382e-05,1.85371030985208e-05,2.22694347979096e-05,1.95261067352723e-05,2.55016535546358e-05,3.09673460549289e-05,6.50084115443066e-06,6.44300481938696e-06,6.00861237852828e-06,9.26279344179988e-06,5.81641138168454e-06,0,0,5.17947235363192e-06,4.7176372859015e-06,3.71890234103846e-06,6.45995323674222e-06,2.49444563981156e-05,3.55955706639481e-05,1.68468790833355e-05,2.46419336099473e-05,2.56602679025453e-05,1.18815301731536e-05,6.36064991413932e-06,5.43002868841263e-06,5.68373882623602e-06,"2-amino-2-methylpropanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-phosphoglyceric acid",0,0,0,0,0,0,0,0,8.32091791200676e-06,0,6.2093338090019e-06,0,0,7.48111192111335e-06,0,1.01897886182656e-05,4.1992219878952e-06,0,0,0,0,0,5.64800755397499e-06,0,1.04809327722342e-05,0,4.41802174533018e-06,5.22707252685723e-06,0,4.95262894219202e-06,9.14983280473364e-06,7.6247442848992e-06,0,7.23002157135896e-06,0,4.40135226689943e-06,6.93502006164551e-06,9.84725831913379e-06,0,3.83053349959872e-06,0,0,4.40132465570188e-06,3.0966296593709e-06,0,2.97142640868403e-05,4.47689719063526e-05,2.46776439581044e-05,2.68130527837556e-05,2.77089294861548e-05,4.24471273283045e-06,7.92677934116423e-06,9.51944240962073e-06,6.09826750020606e-06,3.85181079098831e-06,4.27402075851251e-06,3.83133081290696e-06,6.36690588899942e-06,6.26699243788758e-06,4.26689640018641e-06,4.73569829548075e-06,4.5259465062514e-05,1.2507120675446e-05,3.81199720606628e-05,5.35888777397793e-05,"2-phosphoglyceric acid","HMDB0000362","","belongs to the class of organic compounds known as sugar acids and derivatives. Sugar acids and derivatives are compounds containing a saccharide unit which bears a carboxylic acid group.","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,"223441398",NA,NA,"24344",NA,"2-Phosphoglyceric acid"
"2-deoxyadenosine",0.000111945265888407,8.40572265043616e-05,5.32145806121679e-05,7.35182314227315e-05,4.0484144076211e-05,0.000147903611370297,2.33795806744933e-05,4.10556446088126e-05,3.07737035735386e-05,2.97258471750472e-05,3.35217482352701e-05,2.91773293942024e-05,6.20381049997921e-06,1.06996591602956e-05,6.53740900389968e-05,8.45940589368067e-06,1.03060115588178e-05,6.98620095467936e-05,8.243739070238e-05,5.2896177364664e-05,9.31021249962854e-05,5.64914212410154e-05,3.67252147957143e-05,1.36185315946324e-05,4.65338844411808e-05,5.47021030202836e-05,2.87948933521146e-05,2.29783305611437e-05,2.29563212698053e-05,1.63027817570682e-05,5.01784229409767e-05,1.03787523829469e-06,1.27711244407989e-06,7.85910221833114e-06,1.41998718527622e-05,2.4232698380179e-05,1.80490883616418e-05,6.56267764306647e-06,1.58019147265664e-05,0.000518756947541682,0.00132745664041714,0.000330630395238387,0.000637689786277705,0.000577408217914651,0.000769692234425267,0.000244588993342334,0.000238613472348819,0.000213962475920324,0.000162090295748416,0.000190770849124655,7.79470671499017e-06,4.29385768367748e-06,2.48213455664759e-06,6.26502310783525e-06,7.22610196949124e-06,5.14264290206263e-06,0.000736806377285791,0.000987074388156012,0.000355900102823752,0.00069462179863319,0.000730546225532483,0.000240738991416501,0.000150730608141886,0.000232898742394007,0.000264824389328813,"2-deoxyadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-deoxyguanosine",2.54054679721036e-05,2.18627904566108e-05,3.5218816558288e-05,0,1.77163117864545e-05,0.000207033972973365,1.3499276255312e-05,5.77897751909958e-05,5.33242520987785e-05,2.55531545723027e-06,1.09035975725109e-06,0.00014123487192153,2.90109000489391e-05,2.7142228349195e-05,3.15768622928444e-05,3.20650090134731e-05,4.45566767557838e-05,6.861173905553e-06,6.14696048330466e-06,4.36412959775457e-05,5.13361360508618e-06,4.25384282014862e-06,0.000121343268980846,1.11282488103266e-05,0.000115044747404273,3.9681174916696e-06,0.000170013306933439,0.000130595910062953,2.82360225767671e-05,5.00864220337138e-05,1.34165461231026e-05,3.57125685999266e-05,3.29928319219259e-06,1.06149955750904e-05,1.04083291251083e-05,1.38953660882114e-05,3.10875726351331e-05,8.16352418305466e-05,0,2.89308171155716e-05,0.000109604171226042,7.42684048717844e-05,3.44694866645443e-05,0.000209300738092092,2.97316366727968e-05,8.84276525182063e-06,5.94926098279624e-05,3.87604115432216e-05,6.86544547273933e-06,4.41725584994701e-05,4.97428688243716e-06,0.000107940614242749,0.000704001551662466,0.00169615542051104,0.000284100076343468,7.06098696493566e-05,0.000121429968746871,0.000103495691346348,0.000518974965149485,0.000267809314478004,0.000665118654737817,0.000154088825683575,0.000339476535021549,9.72948418690725e-05,2.38998902851432e-05,"2-deoxyguanosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,3-cyclic AMP",9.32653118165772e-06,4.2988152967216e-06,4.64246213798562e-06,6.27223236625509e-06,3.75033946069827e-06,4.83348889637284e-06,6.24812631586952e-05,2.62228840379032e-05,3.48989727509166e-05,3.51462137040231e-05,2.94786319576102e-05,3.72721835636715e-05,0,0,0,0,0,6.04476682613786e-06,5.80515653300493e-06,4.79403321906757e-06,5.63211603876289e-06,7.48461418685231e-06,2.92409281908298e-05,3.67867067773498e-05,2.75789696641286e-05,9.15807019628377e-06,2.28430192965768e-05,1.89999214386071e-05,4.36442860326192e-05,0,0,0,0,4.74546354814835e-06,6.65160096519096e-06,3.30990677217163e-06,6.84880612990316e-06,3.28566184813093e-06,5.86883232578923e-06,0.000112300225332496,0.000129243138059847,4.4705696090341e-05,8.82848055557522e-05,0.000104342878753762,0.000119475847920771,3.63228599348121e-06,2.38462617201323e-06,2.66001831877941e-06,0,2.57121239276048e-06,7.64296593810097e-06,5.15181348520478e-06,4.71178737296438e-06,4.08292801308909e-06,2.70638279581088e-06,9.72682151396648e-06,0.000129571127294293,0.00013549751188406,4.04410127369562e-05,9.72375604665774e-05,0.000104689242942668,4.01480729547021e-06,2.34991803760405e-06,0,3.62285829381747e-06,"2,3-cyclic amp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-dehydroshikimic acid and or isomers",0.000615523230073945,0.000294635009502794,0.000481169546533158,0.000172705405207661,0.00012769958956039,0.000822103229711536,0.000191417354648387,0.000259039934042132,0.000321404871814857,0.000206961972414073,0.00014905349722062,0.000265034552543453,5.95049350363352e-05,5.35900434241276e-05,0.000154214265922886,9.52771845478474e-05,0.000100061159600532,0.000198806359058257,0.000336024530050141,0.000348149046358358,0.000338196797643606,0.000339166237525658,0.000270763932629942,0.000180121010054489,0.000411868458727648,0.000284145647470143,0.000290992760544292,0.000397273360384316,0.000221753550100817,0.00013020111221501,9.01213250470895e-05,4.19946108057375e-05,6.7975222383557e-05,1.46593721915238e-05,2.67415809127301e-05,2.55404790888722e-05,3.55892646697639e-05,2.04244412235691e-05,2.13247002582658e-05,0.000205378667768531,0.000346695610328281,0.000267323374496025,0.000248150004671299,0.000370665640242529,0.000240471028459636,0.000310835521104632,0.000417609638757513,0.000199866160522104,0.000269597218534105,0.000329295106163836,2.27492194115437e-05,1.16212595309128e-05,1.7699830907701e-05,1.80618187769921e-05,1.35072641492924e-05,1.81498407821562e-05,0.000234774458749577,0.000319594015292771,0.000250547183157046,0.000369856883904944,0.000288690815414477,0.00024995695648315,0.000305183478149701,0.00038483781726712,0.000334023117014989,"3-dehydroshikimic acid and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxyanthranilic acid",2.00353943329275e-05,2.23878026861383e-05,1.45540380070347e-05,1.83027677596189e-05,1.84942110245366e-05,3.26302125718868e-05,0.000204474985752913,0.000286018542120213,0.000263094276494777,0.000183215430718264,0.000127324268094087,0.000248026410133897,2.32999660310304e-05,2.00752026326678e-05,2.09915174637657e-05,1.97566712341705e-05,2.45471725623303e-05,1.02497947178003e-05,1.83210569367154e-05,1.51789579184927e-05,1.44622064092533e-05,1.07795532229801e-05,0.000202793472645382,0.000179786549902184,0.000447971758481855,4.19052518336972e-05,0.00025732702594033,0.000183194495398035,0.000240763677477529,3.0784111999882e-05,1.71259333924539e-05,1.79027666433617e-05,1.44830415623841e-05,9.61554715048923e-06,7.46167802470611e-06,9.70255103314214e-06,1.20628129988039e-05,6.63687830165323e-06,6.82106500716225e-06,0.000235610661239428,0.000339128951096583,0.000482848708391622,0.000295792964917457,0.000307887244050702,0.000264602159215993,1.35473984268792e-05,1.83802490101817e-05,1.50700546984015e-05,1.50457462543172e-05,2.06124006767213e-05,7.2232479429896e-06,5.94503082295267e-06,1.12302572616608e-05,3.6080307129382e-05,9.13503389600178e-06,1.96858934544561e-05,0.000370194641060276,0.000371271040710494,0.000602722595534556,0.000364373328398368,0.000366556398523305,2.02212960797266e-05,2.36470257084477e-05,1.58633090362304e-05,1.25415316678146e-05,"3-hydroxyanthranilic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isomer of 3-methoxy-4-hydroxymandelic acid",4.89325053224585e-06,3.54066895993929e-06,2.84912944774726e-06,5.64575784154393e-06,3.09224860274199e-06,4.55552635008424e-06,0.00034379792947789,0.000309072212023362,0.000342545701550226,0.000245760566943065,0.000189614222290463,0.000293915889809337,0,2.49127817749531e-06,0,0,0,2.62818468199855e-06,5.54401111506664e-06,3.83174006851469e-06,5.42272904290434e-06,0,0.000240642076271894,0.000229232736574006,0.000387856011321208,3.44717728875058e-05,0.000332543895247739,0.000190465113425841,0.000334816640406171,2.53962279044877e-06,3.43864151844389e-06,0,0,0,2.92293588653657e-06,3.01888547851058e-06,6.74514327887712e-06,3.24784458004302e-06,5.06604717283828e-06,0.000408745955160517,0.000470435095419102,0.000404361507553733,0.000393633779413252,0.000325163946524132,0.000324691520717687,4.31462272534755e-06,2.00947579583241e-05,5.24693963076505e-06,8.98252865009372e-06,9.0130607401637e-06,5.81139463633165e-06,3.83244701172817e-06,2.69435094347149e-06,4.90402499184799e-06,4.22108518178614e-06,4.80049008696895e-06,0.000421366804101131,0.000500726684516558,0.000459012274739522,0.00047413890050288,0.00033329657870075,1.62360171594181e-05,4.02102406788876e-06,3.53971791411664e-05,9.12394401277994e-06,"isomer of-methoxy-4-hydroxymandelic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-methoxytyramine and or isomers",0.000615523230073945,0.000294635009502794,0.000481169546533158,0.000172705405207661,0.00012769958956039,0.000822103229711536,0.000191417354648387,0.000259039934042132,0.000321404871814857,0.000206961972414073,0.00014905349722062,0.000265034552543453,5.95049350363352e-05,5.35900434241276e-05,0.000154214265922886,9.52771845478474e-05,0.000100061159600532,0.000198806359058257,0.000336024530050141,0.000348149046358358,0.000338196797643606,0.000339166237525658,0.000270763932629942,0.000180121010054489,0.000411868458727648,0.000284145647470143,0.000290992760544292,0.000397273360384316,0.000221753550100817,0.00013020111221501,9.01213250470895e-05,4.19946108057375e-05,6.7975222383557e-05,1.46593721915238e-05,2.67415809127301e-05,2.55404790888722e-05,3.55892646697639e-05,2.04244412235691e-05,2.13247002582658e-05,0.000205378667768531,0.000346695610328281,0.000267323374496025,0.000248150004671299,0.000370665640242529,0.000240471028459636,0.000310835521104632,0.000417609638757513,0.000199866160522104,0.000269597218534105,0.000329295106163836,2.27492194115437e-05,1.16212595309128e-05,1.7699830907701e-05,1.80618187769921e-05,1.35072641492924e-05,1.81498407821562e-05,0.000234774458749577,0.000319594015292771,0.000250547183157046,0.000369856883904944,0.000288690815414477,0.00024995695648315,0.000305183478149701,0.00038483781726712,0.000334023117014989,"3-methoxytyramine and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
