"","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name"
"1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline","1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-amino-2-methylpropanoic acid","2-amino-2-methylpropanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-phosphoglyceric acid","2-phosphoglyceric acid","HMDB0000362","","belongs to the class of organic compounds known as sugar acids and derivatives. Sugar acids and derivatives are compounds containing a saccharide unit which bears a carboxylic acid group.","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,"223441398",NA,NA,"24344",NA,"2-Phosphoglyceric acid"
"2-deoxyadenosine","2-deoxyadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-deoxyguanosine","2-deoxyguanosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,3-cyclic AMP","2,3-cyclic amp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-dehydroshikimic acid and or isomers","3-dehydroshikimic acid and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxyanthranilic acid","3-hydroxyanthranilic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isomer of 3-methoxy-4-hydroxymandelic acid","isomer of-methoxy-4-hydroxymandelic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-methoxytyramine and or isomers","3-methoxytyramine and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-methyglutaric acid","3-methyglutaric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-methyl-histidine","3-methyl-histidine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-acetamidobutanoic acid","4-acetamidobutanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-aminobutanoic acid","4-aminobutanoic acid","HMDB0000112","C00334","belongs to the class of organic compounds known as gamma amino acids and derivatives. These are amino acids having a (-NH2) group attached to the gamma carbon atom.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","56-12-2","DTXSID6035106","DTXCID4015106","315677424","   119","C00334","16865","DB02530","4-Aminobutanoic acid"
"4-guanidinobutanoic acid","4-guanidinobutanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-hydroxy-2-quinolinecarboxylic acid","4-hydroxy-2-quinolinecarboxylic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-hydroxyproline","4-hydroxyproline","HMDB0000725","C01157","belongs to the class of organic compounds known as proline and derivatives. Proline and derivatives are compounds containing proline or a derivative thereof resulting from reaction of proline at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","51-35-4",NA,NA,"  8143893",NA,"C01157","18095","DB08847","4-Hydroxyproline"
"4-imidazoleacetic acid","4-imidazoleacetic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-pyridoxic acid","4-pyridoxic acid","HMDB0000017","C00847","belongs to the class of organic compounds known as pyridinecarboxylic acids. Pyridinecarboxylic acids are compounds containing a pyridine ring bearing a carboxylic acid group.","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","82-82-6",NA,NA,"  8144151",NA,"C00847","17405",NA,"4-Pyridoxic acid"
