"","x","y","Group","ID"
"exudate-EON-Arabidopsis-1-451-2",-0.12323119393161,0.17863167728171,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-1-451-2"
"exudate-EON-Arabidopsis-2-452-2",-0.228291907112281,0.215737990243205,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-2-452-2"
"exudate-EON-Arabidopsis-3-453-2",-0.225358045091496,0.223363446001383,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-3-453-2"
"exudate-EON-Arabidopsis-4-454-2",-0.0661107580303553,0.193133411669776,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-4-454-2"
"exudate-EON-Arabidopsis-5-455-2",-0.0427585132191194,0.24595264359829,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-5-455-2"
"exudate-EON-Arabidopsis-6-456-2",-0.225586259991884,0.201251527105883,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-6-456-2"
"exudate-EON-Arabidopsis-7-457-2",-0.109274770651718,0.201902454367494,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-7-457-2"
"exudate-EON-Arabidopsis-8-458-2",-0.0186278575550428,0.1187401121542,"exudate.EON.Arabidopsis","exudate-EON-Arabidopsis-8-458-2"
"exudate-EON-Brachy-1-433-2",0.337942103949019,-0.00924948121186938,"exudate.EON.Brachy","exudate-EON-Brachy-1-433-2"
"exudate-EON-Brachy-2-434-2",0.327000073234096,-0.0489300438475007,"exudate.EON.Brachy","exudate-EON-Brachy-2-434-2"
"exudate-EON-Brachy-3-436-2",0.244886865765642,0.0871513657981544,"exudate.EON.Brachy","exudate-EON-Brachy-3-436-2"
"exudate-EON-Brachy-4-437-2",0.341963054592285,-0.0271129731407887,"exudate.EON.Brachy","exudate-EON-Brachy-4-437-2"
"exudate-EON-Brachy-5-438-2",0.345003823561115,-0.0334857078447399,"exudate.EON.Brachy","exudate-EON-Brachy-5-438-2"
"exudate-EON-Brachy-6-439-2",0.331756114026913,-0.0464138224475363,"exudate.EON.Brachy","exudate-EON-Brachy-6-439-2"
"exudate-EON-Brachy-7-440-2",0.022518266905212,-0.570821733095776,"exudate.EON.Brachy","exudate-EON-Brachy-7-440-2"
"exudate-EON-Medicago-1-442-2",-0.206942521548508,-0.134786359720174,"exudate.EON.Medicago","exudate-EON-Medicago-1-442-2"
"exudate-EON-Medicago-2-444-2",-0.411089651503665,-0.322923397607372,"exudate.EON.Medicago","exudate-EON-Medicago-2-444-2"
"exudate-EON-Medicago-3-449-2",-0.262125671584835,-0.188161286514839,"exudate.EON.Medicago","exudate-EON-Medicago-3-449-2"
"exudate-EOD-Arabidopsis-1-451-1",-0.26832862030772,0.1575599840387,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-1-451-1"
"exudate-EOD-Arabidopsis-2-452-1",-0.212521610122643,0.142327026407809,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-2-452-1"
"exudate-EOD-Arabidopsis-3-453-1",-0.140267407148387,0.142918062163496,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-3-453-1"
"exudate-EOD-Arabidopsis-4-454-1",-0.0603038025336914,0.120535394793109,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-4-454-1"
"exudate-EOD-Arabidopsis-5-455-1",-0.0031338908519873,0.172116648153202,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-5-455-1"
"exudate-EOD-Arabidopsis-6-456-1",-0.201694228266155,0.157601427431587,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-6-456-1"
"exudate-EOD-Arabidopsis-7-457-1",-0.0459323041212682,0.129771775382206,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-7-457-1"
"exudate-EOD-Arabidopsis-8-458-1",-0.170371032037297,0.0846672587627465,"exudate.EOD.Arabidopsis","exudate-EOD-Arabidopsis-8-458-1"
"exudate-EOD-Brachy-1-433-1",0.329306210685598,-0.0100204934828643,"exudate.EOD.Brachy","exudate-EOD-Brachy-1-433-1"
"exudate-EOD-Brachy-2-434-1",0.323703249318404,-0.00423144499673189,"exudate.EOD.Brachy","exudate-EOD-Brachy-2-434-1"
"exudate-EOD-Brachy-3-436-1",0.323736415628629,-0.00114041972550954,"exudate.EOD.Brachy","exudate-EOD-Brachy-3-436-1"
"exudate-EOD-Brachy-4-437-1",0.332980192437958,-0.0069948627375177,"exudate.EOD.Brachy","exudate-EOD-Brachy-4-437-1"
"exudate-EOD-Brachy-5-438-1",0.330446753678925,-0.0145033948821902,"exudate.EOD.Brachy","exudate-EOD-Brachy-5-438-1"
"exudate-EOD-Brachy-6-439-1",0.331278665385811,-0.0173335862897792,"exudate.EOD.Brachy","exudate-EOD-Brachy-6-439-1"
"exudate-EOD-Brachy-7-440-1",0.0609691844918893,-0.5447014930242,"exudate.EOD.Brachy","exudate-EOD-Brachy-7-440-1"
"exudate-EOD-Medicago-1-442-1",-0.318358914619724,-0.27191142317382,"exudate.EOD.Medicago","exudate-EOD-Medicago-1-442-1"
"exudate-EOD-Medicago-2-444-1",-0.329690524853772,-0.32957785600926,"exudate.EOD.Medicago","exudate-EOD-Medicago-2-444-1"
"exudate-EOD-Medicago-3-449-1",-0.313491488578337,-0.191062425600479,"exudate.EOD.Medicago","exudate-EOD-Medicago-3-449-1"
