"","exudate.EOD.Arabidopsis.1.451.1","exudate.EOD.Arabidopsis.2.452.1","exudate.EOD.Arabidopsis.3.453.1","exudate.EOD.Arabidopsis.4.454.1","exudate.EOD.Arabidopsis.5.455.1","exudate.EOD.Arabidopsis.6.456.1","exudate.EOD.Arabidopsis.7.457.1","exudate.EOD.Arabidopsis.8.458.1","exudate.EOD.Brachy.1.433.1","exudate.EOD.Brachy.2.434.1","exudate.EOD.Brachy.3.436.1","exudate.EOD.Brachy.4.437.1","exudate.EOD.Brachy.5.438.1","exudate.EOD.Brachy.6.439.1","exudate.EOD.Brachy.7.440.1","exudate.EOD.Medicago.1.442.1","exudate.EOD.Medicago.2.444.1","exudate.EOD.Medicago.3.449.1","exudate.EOD.TxCtrl.1.441.1","exudate.EOD.TxCtrl.2.450.1","exudate.EOD.TxCtrl.3.459.1","exudate.EOD.TxCtrl.4.460.1","exudate.EON.Arabidopsis.1.451.2","exudate.EON.Arabidopsis.2.452.2","exudate.EON.Arabidopsis.3.453.2","exudate.EON.Arabidopsis.4.454.2","exudate.EON.Arabidopsis.5.455.2","exudate.EON.Arabidopsis.6.456.2","exudate.EON.Arabidopsis.7.457.2","exudate.EON.Arabidopsis.8.458.2","exudate.EON.Brachy.1.433.2","exudate.EON.Brachy.2.434.2","exudate.EON.Brachy.3.436.2","exudate.EON.Brachy.4.437.2","exudate.EON.Brachy.5.438.2","exudate.EON.Brachy.6.439.2","exudate.EON.Brachy.7.440.2","exudate.EON.Medicago.1.442.2","exudate.EON.Medicago.2.444.2","exudate.EON.Medicago.3.449.2","exudate.EON.TxCtrl.1.441.2","exudate.EON.TxCtrl.2.450.2","exudate.EON.TxCtrl.3.459.2","exudate.EON.TxCtrl.4.460.2","id"
"exudate-EOD-Arabidopsis-1-451-1",1,0.592679449503346,0.711288446122237,0.620936163919036,0.730149055753226,0.668783076361741,0.627414750146869,0.536975242972625,0.457119182679912,0.463386940317576,0.518154263123978,0.488091427705623,0.565919346628533,0.440979471046808,0.601197589824319,0.69160277118117,0.69461927247935,0.686278849610461,0.568396655591173,0.651291375775725,0.623822703360094,0.57742044356457,0.724116169437593,0.795472516553478,0.782443509781818,0.662511774327912,0.79589291710535,0.749987856652716,0.642366774763142,0.511702043151534,0.661717317944424,0.67294737086759,0.66585975136084,0.661620861890003,0.661872660987315,0.662711310562075,0.574490990539591,0.686631942652451,0.556390068079885,0.582133386631575,0.578767827682051,0.586711968855497,0.646539628619764,0.597881318300977,"exudate-EOD-Arabidopsis-1-451-1"
"exudate-EOD-Arabidopsis-2-452-1",0.592679449503346,1,0.800961026179229,0.771739594442399,0.646885246553477,0.867776350187643,0.76720385444203,0.717173050852772,0.486987438309403,0.469136467890363,0.478515086650207,0.480566026239955,0.476330477095552,0.488739226943308,0.281489143793033,0.418123021897508,0.419186252321248,0.466863517793676,0.249332549177219,0.303102363651099,0.277281199347818,0.240320830489852,0.705329355290149,0.717407846919821,0.702553724908492,0.707635925695344,0.565404494116088,0.682884994192239,0.727159113284337,0.69545319141652,0.485926848945434,0.477643417258552,0.462826704724475,0.473331997066903,0.47303065163349,0.476267588868425,0.246117802071832,0.518788400391277,0.375117512310373,0.488270332634082,0.26881097288378,0.278095170218722,0.301723753383721,0.284511467188711,"exudate-EOD-Arabidopsis-2-452-1"
"exudate-EOD-Arabidopsis-3-453-1",0.711288446122237,0.800961026179229,1,0.871166615422657,0.795139095607058,0.887584976177518,0.865479163573527,0.720562805560672,0.597113212509527,0.600315313651745,0.634940797728954,0.628673570648776,0.622194628070067,0.580029668366557,0.419950342233744,0.543311386016756,0.545782142352214,0.596799728532787,0.38437232915939,0.432051402767127,0.403689823050368,0.372420977652833,0.841436760304572,0.820265989182667,0.839558726810873,0.846939616043552,0.707201156291519,0.806172607862155,0.852679529025343,0.743580621322029,0.634231556814833,0.621982828906493,0.608123973895596,0.61950378654033,0.621224363288834,0.621523324253005,0.375494466047069,0.660158888351685,0.526462005552164,0.635013453389532,0.397199610956181,0.404736544284212,0.425203832326377,0.404261721691214,"exudate-EOD-Arabidopsis-3-453-1"
"exudate-EOD-Arabidopsis-4-454-1",0.620936163919036,0.771739594442399,0.871166615422657,1,0.752419985321718,0.836674345317765,0.940874771470454,0.744700210272514,0.678315477866696,0.658256300165148,0.664325299591932,0.667858399787489,0.666877159826264,0.677518017625937,0.3674195552855,0.500685452639537,0.503454750117414,0.5480739239112,0.333178088632271,0.383051156305857,0.354289005533757,0.321510454569763,0.783866525533377,0.724458228896425,0.730603635308124,0.831972287457979,0.638596675359341,0.711103629223559,0.837847363126031,0.828783836037131,0.64375697677039,0.592626331603138,0.596753986095032,0.629421110342174,0.631701713251983,0.62942115624231,0.322337190423738,0.613516216468302,0.473558627811824,0.580920010314278,0.351288011522548,0.359187315761943,0.379278884450486,0.358809545697248,"exudate-EOD-Arabidopsis-4-454-1"
"exudate-EOD-Arabidopsis-5-455-1",0.730149055753226,0.646885246553477,0.795139095607058,0.752419985321718,1,0.716449039026495,0.753935965488199,0.66787632922214,0.590258873648785,0.648100430476193,0.694257772770401,0.626350854712393,0.70337662369834,0.57697146849397,0.525472664117735,0.563801645784563,0.590440355856173,0.586886356054852,0.469788787499694,0.517213697860701,0.492297777991926,0.449517095098332,0.795901061000925,0.755126183149573,0.757637989787509,0.783985718263917,0.824000524900591,0.767234333054621,0.762289271662532,0.703335898559171,0.702353154667515,0.695567425709765,0.700296579018054,0.701202545971755,0.716338117139422,0.702443469026406,0.472140016951292,0.608886537796682,0.529817523280618,0.592473773297797,0.461450398427926,0.464731848997093,0.55022231572491,0.530217068180821,"exudate-EOD-Arabidopsis-5-455-1"
"exudate-EOD-Arabidopsis-6-456-1",0.668783076361741,0.867776350187643,0.887584976177518,0.836674345317765,0.716449039026495,1,0.84154730257826,0.710821723974881,0.546785214177314,0.533535036550296,0.542558672843404,0.541154648310407,0.534813809766654,0.548635098916172,0.351573755362702,0.483730615874084,0.486704059141985,0.535866623108826,0.31398771500301,0.363342079042562,0.337728477121985,0.305348744017096,0.781968229289564,0.802581446515461,0.794444022685162,0.802851776779325,0.653258894157142,0.767722584756517,0.826040257008327,0.750173655517724,0.550139759718681,0.545355084372132,0.536223221687065,0.546139036591649,0.53647032299694,0.548844293234038,0.310520432598561,0.581277963168235,0.466403045521721,0.568368776702874,0.328522702576536,0.338101678235908,0.358231331136093,0.336492889373682,"exudate-EOD-Arabidopsis-6-456-1"
"exudate-EOD-Arabidopsis-7-457-1",0.627414750146869,0.76720385444203,0.865479163573527,0.940874771470454,0.753935965488199,0.84154730257826,1,0.75312313755177,0.681688738822408,0.680112664436135,0.683027342837269,0.675576409948034,0.680206270341949,0.680669108804832,0.380686289451539,0.501438239293483,0.511218401542514,0.545636514866633,0.345870292143509,0.393132607171041,0.365344584066588,0.324474522184177,0.812319724978133,0.726822573247413,0.742257576073746,0.865657847565195,0.653922510820588,0.711475318486207,0.87418308089185,0.85588937475177,0.653990406728126,0.604550618229735,0.609070101869019,0.639353085827415,0.649899823801613,0.6329303239484,0.335508663917873,0.610677057275128,0.479002340036324,0.583955100055954,0.359313319739009,0.369612923884629,0.389208264429396,0.368930846302946,"exudate-EOD-Arabidopsis-7-457-1"
"exudate-EOD-Arabidopsis-8-458-1",0.536975242972625,0.717173050852772,0.720562805560672,0.744700210272514,0.66787632922214,0.710821723974881,0.75312313755177,1,0.493995416048088,0.539391335197528,0.53171293967818,0.487806310471507,0.510901888822268,0.498192144640236,0.339306627810151,0.4302869070835,0.447698249263378,0.475156074965604,0.268577260474866,0.314644513772379,0.293290784772538,0.240546826753939,0.671848717275724,0.629514531439749,0.6300647226417,0.647782833320809,0.584931344217961,0.615256956611064,0.660393308604762,0.776544517231208,0.474825592561934,0.473484895298514,0.460722077089835,0.460507597534881,0.485307008213513,0.460412473099975,0.283445968371077,0.53906023228543,0.406299959686908,0.503775283152221,0.279475021669272,0.287548704027286,0.421442836322207,0.406877764739911,"exudate-EOD-Arabidopsis-8-458-1"
"exudate-EOD-Brachy-1-433-1",0.457119182679912,0.486987438309403,0.597113212509527,0.678315477866696,0.590258873648785,0.546785214177314,0.681688738822408,0.493995416048088,1,0.916147173291675,0.889734099530854,0.949827486939737,0.835232915289287,0.958973535689834,0.393572406351264,0.424980115965656,0.433479644535718,0.452666268339804,0.319775805871246,0.353838163295322,0.324491497141108,0.293887144687874,0.589774870446371,0.532352089743402,0.529552520494359,0.641879652610285,0.544265257688939,0.533315057264887,0.639948844281836,0.644488566139962,0.735199233348523,0.641250171105801,0.636462724398564,0.752388763628147,0.693459302743727,0.672762582741131,0.343832107789173,0.499684336691219,0.366080096052613,0.492046775611535,0.317871011881755,0.315536640241927,0.34187183136818,0.326071720267376,"exudate-EOD-Brachy-1-433-1"
"exudate-EOD-Brachy-2-434-1",0.463386940317576,0.469136467890363,0.600315313651745,0.658256300165148,0.648100430476193,0.533535036550296,0.680112664436135,0.539391335197528,0.916147173291675,1,0.940398721119397,0.910019849375546,0.850646620891878,0.915840587510156,0.445016400223801,0.437137707181296,0.454837157650322,0.460185136784357,0.343642214084911,0.373778649004177,0.346434026026005,0.30233693775316,0.607132473437445,0.525474773301395,0.531211733695519,0.646993428373295,0.597802388811435,0.538365501592756,0.645213272481341,0.691008213526548,0.739279658213608,0.645803647597666,0.648214373451905,0.751898763901846,0.729153253468959,0.67150793863994,0.383328665724031,0.511299426286857,0.386580137084047,0.499704161452691,0.339732400048788,0.331306423192862,0.401762230655165,0.384767449457889,"exudate-EOD-Brachy-2-434-1"
