"","exudate-EOD-Arabidopsis-1-451-1","exudate-EOD-Arabidopsis-2-452-1","exudate-EOD-Arabidopsis-3-453-1","exudate-EOD-Arabidopsis-4-454-1","exudate-EOD-Arabidopsis-5-455-1","exudate-EOD-Arabidopsis-6-456-1","exudate-EOD-Arabidopsis-7-457-1","exudate-EOD-Arabidopsis-8-458-1","exudate-EOD-Brachy-1-433-1","exudate-EOD-Brachy-2-434-1","exudate-EOD-Brachy-3-436-1","exudate-EOD-Brachy-4-437-1","exudate-EOD-Brachy-5-438-1","exudate-EOD-Brachy-6-439-1","exudate-EOD-Brachy-7-440-1","exudate-EOD-Medicago-1-442-1","exudate-EOD-Medicago-2-444-1","exudate-EOD-Medicago-3-449-1","exudate-EOD-TxCtrl-1-441-1","exudate-EOD-TxCtrl-2-450-1","exudate-EOD-TxCtrl-3-459-1","exudate-EOD-TxCtrl-4-460-1","exudate-EON-Arabidopsis-1-451-2","exudate-EON-Arabidopsis-2-452-2","exudate-EON-Arabidopsis-3-453-2","exudate-EON-Arabidopsis-4-454-2","exudate-EON-Arabidopsis-5-455-2","exudate-EON-Arabidopsis-6-456-2","exudate-EON-Arabidopsis-7-457-2","exudate-EON-Arabidopsis-8-458-2","exudate-EON-Brachy-1-433-2","exudate-EON-Brachy-2-434-2","exudate-EON-Brachy-3-436-2","exudate-EON-Brachy-4-437-2","exudate-EON-Brachy-5-438-2","exudate-EON-Brachy-6-439-2","exudate-EON-Brachy-7-440-2","exudate-EON-Medicago-1-442-2","exudate-EON-Medicago-2-444-2","exudate-EON-Medicago-3-449-2","exudate-EON-TxCtrl-1-441-2","exudate-EON-TxCtrl-2-450-2","exudate-EON-TxCtrl-3-459-2","exudate-EON-TxCtrl-4-460-2"
"2-hydroxypyridine",1396360.30625,6113594.68125,359024.36875,597806.36875,373067.90005,535078.68125,1585162.93125,6579494.18125,296158.43125,232476.77505,301084.46255,318385.77505,367645.83755,308024.58755,111108.58755,181097.86875,255880.93125,110679.82185,400836.65005,713113.30625,842609.11875,422672.93125,345252.93125,474615.93125,264546.90005,223980.27505,128098.57185,246670.43125,384821.30625,365058.99375,87752.10315,86235.08755,136155.25935,78813.83755,73436.88435,143336.00935,71599.22035,137862.68125,63787.54845,80736.86875,213627.55625,317205.77505,213755.77505,266240.30625
"2,3-cyclic AMP",360225.7193856,797531.0005856,418277.4068856,629974.1255856,58154.4498056,828327.3130856,298899.7193856,567798.5005856,33926.0669956,22336.0611356,39237.3599656,35869.0865256,30518.3833956,40298.6255856,10293.6441356,48821.7857456,37852.1021456,41543.8482456,0,0,0,0,230619.3130856,447852.9380856,262122.3130856,291598.6880856,41453.1451156,262033.3130856,447122.1568856,194429.8755856,21646.7740256,28066.1451156,24142.1001956,22943.5962856,13375.2076156,14885.0416056,0,28599.1939456,24856.6841756,72757.9380856,0,0,0,0
"3-methyladenine",328310.2088386,2169550.3650386,831457.8025386,1439465.3650386,806622.7400386,1279968.9900386,528727.9900386,1641837.8650386,0,14903.5173786,5957.3943386,17830.3904286,12186.6853486,10103.9626986,10914.1833986,0,0,0,25395.9978486,73319.9275386,0,0,204905.5056386,303641.1463386,195002.8494386,328392.6150386,182963.3650386,640359.3025386,375180.7400386,409081.8025386,72672.3962886,4461.2029286,9189.6208986,0,0,0,0,15951.7498086,4065.9617186,0,0,0,4075.7810586,0
"3,5-diiodo-tyrosine",37368.34375,2309798.5,605327.8125,15236.81445,23516.48438,44798.39844,40001.6875,54896.19531,0,0,0,0,0,0,0,0,0,25119.28906,90992.71875,53731.86719,68581.49219,75460.35156,29984.1543,0,0,73590.90625,0,0,0,0,20751.60938,27356.39844,75307.96094,0,0,0,0,0,0,20503.69727,153825.2656,17253.50391,56858.54297,23451.0918
"4-aminobutanoic acid",1209024.625,1060138.625,91635.03906,114324.1953,226372.5469,355289.9375,139422.8125,1061993.375,26264.50781,0,15076.67676,31458.16406,79746.36719,21443.08203,0,76995.28125,44075.37891,131046.7109,0,0,0,0,129928.5938,1917991.875,1162822.25,120267.8516,293081.375,1735670.5,253286.6563,164302.3438,0,86741.98438,118827.4141,16602.49609,0,0,0,34030.96875,137278.4375,127623.2031,0,0,0,0
"4-guanidinobutanoic acid",929665.98789,3253366.86289,2161524.11289,1572140.73789,770646.30039,1279120.98789,996947.61289,1456539.73789,251532.14419,132802.95669,171532.03479,221873.47229,204564.22229,168884.06599,562971.23789,531382.23789,349668.55039,377585.95669,422147.61289,624604.55039,311852.36289,207300.59729,498287.05039,378879.05039,279628.33169,392537.76919,181863.83169,924141.48789,647270.42539,594820.80039,90800.76919,44742.98008,111284.60509,132576.92539,109831.16759,86640.07379,45418.08555,391386.36289,528899.42539,612032.23789,363954.76919,180234.97229,157649.76919,128977.73789
"4-hydroxy-2-quinolinecarboxylic acid",0,248493.51563,15643.34373,254906.64063,0,169713.39063,0,1939853.76563,0,0,0,0,0,0,849478.51563,77093.32813,185493.45313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-hydroxyproline",39106.471484,574715.858204,44996.491014,295089.139504,172329.436304,93792.444144,82677.030084,885438.608204,0,0,6657.579884,0,0,15716.916794,11381.991994,102383.616004,102965.717604,0,0,16429.369924,43562.393364,15738.953904,128163.045704,57922.346484,63713.530084,54066.737114,26762.313284,48301.299614,201399.420704,242319.358204,0,5833.613087,0,0,0,0,0,11414.395314,12580.598434,14236.033984,0,0,0,0
"4-quinolinecarboxylic acid and isomers",6206714.070312,13182467.070312,9830620.070312,9883837.070312,10129327.070312,12567478.070312,8135372.070312,10283671.070312,757512.757812,219080.960912,858026.945312,433017.351612,264165.445312,77230.859372,72719.992192,306371.664112,413701.914112,83945.773442,2068128.445312,3080030.070312,2419609.070312,3677878.070312,2222342.820312,3006200.320312,2605489.070312,2691425.320312,2435306.570312,1686057.695312,3296622.570312,2433695.320312,647300.820312,518457.007812,695700.132812,493912.539112,555153.757812,110520.195312,12501.390622,184236.867212,120368.562512,204042.226612,442104.507812,474225.632812,93497.242192,100909.710912
"5-oxo-proline",2985029.238478,7024938.238478,2633863.488478,2438632.488478,698657.863478,3993910.488478,1242618.238478,2183151.488478,137303.191578,108603.691578,209784.582278,146397.035378,147201.175978,147048.754078,237119.519778,320056.113478,269159.738478,156736.816578,69314.652578,136173.019778,233589.925978,125263.238478,693088.238478,3933411.738478,2632170.738478,1132881.988478,1461874.363478,3489475.238478,1481061.238478,779288.925978,169659.144778,128212.691578,106934.004078,102616.566578,64213.246288,121900.269778,296471.707278,172719.879078,147273.925978,130908.519778,145332.894778,178541.941578,128286.082278,73008.730678
