,root-EOD-Arabidopsis-1-451-3-R,root-EOD-Arabidopsis-2-452-3-R,root-EOD-Arabidopsis-3-453-3-R,root-EOD-Arabidopsis-4-454-3-R,root-EOD-Arabidopsis-5-455-3-R,root-EOD-Arabidopsis-6-456-3-R,root-EOD-Brachy-1-433-3-R,root-EOD-Brachy-2-434-3-R,root-EOD-Brachy-3-436-3-R,root-EOD-Brachy-4-437-3-R,root-EOD-Brachy-5-438-3-R,root-EOD-Brachy-6-439-3-R,root-EOD-Medicago-1-442-3a-R,root-EOD-Medicago-2-442-3b-R,root-EOD-Medicago-3-444-3a-R,root-EOD-Medicago-4-449-3a-R,root-EOD-Medicago-5-449-3b-R,root-EON-Arabidopsis-1-451-4-R,root-EON-Arabidopsis-2-452-4-R,root-EON-Arabidopsis-3-453-4-R,root-EON-Arabidopsis-4-454-4-R,root-EON-Arabidopsis-5-455-4-R,root-EON-Arabidopsis-6-456-4-R,root-EON-Brachy-1-433-4-R,root-EON-Brachy-2-434-4-R,root-EON-Brachy-3-436-4-R,root-EON-Brachy-4-437-4-R,root-EON-Brachy-5-438-4-R,root-EON-Brachy-6-439-4-R,root-EON-Medicago-1-442-4c-R,root-EON-Medicago-2-444-4b-R,root-EON-Medicago-3-444-4c-R,root-EON-Medicago-4-449-4c-R
4-hydroxy-2-quinolinecarboxylic acid,0.000325655151735831,0.000764809122523633,0.000358002884788842,0.000816557809068156,0.000430883881446267,0.000771241098842953,0.000226701917200923,0.000253543122974828,0.000181052489922526,0.000281506674923195,0.00018776557772647,0.000199939703332722,0.000401627779064209,0.000282054893440751,0.000310350658203538,0.000258677265451917,0.000257988483104317,0.000383705657077092,0.000646469788226882,0.000285756959080035,0.000506378493224468,0.000431227643292822,0.000422509198284471,0.000243536714265102,0.000390178490984929,0.000267363343143367,0.000236872930841765,0.000170498362024531,0.000378692196296051,0.000282775465375074,0.000458761919829005,0.000104169342944619,0.000278807481728378
aspartic acid,3.88858425191467e-06,4.44916587888063e-06,1.62291966415939e-05,3.47501063287098e-06,6.66571429230701e-06,1.21094296360036e-05,1.15392503626566e-06,4.47516560786825e-06,1.96694959545064e-06,0,1.06166887194003e-06,2.55446430789746e-06,2.29140673785633e-05,1.35276052962014e-05,1.93567205558404e-05,1.29969170332596e-05,2.51145890849872e-05,7.27190856785183e-06,3.55384504231843e-06,7.98695788501295e-06,8.87535675126082e-06,7.75983009260659e-06,8.17330169742009e-06,8.34355882013316e-07,5.99601376654588e-06,8.15565250405457e-06,4.49536191736353e-06,3.65290690606222e-06,6.54955282721227e-06,1.83998170571394e-05,4.2859991696508e-06,2.96058424049332e-05,3.90853136282838e-06
betaine,0.000853566468741584,0.000947841905158322,0.00116407027220744,0.000596283008702582,0.000608319537584365,0.00139090507015062,0.000382112153330299,0.000621900178651002,0.000579145959120214,0.000384496965982238,0.000304460543090691,0.000460617447394995,0.000797578414208841,0.00076308348722482,0.000800347287623499,0.000718150842254644,0.000892434155654793,0.000447976391145346,0.000696268427385965,0.000689843754169114,0.000688474702159052,0.000744103585077542,0.000713693288364402,0.000308939709816116,0.000630129631123607,0.000523584151322252,0.000547928500670516,0.000408199976370681,0.000382989564557194,0.000918768469282536,0.000888629686239777,0.000461858474560673,0.000696239517822034
caffeic acid,0.00332457473225871,0.00326165384659992,0.00162545777242191,0.00602138674039438,0.00372097542528243,0.00318036634949768,0.00129492188726605,0.00079271545526212,0.000672671356294454,0.00114164351709158,0.000749904694231196,0.000975002663879738,0.0036361230472698,0.0029179209214882,0.0042708810893795,0.00434033069538148,0.00455194505365513,0.00357859647935091,0.00415318749778343,0.0029752156960579,0.00406381649190187,0.00463875028857444,0.00177795277634651,0.00140160950048678,0.000764993995370012,0.00338870727119547,0.000827534899257508,0.000448408817353889,0.00160617193858682,0.00463212615371228,0.0070668204922731,0.00242648361254592,0.00491706016980591
hypoxanthine,3.68827759813329e-05,8.99231800463038e-05,7.10117218798974e-05,7.28662586802864e-05,7.12906221970365e-05,9.22609995481069e-05,6.11530639403788e-06,1.87447608109839e-05,1.1251738966617e-05,6.338688335846e-06,1.12522555086192e-05,1.1927770125394e-05,2.37359508035894e-05,1.24631935045629e-05,2.06582495489812e-05,3.06238773497927e-05,3.05444877443005e-05,3.72796838168769e-05,3.42609707085051e-05,4.62899958298054e-05,9.17300794190319e-05,6.1504255518514e-05,1.94358068648819e-05,7.64075135521844e-06,2.1459283169255e-05,2.83485307220951e-05,1.92542385046114e-05,1.2039352825933e-05,1.52246801122781e-05,2.47643079670578e-05,2.01744444227765e-05,1.52061630904129e-05,1.34844312267171e-05
methyl indole-3-acetic acid,0.000212693840644843,0.00141179709298218,0.000803512446734206,0.00014185099913574,0.000979518417925908,0.00263557624128344,4.69963282720583e-05,0.000159820579090988,0.000162104866746045,3.70208785777677e-05,2.00404550345671e-05,0.000250619437136858,0.000687864282371207,0.00034446971642019,0.000475598960830116,0.000583099207212745,0.00100241719794447,0.00021101920598053,0.000114521156672567,0.000930674898005008,0.000227963347809604,0.000226422427381685,0.00109429740294998,3.37349582808818e-05,0.000322042595413038,0.00018556192835028,0.000244682980429281,0.000586360810018786,6.32318278018197e-05,0.000393188637900766,5.36733750789534e-05,0.000353606085074515,0.000118609876126722
phenylalanine,6.19054573292782e-06,6.54128441391859e-06,4.04614272585729e-06,1.38533275287184e-05,6.53742919502984e-06,5.05371759167639e-06,2.43858843386001e-06,6.79588613328207e-06,5.21725060282823e-06,4.88003661364423e-06,3.96038350952713e-06,3.69236012796453e-06,5.81799705195305e-06,8.24237660313999e-06,6.00165467666443e-05,1.02562263912212e-05,7.13100428564526e-06,6.89730015143365e-06,4.84947859760634e-06,7.12837474030232e-06,6.98890144756628e-06,3.90675698421246e-06,5.87229980141649e-06,4.70013808654806e-06,3.15613712217544e-06,1.65887131221518e-05,5.1533404349881e-06,5.27456526319856e-06,4.15067216006371e-06,7.41569190410173e-05,9.78218548841386e-06,5.11819695595503e-06,1.37089985830041e-05
salicylic acid,0.000133887453573248,0.000768138595673893,0.000228534607863695,0.00107007940922987,0.00062393838469787,0.000232069337210641,0.00140499493229757,0.00130144071069344,0.00117838802887482,0.00172960441324683,0.000719093103502805,0.00107497127142641,0.000187392499756506,0.000326709455686799,0.000230739804152563,0.000184348275610548,0.000178334456713187,0.000370900111169196,0.000324472108212182,0.000233207104052802,0.000939886739989212,0.000233734708951458,0.0019805118730865,0.00169922784535666,0.0019311117565343,0.000731750345161621,0.00216588871363702,0.000738056467515769,0.00243501505299819,0.000776622403618291,0.00082738103929738,0.000259596034858038,0.000698803793912899
trigonelline,0.00379897606079905,0.00174228587298569,0.00194087305887779,0.00382709278248575,0.00251463571371595,0.00264422586258305,0.0107181982618992,0.00805044028320522,0.0104562919923011,0.0102480132105851,0.00859709725765256,0.00502370910246349,0.00284371236149473,0.00309364899124447,0.00352398235615809,0.00286170824950522,0.00326376315311494,0.0042332465564896,0.00348915687966298,0.00438207502934405,0.00313479713537425,0.00385977553215231,0.0108484339880731,0.0170752715063005,0.00752968774697298,0.00771487053321067,0.00600002754662848,0.00807273032336683,0.0190650189060846,0.00342439786827723,0.0137291699991702,0.00296045016947593,0.00618026431426666
tyrosine,0.00120990415863207,0.000713327244097455,0.00125620007432769,0.000688054511320331,0.00045699858187848,0.00131986067937306,0.00602791998028637,0.000881480620451202,0.00655311045939697,0.00329074816200401,0.00411030481999152,0.00463335450212638,0.0012364885088797,0.00171525154730842,0.00169351240525462,0.00145329573077142,0.000963995132328011,0.00145613711464442,0.00121745987395862,0.00121256648290979,0.0013006204030361,0.00207411152464901,0.00602025092747926,0.00372967867084297,0.000870818642445919,0.00266932178903947,0.00251834917118589,0.000943373857326713,0.00531786132178091,0.00121091735016394,0.00351686534101292,0.00172206691683431,0.00270345923201039
