,exudate-EON-Arabidopsis-1-451-2,exudate-EON-Arabidopsis-2-452-2,exudate-EON-Arabidopsis-3-453-2,exudate-EON-Arabidopsis-4-454-2,exudate-EON-Arabidopsis-5-455-2,exudate-EON-Arabidopsis-6-456-2,exudate-EON-Arabidopsis-7-457-2,exudate-EON-Arabidopsis-8-458-2,exudate-EON-Brachy-1-433-2,exudate-EON-Brachy-2-434-2,exudate-EON-Brachy-3-436-2,exudate-EON-Brachy-4-437-2,exudate-EON-Brachy-5-438-2,exudate-EON-Brachy-6-439-2,exudate-EON-Brachy-7-440-2,exudate-EON-Medicago-1-442-2,exudate-EON-Medicago-2-444-2,exudate-EON-Medicago-3-449-2,exudate-EOD-Arabidopsis-1-451-1,exudate-EOD-Arabidopsis-2-452-1,exudate-EOD-Arabidopsis-3-453-1,exudate-EOD-Arabidopsis-4-454-1,exudate-EOD-Arabidopsis-5-455-1,exudate-EOD-Arabidopsis-6-456-1,exudate-EOD-Arabidopsis-7-457-1,exudate-EOD-Arabidopsis-8-458-1,exudate-EOD-Brachy-1-433-1,exudate-EOD-Brachy-2-434-1,exudate-EOD-Brachy-3-436-1,exudate-EOD-Brachy-4-437-1,exudate-EOD-Brachy-5-438-1,exudate-EOD-Brachy-6-439-1,exudate-EOD-Brachy-7-440-1,exudate-EOD-Medicago-1-442-1,exudate-EOD-Medicago-2-444-1,exudate-EOD-Medicago-3-449-1,root-EOD-Arabidopsis-1-451-3-R,root-EOD-Arabidopsis-2-452-3-R,root-EOD-Arabidopsis-3-453-3-R,root-EOD-Arabidopsis-4-454-3-R,root-EOD-Arabidopsis-5-455-3-R,root-EOD-Arabidopsis-6-456-3-R,root-EOD-Brachy-1-433-3-R,root-EOD-Brachy-2-434-3-R,root-EOD-Brachy-3-436-3-R,root-EOD-Brachy-4-437-3-R,root-EOD-Brachy-5-438-3-R,root-EOD-Brachy-6-439-3-R,root-EOD-Medicago-1-442-3a-R,root-EOD-Medicago-2-442-3b-R,root-EOD-Medicago-3-444-3a-R,root-EOD-Medicago-4-449-3a-R,root-EOD-Medicago-5-449-3b-R,root-EON-Arabidopsis-1-451-4-R,root-EON-Arabidopsis-2-452-4-R,root-EON-Arabidopsis-3-453-4-R,root-EON-Arabidopsis-4-454-4-R,root-EON-Arabidopsis-5-455-4-R,root-EON-Arabidopsis-6-456-4-R,root-EON-Brachy-1-433-4-R,root-EON-Brachy-2-434-4-R,root-EON-Brachy-3-436-4-R,root-EON-Brachy-4-437-4-R,root-EON-Brachy-5-438-4-R,root-EON-Brachy-6-439-4-R,root-EON-Medicago-1-442-4c-R,root-EON-Medicago-2-444-4b-R,root-EON-Medicago-3-444-4c-R,root-EON-Medicago-4-449-4c-R
2,3-cyclic AMP,0.000868745413679969,0.000970452206178407,0.000572689009196394,0.000927783260238435,0.000189442777795517,0.000483583703132242,0.000892731076013386,0.000532661941065967,0.000334082582967238,0.000442057680738785,0.000247597199433493,0.000316933742551389,0.000184197637991316,0.000219722163036584,0,0.000284114592517469,0.000214744988938804,0.000549913672197593,0.00130030608130576,0.000878735237201804,0.000964200089212545,0.00114613957083752,0.000267681117364955,0.00127728162298662,0.000726615085789052,0.000775318827383582,0.000123091528020471,9.75516714478808e-05,0.000209143004195493,0.000159085120249304,0.000124461554230615,0.000168985844926782,0.000858865239822507,0.000398660323751973,0.000444505842548228,0.000373284780211011,9.32592897486912e-06,4.29864744277279e-06,4.64225000979108e-06,6.27237104333814e-06,3.75017671442156e-06,4.83332793206838e-06,6.24827271955883e-05,2.62214870347187e-05,3.48967772511101e-05,3.51470705604537e-05,2.94790648036599e-05,3.72704838801797e-05,0,0,0,0,0,6.0427930736567e-06,5.80301729118092e-06,4.79266272973082e-06,5.62981477426008e-06,7.48212195656011e-06,2.92343262039703e-05,3.67724141125515e-05,2.75685996931188e-05,9.15451939272769e-06,2.28345503147458e-05,1.89924958503853e-05,4.36265538247641e-05,0,0,0,0
4-aminobutanoic acid,0.000489442399508585,0.00415609520054159,0.00254055259311919,0.000382657755396227,0.00133939534974476,0.00320318801424,0.0005057160906396,0.00045012426771659,0,0.0013662353800198,0.00121867338420069,0.000229340298530314,0,0,0,0.000338075780659143,0.00118599312499661,0.000964592264719914,0.00436421384629973,0.00116808144814702,0.000211234246416786,0.000207995025217401,0.00104197798272537,0.000547857472320146,0.000338932131063483,0.00145013320279102,9.52936395326282e-05,0,8.03617132660102e-05,0.000139521975524403,0.000325225510016488,8.99181369592085e-05,0,0.000628714482310094,0.000517587196680946,0.00117749666295932,0.0217697064509421,0.0109887265878601,0.0144542507804193,0.0174691982384262,0.00978234783987279,0.0137579917468652,0.0127758927425189,0.0095928169537201,0.0111343599191771,0.0121258104867324,0.0102296134729132,0.00894855157748552,0.0113284510022637,0.0102760875955931,0.0120789307156602,0.0123138873099533,0.0138110857977778,0.0105705227826751,0.0161013484887423,0.00863889062087293,0.0157953078960579,0.0169639410437556,0.00880537778704132,0.011199398345594,0.0103192628285071,0.016607979836685,0.00908179657227533,0.00892652297310283,0.0147585295909167,0.0113328567303728,0.0200878173395284,0.0101692688670762,0.0178894824553189
4-guanidinobutanoic acid,0.00109462827623441,0.000370918415957725,0.000157140744748656,0.000588086964687062,0,0.00132218815398335,0.000877644561374526,0.0010605480224108,0,0,0,0,0,0,0,0.00182476300209287,0.00277490917753933,0.00305596145618678,0.00194270234267106,0.00315328695385481,0.00408025929551523,0.00214803465589934,0.00174529472528807,0.00136874910933573,0.00147188028401793,0.00145432534559016,0,0,0,0,0,0,0.014308932332742,0.0011424193783703,0,0,5.40254204426282e-05,5.92993350134702e-05,5.31765998490139e-05,7.95898647814145e-05,6.91077382160437e-05,6.15399442798429e-05,2.78209532070366e-05,1.02258904930129e-05,2.52254327053117e-05,4.03077507945789e-06,0,5.42473889440686e-05,2.09864620931919e-05,6.19549929593932e-05,2.02604184148932e-05,1.49383708687461e-05,2.59674725519306e-05,5.72948478525433e-05,6.07415628745334e-05,5.06006445835578e-05,7.13308386805733e-05,5.48352537087844e-05,2.5857678844894e-05,2.08485101746021e-05,1.88857752039991e-05,4.74016414507541e-05,2.79449911145483e-05,1.0447076258033e-05,1.73768548898913e-05,2.42135649730159e-05,5.39805348879913e-05,2.99029983339746e-05,2.12725366008689e-05
4-hydroxyproline,0.000482791560988126,0.000125511890516355,0.000139202336446248,0.000172024826172592,0.00012230500133624,8.91402740299958e-05,0.000402117226321121,0.000663860424279167,0,9.18827099676497e-05,0,0,0,0,0,0.000113394673977144,0.000108687886625073,0.00010759774028314,7.28212985657876e-05,0.000612372764431891,6.00814893850088e-05,0.000502423566190588,0.000706075209253764,0.000115433839290791,0.000154960355968699,0.00118319854671585,0,0,0,0,0,0,0,0.0006814289345739,0.00098681907679566,0,0.00298720570198659,0.0020166688281284,0.00194894947460388,0.00331671197294245,0.00100284310240286,0.00324822730499388,0.00146853289625475,0.00100950817700462,0.00151206117543098,0.00140209309057683,0.00137529653848062,0.00123452296160729,0.00259435420631252,0.00200382065123759,0.00252769868587698,0.00223950551248618,0.00330935514710103,0.00197121297026939,0.00208202195772953,0.00112349300432412,0.00207159867593533,0.00239444861369912,0.00138534337723473,0.00147882534865877,0.00123101277444579,0.00211748582634692,0.000957061247719051,0.000920270680505887,0.0015822577568668,0.00210959623348301,0.00320110537818567,0.00225671967545979,0.00417701810543927
5-methylthioadenosine,0.000628207870884248,0.000580406160587681,0.000569987165202981,0.000216588889664678,0.000489495671003149,0.000348648436871352,0.000205446588635178,0.000450100582264826,0.000745570696891034,0.00100111281104432,0,0.000902977064768427,0.0011419285899488,0.000766810177850299,0,0.000657251476926866,0.000550561772686878,0.000234304234733639,0.00108833458164861,0.00110117442521735,0.000745728213013326,0.00163402324569695,0.00311412103587674,0.00147504558066343,0.00117669912235158,0.00106573294449228,0.00124916852103258,0.00124838753731615,0.00133297311567776,0.00104886984827529,0.00135798835844901,0.00163026373707078,0.0071462940827169,0.000636310900478752,0.000674018172506295,0.000826918981693932,0.000722833261860631,0.00123199366777225,0.000664369452909967,0.000777123519722779,0.00207560418820973,0.000702853195553559,0.0040962162732747,0.0129321393740782,0.0107834193992737,0.00438891495434755,0.00331975979675944,0.0154929785729083,0.0104095331486953,0.0116088375622622,0.00928915115947299,0.0112066216724698,0.010376954466481,0.00049568918671212,0.000751670901688681,0.0017809424130278,0.00110960700080967,0.00036371815726289,0.00961699098019408,0.00479850342797495,0.0124552973944709,0.00269314771861935,0.0154764814098154,0.00911386612658878,0.00539085678633333,0.01204500991994,0.00420140963123999,0.0155197050683459,0.00481463485459195
adenine,0.339142649331483,0.249438781365741,0.260517281103136,0.421429310079701,0.342637737833507,0.255286153378712,0.371874099372952,0.409639790238546,0.744457187801948,0.639065387721922,0.561896171662756,0.773843114085531,0.724856034812707,0.684734023216896,0,0.244649339895375,0.0676179126921223,0.208459627321297,0.153915226004599,0.258546558682427,0.320129661976672,0.377257318810798,0.412025279096434,0.284230232138302,0.394193490627719,0.232871657017785,0.690404029044633,0.639487343756123,0.667135783701773,0.705854443092929,0.60388102876868,0.665586016784656,0,0.116106633896029,0.0845787515636956,0.169148626436218,7.93363686496533e-05,0.000932712891512829,0.000557822412064826,0,0.000205373498939219,0.00121600220171247,0,0.00010599010565594,0.000329947985463676,0,0,0.000117285026402985,4.49781977033034e-05,3.08297207007932e-05,0.000121133620932249,0.000170237745013239,8.98351953455626e-05,1.40542613175093e-05,0,0.000522023715353756,5.48769831670143e-05,0,0.000289521587608124,0,0.000318355901337027,0,0.000140704031975791,0.000187633591946192,0,0.00013189256506953,0,0.000495711750442816,0
agmatine sulfuric acid,0.00350615346865115,0.00764655174442681,0.00341466334103409,0.00587388957814643,0.0133292639802677,0.0174121753374058,0.00560235092137045,0.00799513438267984,0,0.00137190343290489,0.000539748505035329,0.000863942643198643,0.00166382880394437,0.00162801728678455,0,0.0572343583063777,0.405989373131648,0.276592215011892,0.00751216281110681,0.00706181437302836,0.00322780581751303,0.00861079283045999,0.021079304186063,0.00627179429343884,0.00668892985601888,0.013546985273664,0,0,0,8.22438427946328e-05,0.000679333601864447,0,0,0.0339840398801692,0.0714026459708418,0.191145037098835,6.14500472722647e-05,0.000107362011248411,0.00012870844747929,2.11330763831505e-05,6.86324311729543e-05,0.000213776655213649,1.89506505265938e-06,1.6383447610155e-05,1.78018278844711e-05,3.28120801761978e-06,2.34605883462816e-06,9.90815431290847e-06,2.37349587266915e-05,4.28083253044102e-05,1.22335263352828e-05,1.77022923106066e-05,1.95448340873769e-05,2.56886209032561e-05,4.40702324978583e-05,7.55707961676982e-05,2.65772542782349e-05,2.61163460985301e-05,2.98386750207048e-05,1.23260810794908e-06,2.41583568794157e-05,1.08034744157658e-05,1.8339292898589e-05,1.78649661510732e-05,1.89200637759867e-06,1.06710337194606e-05,0,4.84826398570261e-05,9.29240788527987e-07
alanine,0.000211229351177023,0.00431181552931823,0.000717715287344827,0.000341917995894315,0.000805680761898558,0.00151972457039368,0.00023800675604012,0.000133671068285609,6.98233489500859e-05,0.000342722001179471,0.0003431442912879,0,6.58613190841246e-05,0.000308146949661954,0.001531750218083,2.53413010244949e-05,0.000202062815785475,0.000151395827106592,0.00145046875390179,0.00237568110776532,0.000286294219200013,0.000155503754662942,0.000194213872618617,0.000946669273748502,0.000238105056127476,0.000152888821704402,0,0,0,0,0,0,0,0,2.62895439790681e-05,2.26368569630601e-05,6.14500472722647e-05,0.000107362011248411,0.00012870844747929,2.11330763831505e-05,6.86324311729543e-05,0.000213776655213649,1.89506505265938e-06,1.6383447610155e-05,1.78018278844711e-05,3.28120801761978e-06,2.34605883462816e-06,9.90815431290847e-06,2.37349587266915e-05,4.28083253044102e-05,1.22335263352828e-05,1.77022923106066e-05,1.95448340873769e-05,2.56886209032561e-05,4.40702324978583e-05,7.55707961676982e-05,2.65772542782349e-05,2.61163460985301e-05,2.98386750207048e-05,1.23260810794908e-06,2.41583568794157e-05,1.08034744157658e-05,1.8339292898589e-05,1.78649661510732e-05,1.89200637759867e-06,1.06710337194606e-05,0,4.84826398570261e-05,9.29240788527987e-07
allantoin,0.000470020039565962,0.000238149082843698,0.000159463635857257,0.000559629062215779,0.000213616561440242,0.000414003126742127,0.000465879768895149,0.00081009093465228,0.00249512067305576,0.000764176601192018,0.00064544459756046,0.00217295859343553,0.00444051756896703,0.00228999191187486,0.020977427052979,0.00360725506866463,0.0010454364124969,0.000398166471039591,0.000435032424289842,0.000682842453920142,0.00158248635461076,0.00177013879693599,0.00220175536384395,0.00102249339162982,0.000705193688834915,0.000589205787368064,0.000916094926151886,0.00211326004337291,0.00213719655569776,0.000994022177828198,0.000299161283845895,0.00135848255671551,0.0268434537936827,0.00262414731315653,0.00249966435685712,0.00102066924458976,2.33891930453598e-05,2.31855124047118e-05,1.4671715962755e-05,5.0935521390906e-05,3.64643319608447e-05,2.06768942111279e-05,3.7989543220092e-05,3.41820000013165e-05,2.41252771877614e-05,4.04221982064559e-05,3.85850612599367e-05,4.65430713896397e-05,5.97962780544014e-05,6.54469977800107e-05,6.98777531086557e-05,7.47163141703646e-05,7.07919642430649e-05,4.14244978016329e-05,2.8457521750714e-05,2.30666745947739e-05,3.38798127093796e-05,3.40820452170461e-05,3.51859729983053e-05,4.24718830927788e-05,2.71397866907442e-05,3.23114149731719e-05,3.64058317227102e-05,2.24942496704297e-05,6.11600378198184e-05,8.95761734299707e-05,0.000106374813347168,3.67593209875817e-05,7.21509179152593e-05
alpha-aminoadipic acid,0.000127423341598867,0.000100881162140543,0.000170988652728969,0.000110515621269689,0.00012207292163141,0.000203322686802832,0.000116389382717138,5.56903792479744e-05,0.000242483847934646,0,0,0,0,0,0,6.98663824836244e-05,8.21613724116309e-05,0,0.000485615832922721,0.000143645244093656,0.000235789604508016,0.000258207022889395,0.000631276550667149,0.000273830623741886,0.000122563571277326,0.000252763538261212,0,0,0,0,0,0,0,0,0,0.000187904845137632,4.82694200569135e-05,0.000112090440216661,0.000221332554407284,2.69095814908581e-05,3.79379321036683e-05,0.000179634599562177,1.37771097893202e-05,2.96301985436456e-05,4.02482821153118e-05,1.25037966448045e-05,1.36823602273049e-05,3.59216654467264e-05,5.31636523066382e-05,6.01082038999377e-05,3.12882046449005e-05,4.3126841556477e-05,5.06614547596699e-05,4.07323857239643e-05,3.64428665048419e-05,0.000109022558077973,2.16329992597081e-05,4.46548737275214e-05,2.52898702369269e-05,1.33694149427258e-05,2.83441022261016e-05,2.82136165544123e-05,1.71001407260812e-05,2.75216066844072e-05,1.54919102175867e-05,3.08313659325153e-05,2.22206825763568e-05,3.51525572008327e-05,1.22849782250511e-05
