,root-EOD-Arabidopsis-1-451-3-R,root-EOD-Arabidopsis-2-452-3-R,root-EOD-Arabidopsis-3-453-3-R,root-EOD-Arabidopsis-4-454-3-R,root-EOD-Arabidopsis-5-455-3-R,root-EOD-Arabidopsis-6-456-3-R,root-EOD-Brachy-1-433-3-R,root-EOD-Brachy-2-434-3-R,root-EOD-Brachy-3-436-3-R,root-EOD-Brachy-4-437-3-R,root-EOD-Brachy-5-438-3-R,root-EOD-Brachy-6-439-3-R,root-EOD-Medicago-1-442-3a-R,root-EOD-Medicago-2-442-3b-R,root-EOD-Medicago-3-444-3a-R,root-EOD-Medicago-4-449-3a-R,root-EOD-Medicago-5-449-3b-R,shoot-EOD-Arabidopsis-1-451-3-S,shoot-EOD-Arabidopsis-2-452-3-S,shoot-EOD-Arabidopsis-3-453-3-S,shoot-EOD-Arabidopsis-4-454-3-S,shoot-EOD-Arabidopsis-5-455-3-S,shoot-EOD-Arabidopsis-6-456-3-S,shoot-EOD-Brachy-1-433-3-S,shoot-EOD-Brachy-2-434-3-S,shoot-EOD-Brachy-3-436-3-S,shoot-EOD-Brachy-4-437-3-S,shoot-EOD-Brachy-5-438-3-S,shoot-EOD-Brachy-6-439-3-S,shoot-EOD-Medicago-1-442-3a-S,shoot-EOD-Medicago-2-442-3b-S,shoot-EOD-Medicago-3-444-3a-S,shoot-EOD-Medicago-4-449-3a-S,shoot-EOD-Medicago-5-449-3b-S,root-EON-Arabidopsis-1-451-4-R,root-EON-Arabidopsis-2-452-4-R,root-EON-Arabidopsis-3-453-4-R,root-EON-Arabidopsis-4-454-4-R,root-EON-Arabidopsis-5-455-4-R,root-EON-Arabidopsis-6-456-4-R,root-EON-Brachy-1-433-4-R,root-EON-Brachy-2-434-4-R,root-EON-Brachy-3-436-4-R,root-EON-Brachy-4-437-4-R,root-EON-Brachy-5-438-4-R,root-EON-Brachy-6-439-4-R,root-EON-Medicago-1-442-4c-R,root-EON-Medicago-2-444-4b-R,root-EON-Medicago-3-444-4c-R,root-EON-Medicago-4-449-4c-R,shoot-EON-Arabidopsis-1-451-4-S,shoot-EON-Arabidopsis-2-452-4-S,shoot-EON-Arabidopsis-3-453-4-S,shoot-EON-Arabidopsis-4-454-4-S,shoot-EON-Arabidopsis-5-455-4-S,shoot-EON-Arabidopsis-6-456-4-S,shoot-EON-Brachy-1-433-4-S,shoot-EON-Brachy-2-434-4-S,shoot-EON-Brachy-3-436-4-S,shoot-EON-Brachy-5-438-4-S,shoot-EON-Brachy-6-439-4-S,shoot-EON-Medicago-1-442-4c-S,shoot-EON-Medicago-2-444-4b-S,shoot-EON-Medicago-3-444-4c-S,shoot-EON-Medicago-4-449-4c-S
4-hydroxy-2-quinolinecarboxylic acid,0.000325655151735831,0.000764809122523633,0.000358002884788842,0.000816557809068156,0.000430883881446267,0.000771241098842953,0.000226701917200923,0.000253543122974828,0.000181052489922526,0.000281506674923195,0.00018776557772647,0.000199939703332722,0.000401627779064209,0.000282054893440751,0.000310350658203538,0.000258677265451917,0.000257988483104317,0.00019982435760246,0.000387578900373176,0.000387145486430979,0.00044660123321782,0.000217227488147142,0.000529222499956995,0.0031305595931296,0.00350837887449823,0.00260134283946208,0.00438106870481018,0.00249548847552117,0.00346766379106834,0.000657036740066,0.000442067969675896,0.000404716483713581,0.000671000549362976,0.000562073717967657,0.000383705657077092,0.000646469788226882,0.000285756959080035,0.000506378493224468,0.000431227643292822,0.000422509198284471,0.000243536714265102,0.000390178490984929,0.000267363343143367,0.000236872930841765,0.000170498362024531,0.000378692196296051,0.000282775465375074,0.000458761919829005,0.000104169342944619,0.000278807481728378,0.000383212042601878,0.000256403623397321,0.000246377591391585,0.000345187013575803,0.000279095403676487,0.000445739804845828,0.00377690198958318,0.00404369827622205,0.0035154746847875,0.00306809568544612,0.00288286217230187,0.000633077897071427,0.000667150395266763,0.000322780739785932,0.00048759971065605
aspartic acid,3.88858425191467e-06,4.44916587888063e-06,1.62291966415939e-05,3.47501063287098e-06,6.66571429230701e-06,1.21094296360036e-05,1.15392503626566e-06,4.47516560786825e-06,1.96694959545064e-06,0,1.06166887194003e-06,2.55446430789746e-06,2.29140673785633e-05,1.35276052962014e-05,1.93567205558404e-05,1.29969170332596e-05,2.51145890849872e-05,2.39634962682417e-05,3.24279578720613e-06,2.33274968724544e-05,6.228823728688e-06,8.50949546858558e-06,1.16644306773463e-05,0.000224817438013678,0.000216867814948117,0.000245427197188818,0.000145965866695887,0.000131904533522237,0.000183362121038619,1.23344195998982e-05,1.35833855746642e-05,2.19532632485623e-05,1.58473082059484e-05,3.38327374159077e-05,7.27190856785183e-06,3.55384504231843e-06,7.98695788501295e-06,8.87535675126082e-06,7.75983009260659e-06,8.17330169742009e-06,8.34355882013316e-07,5.99601376654588e-06,8.15565250405457e-06,4.49536191736353e-06,3.65290690606222e-06,6.54955282721227e-06,1.83998170571394e-05,4.2859991696508e-06,2.96058424049332e-05,3.90853136282838e-06,2.25671901282206e-05,8.83582297432091e-07,1.48109169272562e-05,1.14588408947403e-05,2.02606926751849e-05,1.25035370640872e-05,9.80499903916571e-05,0.000148189914662067,0.000163274024371145,0.0002122663060376,0.000143649202100165,1.09919560813034e-05,6.1417174321416e-05,2.15174319665275e-05,1.03505047201534e-06
betaine,0.000853566468741584,0.000947841905158322,0.00116407027220744,0.000596283008702582,0.000608319537584365,0.00139090507015062,0.000382112153330299,0.000621900178651002,0.000579145959120214,0.000384496965982238,0.000304460543090691,0.000460617447394995,0.000797578414208841,0.00076308348722482,0.000800347287623499,0.000718150842254644,0.000892434155654793,3.54317420812121e-05,0.000259484820696284,0.000599053535887279,6.99296998981255e-05,6.66741984760772e-05,4.89916527151761e-05,0.00053183054513469,0.00119865540318592,0.000710472103181554,0.000565660923861052,0.000727911286762912,0.000689290074795355,0.000907566451071238,0.000936624749535569,0.000942920128511671,0.000968074126144423,0.000939281816660904,0.000447976391145346,0.000696268427385965,0.000689843754169114,0.000688474702159052,0.000744103585077542,0.000713693288364402,0.000308939709816116,0.000630129631123607,0.000523584151322252,0.000547928500670516,0.000408199976370681,0.000382989564557194,0.000918768469282536,0.000888629686239777,0.000461858474560673,0.000696239517822034,0.000484586571925758,0.000311734157085345,0.000250143948176389,0.000113875436043724,6.07788704827211e-05,7.84774915830052e-05,0.000562615445156329,0.000646028686676348,0.000856211461688703,0.000790132397504751,0.000602096566239579,0.000950552759046522,0.00103802415684084,0.000668930019111711,0.00062260266074264
caffeic acid,0.00332457473225871,0.00326165384659992,0.00162545777242191,0.00602138674039438,0.00372097542528243,0.00318036634949768,0.00129492188726605,0.00079271545526212,0.000672671356294454,0.00114164351709158,0.000749904694231196,0.000975002663879738,0.0036361230472698,0.0029179209214882,0.0042708810893795,0.00434033069538148,0.00455194505365513,0.000888784178536251,0.00242027784548123,0.00108675016975868,0.00247880426293975,0.0011847662439463,0.00294559863750402,0.00236878626786865,0.00197511827885789,0.00151531745106251,0.0024559001478323,0.000615243356373189,0.00176959565214316,0.0039278918187525,0.00344421743058146,0.0021444522924704,0.00441586996700698,0.00429794676098716,0.00357859647935091,0.00415318749778343,0.0029752156960579,0.00406381649190187,0.00463875028857444,0.00177795277634651,0.00140160950048678,0.000764993995370012,0.00338870727119547,0.000827534899257508,0.000448408817353889,0.00160617193858682,0.00463212615371228,0.0070668204922731,0.00242648361254592,0.00491706016980591,0.0016628270041244,0.00206045892140252,0.00158201493475063,0.00212170147594889,0.00150132052384274,0.00232735183230325,0.00206677162111049,0.00308090565518339,0.00166254041161384,0.00155712347453877,0.00121140863837332,0.00392729500482406,0.00423186916765074,0.00348553035233432,0.0039274251739287
hypoxanthine,3.68827759813329e-05,8.99231800463038e-05,7.10117218798974e-05,7.28662586802864e-05,7.12906221970365e-05,9.22609995481069e-05,6.11530639403788e-06,1.87447608109839e-05,1.1251738966617e-05,6.338688335846e-06,1.12522555086192e-05,1.1927770125394e-05,2.37359508035894e-05,1.24631935045629e-05,2.06582495489812e-05,3.06238773497927e-05,3.05444877443005e-05,0.000123074389205656,0.000109340013724803,0.000120462490186789,0.000125350259191739,0.000119705213953443,0.000131917954221573,0.00057051123249654,0.000310617236906262,0.000416271044085777,0.000262553698721794,0.000400443652371795,0.000265925109964321,3.4824609082584e-05,2.95601377297637e-05,4.05844674006041e-05,5.91939018381335e-05,5.71984989958187e-05,3.72796838168769e-05,3.42609707085051e-05,4.62899958298054e-05,9.17300794190319e-05,6.1504255518514e-05,1.94358068648819e-05,7.64075135521844e-06,2.1459283169255e-05,2.83485307220951e-05,1.92542385046114e-05,1.2039352825933e-05,1.52246801122781e-05,2.47643079670578e-05,2.01744444227765e-05,1.52061630904129e-05,1.34844312267171e-05,0.000119368141955564,0.000114040673724822,0.000138717917531897,0.000137320019967473,0.000102817952064863,0.000121408271048584,0.000455804273243631,0.000572936475951637,0.000745549363783894,0.000509032152730757,0.000441335075031054,6.9952440077494e-05,3.46281834602291e-05,2.6531540688669e-05,3.91486748639474e-05
methyl indole-3-acetic acid,0.000212693840644843,0.00141179709298218,0.000803512446734206,0.00014185099913574,0.000979518417925908,0.00263557624128344,4.69963282720583e-05,0.000159820579090988,0.000162104866746045,3.70208785777677e-05,2.00404550345671e-05,0.000250619437136858,0.000687864282371207,0.00034446971642019,0.000475598960830116,0.000583099207212745,0.00100241719794447,0.000229359025987897,8.52533045161219e-05,0.000815089379253788,6.12999300355401e-05,0.000202626612146989,0.000168090495221111,0.000293491705131292,0.000638086556138513,0.00142657385455558,0.000439038908723794,0.00209629072603563,0.000311491246902276,3.3069798772786e-05,0.000403641165958717,0.000272606675917986,3.95564669742631e-05,0.000239742970276769,0.00021101920598053,0.000114521156672567,0.000930674898005008,0.000227963347809604,0.000226422427381685,0.00109429740294998,3.37349582808818e-05,0.000322042595413038,0.00018556192835028,0.000244682980429281,0.000586360810018786,6.32318278018197e-05,0.000393188637900766,5.36733750789534e-05,0.000353606085074515,0.000118609876126722,0.000118597421793064,5.95299016292244e-05,0.00029847314636771,0.000366177824935306,0.000375145055505482,7.92899880556877e-05,0.000467385451661672,0.000544787736910451,0.00230039361914437,0.00353548767919048,0.00157735150582397,0.000251446232604573,0.000133226457390167,0.000735195466462833,9.50640443507017e-05
phenylalanine,6.19054573292782e-06,6.54128441391859e-06,4.04614272585729e-06,1.38533275287184e-05,6.53742919502984e-06,5.05371759167639e-06,2.43858843386001e-06,6.79588613328207e-06,5.21725060282823e-06,4.88003661364423e-06,3.96038350952713e-06,3.69236012796453e-06,5.81799705195305e-06,8.24237660313999e-06,6.00165467666443e-05,1.02562263912212e-05,7.13100428564526e-06,5.11488473772116e-05,0.000544267168454876,0.000278753959066931,0.000278970518474662,0.000184254558977073,0.000100369450608331,2.40820939104571e-06,1.86985749601098e-06,6.70100649330073e-06,5.68385529616289e-06,4.1279022969202e-06,2.31789960892653e-06,0.000345750260890032,8.1472236393275e-05,2.45362330448121e-05,9.32711014599517e-05,2.7230589939546e-05,6.89730015143365e-06,4.84947859760634e-06,7.12837474030232e-06,6.98890144756628e-06,3.90675698421246e-06,5.87229980141649e-06,4.70013808654806e-06,3.15613712217544e-06,1.65887131221518e-05,5.1533404349881e-06,5.27456526319856e-06,4.15067216006371e-06,7.41569190410173e-05,9.78218548841386e-06,5.11819695595503e-06,1.37089985830041e-05,0.000292299796294884,0.000318449479279238,0.000230477565843409,0.000222997402398004,0.000124822270512677,0.000161927863386596,5.82064983640733e-06,9.37171831579812e-06,1.16896018019407e-06,4.59331301897868e-06,3.72898153838014e-06,0.000196437193731739,1.96529794784876e-05,4.00637281162794e-05,0.000156093440160715
salicylic acid,0.000133887453573248,0.000768138595673893,0.000228534607863695,0.00107007940922987,0.00062393838469787,0.000232069337210641,0.00140499493229757,0.00130144071069344,0.00117838802887482,0.00172960441324683,0.000719093103502805,0.00107497127142641,0.000187392499756506,0.000326709455686799,0.000230739804152563,0.000184348275610548,0.000178334456713187,0.000910331515911064,0.00625013201813958,0.00106542227845366,0.00657662699075094,0.00797744957540602,0.00135056836592353,0.00945930370764311,0.0139682475574378,0.0063050943337619,0.0158230316078215,0.00810241111455211,0.0147066565370682,0.000649495581207645,0.000505733802484839,0.000516369534502172,0.000893128694613838,0.000549631555537682,0.000370900111169196,0.000324472108212182,0.000233207104052802,0.000939886739989212,0.000233734708951458,0.0019805118730865,0.00169922784535666,0.0019311117565343,0.000731750345161621,0.00216588871363702,0.000738056467515769,0.00243501505299819,0.000776622403618291,0.00082738103929738,0.000259596034858038,0.000698803793912899,0.00115376370615311,0.00387199202763899,0.00463351064485066,0.00454503327333499,0.00116105279793114,0.00175106596762952,0.0129140889536608,0.0132279646249042,0.00733375917841145,0.00892371346606996,0.00692495349013435,0.00296427975886503,0.00231324262873487,0.00135903412547059,0.00243924219320169
trigonelline,0.00379897606079905,0.00174228587298569,0.00194087305887779,0.00382709278248575,0.00251463571371595,0.00264422586258305,0.0107181982618992,0.00805044028320522,0.0104562919923011,0.0102480132105851,0.00859709725765256,0.00502370910246349,0.00284371236149473,0.00309364899124447,0.00352398235615809,0.00286170824950522,0.00326376315311494,0.00262766897968113,0.00316941969697531,0.00520494195905232,0.00415185180133659,0.00216970489271165,0.00279640120203459,0.00531496321040951,0.00355673394264278,0.00389686949203016,0.00819588405651749,0.0040295766895881,0.005327199109402,0.0109091588875174,0.00889106142003873,0.00864542700367187,0.00916258668796217,0.00607763982894631,0.0042332465564896,0.00348915687966298,0.00438207502934405,0.00313479713537425,0.00385977553215231,0.0108484339880731,0.0170752715063005,0.00752968774697298,0.00771487053321067,0.00600002754662848,0.00807273032336683,0.0190650189060846,0.00342439786827723,0.0137291699991702,0.00296045016947593,0.00618026431426666,0.00581223559596913,0.00363594269576276,0.00308216530867378,0.00552202609011893,0.00454695247574666,0.00407863706214681,0.0107261398784361,0.0105044752548233,0.00407141444695672,0.00422276925368444,0.00535937278794918,0.00680838999120289,0.00382549919804622,0.00751886670230334,0.0149644767135099
tyrosine,0.00120990415863207,0.000713327244097455,0.00125620007432769,0.000688054511320331,0.00045699858187848,0.00131986067937306,0.00602791998028637,0.000881480620451202,0.00655311045939697,0.00329074816200401,0.00411030481999152,0.00463335450212638,0.0012364885088797,0.00171525154730842,0.00169351240525462,0.00145329573077142,0.000963995132328011,0.000472182272679554,0.00133317107766525,0.0016204474460533,0.00135135573470776,0.000392515884524777,0.00136486451186886,0.00581447282212253,0.0216423743969954,0.00693209354156451,0.0105291869257571,0.00997095605977496,0.00967072598468617,0.000541736583648799,0.00025714813852472,0.000333224856225824,0.000526989236634943,0.000184324989458548,0.00145613711464442,0.00121745987395862,0.00121256648290979,0.0013006204030361,0.00207411152464901,0.00602025092747926,0.00372967867084297,0.000870818642445919,0.00266932178903947,0.00251834917118589,0.000943373857326713,0.00531786132178091,0.00121091735016394,0.00351686534101292,0.00172206691683431,0.00270345923201039,0.002800975435808,0.00198347924909206,0.000784949880408058,0.00072610838207455,0.000744943932076127,0.00125231340674428,0.0135525062669498,0.0126174616047561,0.00970272506115734,0.00857155162371265,0.00271567463444487,0.000299052541132277,0.000397358760601995,0.000281889173655311,0.000172881708968659
