,logFC,level,p,Genus,ord
M00146,-3.93229468806982,depleted,1.14508245352383e-06,M00146,15.4629415138221
M00831,3.4816874993065,enriched,3.05113265628091e-05,M00831,12.1221478428272
M00851,3.4814050584378,enriched,3.0457635751003e-05,M00851,12.1201811809163
M00160,-3.15897785622151,depleted,0.000282425521478491,M00160,9.97914109609787
M00889,-2.96484349570204,depleted,6.92385254845978e-09,M00889,8.79029695400672
M00836,2.95890603993937,enriched,0.000659502380966791,M00836,8.75512495318967
M00877,2.60507401328779,enriched,0.00317038318033397,M00877,6.78641061470736
M00857,-2.40271164469949,depleted,1.67932769977276e-05,M00857,5.77302324757454
M00415,2.13408841660328,enriched,0.0159716772382429,M00415,4.55433336988031
M00074,-2.02384344580388,depleted,3.39343591639918e-08,M00074,4.09594229312333
M00073,-2.02351692384541,depleted,2.16971981838583e-08,M00073,4.09462074108877
M00915,1.97929167509647,enriched,0.00235072019474876,M00915,3.9175955351062
M00773,-1.96913022590583,depleted,0.0151962305932383,M00773,3.87747384657596
M00829,1.92035256137702,enriched,6.51132167726693e-12,M00829,3.68775395998728
M00065,-1.78637722407735,depleted,4.32854310177571e-23,M00065,3.19114358670231
M00805,1.67301738331189,enriched,2.66320466940096e-08,M00805,2.79898716486375
M00777,1.56678781716751,enriched,0.00327119995707598,M00777,2.45482406402453
M00927,-1.40827180316268,depleted,0.000318929096609945,M00927,1.98322947158308
M00163,-1.3666777593665,depleted,0.00601628270944328,M00163,1.86780809794702
M00161,-1.35428050430179,depleted,1.11335918585267e-10,M00161,1.8340756843319
M00838,1.34990701739749,enriched,3.99178594438765e-15,M00838,1.82224895561899
M00837,1.31644591322392,enriched,1.7948499544568e-11,M00837,1.73302984244395
M00433,-1.03174562236263,depleted,4.53919115529209e-11,M00433,1.06449902926444
M00142,0.995149799299069,enriched,5.35664840691121e-06,M00142,0.990323123044978
M00826,-0.994107518888093,depleted,6.25104705847643e-08,M00826,0.988249759109841
M00542,0.953540760555643,enriched,5.1675879339317e-10,M00542,0.909239982041033
M00783,0.949780288245816,enriched,0.0035221608164015,M00783,0.902082595940306
M00660,0.937019551141229,enriched,1.06098210104021e-09,M00660,0.878005639220911
M00867,0.931892734756554,enriched,2.91521557731114e-08,M00867,0.86842406909205
M00834,0.780329282962572,enriched,0.000330069457214711,M00834,0.608913789848882
M00833,0.775763241926513,enriched,0.000403572246564662,M00833,0.601808607524333
M00548,-0.727766004754553,depleted,0.000125453793605915,M00548,0.529643357676404
M00081,0.68142554827431,enriched,1.17086166104514e-05,M00081,0.464340777840944
