,logFC,level,p,Genus,ord
R00406,4.63051649381269,enriched,1.26716129845325e-10,R00406,21.4416829994714
R12348,-4.51271262066747,depleted,1.29355821268699e-06,R12348,20.3645751967315
R07517,-4.38199618707123,depleted,1.01617294314376e-08,R07517,19.2018905835068
R07520,-4.38199618707123,depleted,1.01617294314376e-08,R07520,19.2018905835068
R07523,-4.38199618707123,depleted,1.01617294314376e-08,R07523,19.2018905835068
R07534,-4.38199618707123,depleted,1.01617294314376e-08,R07534,19.2018905835068
R05938,-3.59516470003327,depleted,0.000167096402518861,R05938,12.9252092203653
R05939,-3.59516470003327,depleted,0.000167096402518861,R05939,12.9252092203653
R05946,-3.59516470003327,depleted,0.000167096402518861,R05946,12.9252092203653
R05952,-3.59516470003327,depleted,0.000167096402518861,R05952,12.9252092203653
R12962,-3.59516470003327,depleted,0.000167096402518861,R12962,12.9252092203653
R09323,-3.5327182823004,depleted,0.000207730834837313,R09323,12.4800984620995
R10099,3.48995994769119,enriched,0.000170766675100608,R10099,12.1798204364887
R05364,3.48700407815979,enriched,2.35438671080247e-05,R05364,12.159197441103
R01940,3.48645024888628,enriched,2.35089208322578e-05,R01940,12.1553353379592
R13166,3.48645024888628,enriched,2.35089208322578e-05,R13166,12.1553353379592
R13167,3.48645024888628,enriched,2.35089208322578e-05,R13167,12.1553353379592
R08933,3.48306654727582,enriched,2.38397702891736e-05,R08933,12.1317525727519
R01982,-3.46396436196153,depleted,0.000263622157105384,R01982,11.9990491009395
R02360,-3.46396436196153,depleted,0.000263622157105383,R02360,11.9990491009395
R11519,3.25054803113524,enriched,0.0001119505109738,R11519,10.5660625027172
R11422,-3.10969025080882,depleted,0.000353410084634071,R11422,9.67017345597541
R11423,-3.10969025080882,depleted,0.000353410084634071,R11423,9.67017345597541
R00794,-3.10881535879398,depleted,0.000354642980700121,R00794,9.66473293507336
R00796,-3.10881535879398,depleted,0.000354642980700121,R00796,9.66473293507336
R12757,2.72725637996719,enriched,0.000883590640995996,R12757,7.43792736207174
R07202,-2.60785755978552,depleted,0.000877054767183042,R07202,6.80092105213048
R02731,-2.58904337705916,depleted,0.000107349732276565,R02731,6.70314560829388
R05649,-2.44430298837848,depleted,0.000337710667218641,R05649,5.97461709899597
R00811,2.34584039796496,enriched,0.000325951676857112,R00811,5.50296717272442
R10091,-1.9077939224474,depleted,0.000286996589345129,R10091,3.63967765052725
R12586,-1.76920570158004,depleted,0.000834248212922164,R12586,3.13008881450332
R00720,1.75470072443588,enriched,0.000493239306043286,R00720,3.0789746323358
R02720,1.75470072443588,enriched,0.000493239306043286,R02720,3.0789746323358
