,logFC,level,p,Genus,ord
g__Arthrobacter,10.5776922913503,enriched,5.87441845693003e-86,g__Arthrobacter,111.887574210492
g__Catenulispora,-8.63779429780923,depleted,9.71233591500596e-07,g__Catenulispora,74.6114903312656
g__Porphyrobacter,-8.54888713037903,depleted,4.17294740191169e-17,g__Porphyrobacter,73.0834711679602
g__unclassified_f__Gallionellaceae,7.92537885442318,enriched,7.20312947986294e-23,g__unclassified_f__Gallionellaceae,62.8116299861381
g__Sphingorhabdus,7.5816465162011,enriched,1.87203719149874e-19,g__Sphingorhabdus,57.4813638966242
g__Paeniglutamicibacter,-7.44185256052707,depleted,2.66776133640238e-05,g__Paeniglutamicibacter,55.3811695326233
g__Ensifer,-6.82607432837434,depleted,0.00174151315350889,g__Ensifer,46.5952907364912
g__Cylindrospermum_PCC-7417,-6.60988318577628,depleted,2.65591128065967e-06,g__Cylindrospermum_PCC-7417,43.690555729608
g__Oscillochloris,6.552113108566,enriched,1.83667471318242e-09,g__Oscillochloris,42.9301861874424
g__Kouleothrix,-6.49369763236366,depleted,1.1707133676664e-18,g__Kouleothrix,42.1681089405654
g__Dinghuibacter,6.40713348880341,enriched,3.60038814454001e-09,g__Dinghuibacter,41.0513595433461
g__Janthinobacterium,6.37659307314046,enriched,0.00174306612297505,g__Janthinobacterium,40.6609392204229
g__Turicibacter,-6.31887570181264,depleted,3.56390310125304e-06,g__Turicibacter,39.9281901349582
g__Ellin6055,6.2503346506025,enriched,0.00521470269384976,g__Ellin6055,39.0666832445222
g__unclassified_f__Amb-16S-1323,6.21660324635149,enriched,4.819480256072e-09,g__unclassified_f__Amb-16S-1323,38.6461559225479
g__Anaerobacterium,6.21586959851154,enriched,0.00292556659867374,g__Anaerobacterium,38.6370348657
g__Amnibacterium,6.19518628979787,enriched,0.000282918286943023,g__Amnibacterium,38.3803331652996
g__Leifsonia,-5.96034464236475,depleted,0.000651637944397687,g__Leifsonia,35.5257082557662
g__Catenuloplanes,5.90943628881134,enriched,3.87474177750901e-05,g__Catenuloplanes,34.9214372515204
g__Rhodanobacter,-5.69311601087414,depleted,3.53361565592271e-07,g__Rhodanobacter,32.4115699132715
g__Xanthomonas,-5.53712534635244,depleted,0.000294743906826594,g__Xanthomonas,30.6597571012186
g__Amaricoccus,-5.53636457493477,depleted,1.98049202958041e-05,g__Amaricoccus,30.6513327065926
g__Rhodovastum,-5.49928219304212,depleted,2.29203720202639e-05,g__Rhodovastum,30.2421046387102
