,logFC,level,p,Genus,ord
g__Arthrobacter,10.6196673738577,enriched,7.37161980581786e-87,g__Arthrobacter,112.777335131377
g__Catenulispora,-8.63779429780923,depleted,5.25810200362142e-07,g__Catenulispora,74.6114903312656
g__Porphyrobacter,-8.54888713037903,depleted,3.567619958964e-18,g__Porphyrobacter,73.0834711679602
g__unclassified_f__Gallionellaceae,7.3770588191301,enriched,7.03732219369463e-20,g__unclassified_f__Gallionellaceae,54.4209968209053
g__Catenuloplanes,7.28143627701403,enriched,2.11351132425847e-06,g__Catenuloplanes,53.0193142562159
g__Ellin6055,7.15911016644006,enriched,0.00272724557268352,g__Ellin6055,51.2528583752254
g__Cylindrospermum_PCC-7417,-6.60988318577628,depleted,1.14533275475925e-06,g__Cylindrospermum_PCC-7417,43.690555729608
g__Bifidobacterium,6.39959999767147,enriched,0.0021061991568695,g__Bifidobacterium,40.9548801301967
g__Turicibacter,-6.31887570181264,depleted,1.48452868703665e-06,g__Turicibacter,39.9281901349582
g__Romboutsia,-6.21421252967323,depleted,2.61878440549165e-06,g__Romboutsia,38.6164373639477
g__Sphingorhabdus,6.0532514184667,enriched,1.62711779898251e-12,g__Sphingorhabdus,36.6418527351691
g__unclassified_f__Amb-16S-1323,6.0380305086197,enriched,1.12355140156554e-08,g__unclassified_f__Amb-16S-1323,36.4578124230223
g__Leifsonia,-5.96034464236475,depleted,0.00042454648406543,g__Leifsonia,35.5257082557662
g__Hydrogenophaga,5.91594744489624,enriched,4.16506240040091e-05,g__Hydrogenophaga,34.9984341707744
g__Dinghuibacter,5.85758510111137,enriched,4.69117183591669e-08,g__Dinghuibacter,34.3113032167619
g__Parafilimonas,-5.82705127057454,depleted,4.22170767333389e-06,g__Parafilimonas,33.9545265099044
g__Amnibacterium,5.61287842890765,enriched,0.000629752180459722,g__Amnibacterium,31.5044042576969
g__Xanthomonas,-5.53712534635244,depleted,0.000168616629012121,g__Xanthomonas,30.6597571012186
g__Tychonema_CCAP_1459-11B,-5.39532392925144,depleted,4.56896764235366e-08,g__Tychonema_CCAP_1459-11B,29.1095203015532
g__CENA518,-5.39190494859133,depleted,4.85913582620247e-08,g__CENA518,29.0726389746437
g__Belnapia,5.31476338001071,enriched,4.74138035701517e-05,g__Belnapia,28.2467097855029
g__Rurimicrobium,5.29325840567104,enriched,0.000754174272982224,g__Rurimicrobium,28.0185845492071
g__Anaerobacterium,5.25304971848572,enriched,0.00655852847010882,g__Anaerobacterium,27.5945313448829
g__Sediminibacterium,-5.17300105216472,depleted,0.000164620389511462,g__Sediminibacterium,26.7599398856973
g__Oscillochloris,5.16864364555562,enriched,1.14288205943489e-06,g__Oscillochloris,26.7148771347425
g__Telmatocola,-5.09782047525451,depleted,2.13886041098692e-08,g__Telmatocola,25.9877735979241
g__Nostoc_PCC-7524,5.05776662742023,enriched,0.00100038811973452,g__Nostoc_PCC-7524,25.5810032574458
g__unclassified_f__Phormidiaceae,-5.03302011619591,depleted,1.47882456223306e-05,g__unclassified_f__Phormidiaceae,25.3312914900327
g__Cytophaga,-4.9879414227913,depleted,5.66645795369208e-06,g__Cytophaga,24.8795596371973
g__Aquabacterium,-4.9362801239959,depleted,0.000815831679583662,g__Aquabacterium,24.3668614625569
g__Cupriavidus,4.9117721847436,enriched,0.00171759469638637,g__Cupriavidus,24.1255059948209
g__IMCC26134,4.90557978897096,enriched,0.000373161649190877,g__IMCC26134,24.0647130659603
g__Tuwongella,4.86786762461553,enriched,1.06479263639227e-05,g__Tuwongella,23.6961352107801
g__Cavicella,-4.8658962304509,depleted,0.000247013014732572,g__Cavicella,23.6769461255163
g__Actinophytocola,4.78713281283963,enriched,0.000750998444787032,g__Actinophytocola,22.9166405677658
g__Ellin516,-4.64707154467739,depleted,0.000805944864727002,g__Ellin516,21.5952739413503
g__Ahniella,4.60047836467487,enriched,1.41958024202014e-19,g__Ahniella,21.1644011838416
g__unclassified_o__Sphingobacteriales,4.55851764434615,enriched,6.61849976061732e-08,g__unclassified_o__Sphingobacteriales,20.7800831138152
g__Crossiella,-4.55026074378877,depleted,0.00889925244509338,g__Crossiella,20.7048728364651
g__Leptolyngbya_Es-Yyy1000,-4.53877564376698,depleted,1.03170744309977e-05,g__Leptolyngbya_Es-Yyy1000,20.6004843444524
g__Aquipuribacter,-4.53805837720664,depleted,0.00158692761452684,g__Aquipuribacter,20.5939738349354
g__unclassified_f__Solimonadaceae,4.51281956819189,enriched,8.77093746371024e-09,g__unclassified_f__Solimonadaceae,20.3655404550556
g__unclassified_f__D05-2,4.48054552757883,enriched,0.00211009751737093,g__unclassified_f__D05-2,20.0752882247066
g__Fimbriimonas,-4.46851728976469,depleted,0.00023074564560813,g__Fimbriimonas,19.967646768926
g__unclassified_o__Cyanobacteriales,-4.43953048616745,depleted,1.92612216562459e-05,g__unclassified_o__Cyanobacteriales,19.7094309376102
g__Jahnella,-4.41632734053482,depleted,0.00291918856862034,g__Jahnella,19.5039471787554
g__Exiguobacterium,-4.4084623949131,depleted,0.0122803007547857,g__Exiguobacterium,19.4345406873629
g__unclassified_f__Tepidisphaeraceae,-4.2898158405031,depleted,0.000205414401238998,g__unclassified_f__Tepidisphaeraceae,18.4025199454313
g__unclassified_c__Chloroflexia,-4.26407468151913,depleted,0.00124087860706556,g__unclassified_c__Chloroflexia,18.1823328895725
g__Agrococcus,-4.22474752640556,depleted,0.00314277463022959,g__Agrococcus,17.8484916618699
g__Phormidium_SAG_37.90,-4.14359484777918,depleted,0.000412092706683688,g__Phormidium_SAG_37.90,17.1693782625422
g__Azospirillum,-4.13439905193937,depleted,0.00110910512468533,g__Azospirillum,17.0932555206772
g__unclassified_c__Cyanobacteriia,-4.08365058527432,depleted,0.00036968512435206,g__unclassified_c__Cyanobacteriia,16.6762021026113
g__Paludisphaera,-4.06865150245135,depleted,0.00373584050448524,g__Paludisphaera,16.5539250483996
g__Hassallia,4.05540142373225,enriched,2.10487706459112e-11,g__Hassallia,16.4462807076095
g__Nodularia_PCC-9350,4.05091660854261,enriched,0.000225755564621968,g__Nodularia_PCC-9350,16.4099253693664
g__Granulicella,-4.04881235390696,depleted,0.0033426665965912,g__Granulicella,16.3928814771496
g__Rhodanobacter,-4.02950512430236,depleted,9.38116918805518e-05,g__Rhodanobacter,16.2369115467789
g__Delftia,-3.98388770976665,depleted,0.00346176414512392,g__Delftia,15.8713612840298
g__unclassified_o__Subgroup_15,3.93958839938334,enriched,0.000486207975062922,g__unclassified_o__Subgroup_15,15.5203567565558
g__Olivibacter,-3.91055094077508,depleted,0.0109870181043576,g__Olivibacter,15.2924086603968
g__Rhodovastum,-3.89721819765379,depleted,0.000929050833066951,g__Rhodovastum,15.1883096801239
g__Polycyclovorans,3.88875819477646,enriched,1.79374281637801e-16,g__Polycyclovorans,15.1224402974411
g__unclassified_o__Vampirovibrionales,3.88789360828596,enriched,0.000365616835714795,g__unclassified_o__Vampirovibrionales,15.1157167093508
g__unclassified_o__Bacteroidetes_VC2.1_Bac22,3.88444061958448,enriched,1.29047048523462e-07,g__unclassified_o__Bacteroidetes_VC2.1_Bac22,15.0888789270779
g__unclassified_f__Methylopilaceae,3.87702675416664,enriched,0.00386031807824786,g__unclassified_f__Methylopilaceae,15.0313364525239
g__Ancylobacter,3.84987514785576,enriched,0.00170156293383976,g__Ancylobacter,14.8215386540774
g__unclassified_f__Hyphomicrobiaceae,3.84380322235815,enriched,0.00674103681569726,g__unclassified_f__Hyphomicrobiaceae,14.7748232122109
g__Pseudofulvimonas,3.82199208808364,enriched,0.00120959527612096,g__Pseudofulvimonas,14.6076235213739
g__unclassified_o__Marine_Group_II,3.77491327508969,enriched,1.31253145774455e-05,g__unclassified_o__Marine_Group_II,14.2499702344484
g__unclassified_f__Streptomycetaceae,-3.76841641803797,depleted,0.00237477757666023,g__unclassified_f__Streptomycetaceae,14.2009622997381
g__[Aquaspirillum]_arcticum_group,-3.70912721004972,depleted,0.00415757562824896,g__[Aquaspirillum]_arcticum_group,13.7576246603312
g__Sulfurifustis,3.6885889119915,enriched,0.00469611243435665,g__Sulfurifustis,13.6056881616666
g__Longispora,3.66563409743952,enriched,0.0084277545260776,g__Longispora,13.4368733363112
g__Deinococcus,-3.66509602156689,depleted,2.65904766594159e-05,g__Deinococcus,13.4329288473054
g__Verticiella,3.65179591045433,enriched,0.00716088262982339,g__Verticiella,13.335613371611
g__Methylophilus,3.62923071884678,enriched,0.00332875115442038,g__Methylophilus,13.1713156106211
g__Kouleothrix,-3.46768620811897,depleted,4.17827167063188e-12,g__Kouleothrix,12.0248476379785
g__unclassified_f__Peptococcaceae,3.43556045623432,enriched,0.00089787561223671,g__unclassified_f__Peptococcaceae,11.803075648441
g__unclassified_p__Gemmatimonadota,-3.42944264001591,depleted,0.00554548137137518,g__unclassified_p__Gemmatimonadota,11.7610768211593
g__unclassified_f__Rubinisphaeraceae,3.37637789613915,enriched,0.00500053314102375,g__unclassified_f__Rubinisphaeraceae,11.399927697537
g__Gordonia,3.32263151281975,enriched,0.00899500241124549,g__Gordonia,11.0398801699829
g__Neo-b11,-3.29300240015977,depleted,0.0057978140676686,g__Neo-b11,10.843864807458
g__Neochlamydia,-3.27848352111516,depleted,0.00162314179580249,g__Neochlamydia,10.7484541982237
g__unclassified_o__Lineage_IV,3.27497838760844,enriched,0.00120844609510967,g__unclassified_o__Lineage_IV,10.7254834393024
g__unclassified_o__JG36-GS-52,3.25705816533922,enriched,0.0049481049003187,g__unclassified_o__JG36-GS-52,10.6084278924029
g__Leptolyngbya_EcFYyyy-00,-3.25544405356111,depleted,0.00146126592156378,g__Leptolyngbya_EcFYyyy-00,10.5979159858664
g__Camelimonas,-3.22839524531755,depleted,0.00600118154061239,g__Camelimonas,10.422535859989
g__Lacibacter,3.21832130753777,enriched,6.7060265800843e-08,g__Lacibacter,10.3575920385516
g__Saccharothrix,3.20189345364637,enriched,7.58245232622743e-05,g__Saccharothrix,10.2521216885035
g__Siccirubricoccus,-3.1933546051434,depleted,0.00250155608924409,g__Siccirubricoccus,10.1975136341905
g__Chiayiivirga,3.19304974659266,enriched,0.0079381193475149,g__Chiayiivirga,10.1955666842155
g__Georgenia,3.18876649085116,enriched,0.00473828252372675,g__Georgenia,10.1682317331752
g__unclassified_o__DTU014,3.14266891064293,enriched,0.00266751468361428,g__unclassified_o__DTU014,9.87636788192161
g__unclassified_o__Flavobacteriales,3.11455496001387,enriched,0.004153136270882,g__unclassified_o__Flavobacteriales,9.70045259894698
g__unclassified_o__Candidatus_Woesebacteria,3.10397083782843,enriched,0.00253641677820409,g__unclassified_o__Candidatus_Woesebacteria,9.63463496208932
g__unclassified_o__Ardenticatenales,3.09197580750169,enriched,1.6813031488479e-09,g__unclassified_o__Ardenticatenales,9.56031439417574
g__unclassified_o__Fimbriimonadales,3.00521023442039,enriched,0.00830897841625811,g__unclassified_o__Fimbriimonadales,9.03128855306504
g__unclassified_f__Elsteraceae,-2.96640315746191,depleted,0.00356009827884753,g__unclassified_f__Elsteraceae,8.7995476926
g__unclassified_f__cvE6,-2.95123872025978,depleted,0.0035886469804876,g__unclassified_f__cvE6,8.70980998396061
g__unclassified_o__Bacteroidales,2.93813892067196,enriched,0.00992797107758223,g__unclassified_o__Bacteroidales,8.6326603171674
g__Candidatus_Nostocoida,-2.91134433908448,depleted,0.00375299927443583,g__Candidatus_Nostocoida,8.47592586071923
g__CL500-3,2.88720067813852,enriched,0.00465695313001886,g__CL500-3,8.33592775584352
g__Salinispora,2.88634254075614,enriched,0.00201415376890476,g__Salinispora,8.3309732625786
g__unclassified_o__SAR202_clade,2.8572458734865,enriched,0.00538106897471513,g__unclassified_o__SAR202_clade,8.16385398155564
g__unclassified_c__Pla3_lineage,2.84853072173523,enriched,0.000213201925860471,g__unclassified_c__Pla3_lineage,8.11412727266943
g__unclassified_f__Hymenobacteraceae,-2.82541828993534,depleted,0.00280523516122457,g__unclassified_f__Hymenobacteraceae,7.98298851310114
g__unclassified_f__FFCH9454,-2.82128026371996,depleted,0.00901852507844854,g__unclassified_f__FFCH9454,7.95962232645577
g__unclassified_c__Lineage_IIc,2.81971951804338,enriched,0.00844156864810954,g__unclassified_c__Lineage_IIc,7.95081816043477
g__Trichocoleus_SAG_26.92,-2.80520441128632,depleted,0.00464340387039714,g__Trichocoleus_SAG_26.92,7.86917178910025
g__Chujaibacter,-2.78031537346031,depleted,0.00925622240302068,g__Chujaibacter,7.73015357589977
g__Rickettsiella,-2.72820223488887,depleted,0.00489164810194658,g__Rickettsiella,7.44308743445263
g__Verrucomicrobium,2.71965727493968,enriched,7.96611376078229e-09,g__Verrucomicrobium,7.39653569313231
g__unclassified_f__Deinococcaceae,-2.71082601867744,depleted,0.00936353114907552,g__unclassified_f__Deinococcaceae,7.34857770353859
g__Methylobacillus,-2.6642423693677,depleted,0.0109744515549441,g__Methylobacillus,7.09818740273399
g__unclassified_f__Symbiobacteraceae,2.63720177962501,enriched,0.00845422524781921,g__unclassified_f__Symbiobacteraceae,6.9548332264573
g__Chryseobacterium,2.61636382202145,enriched,0.000213320958053727,g__Chryseobacterium,6.84535964918267
g__unclassified_o__Cytophagales,-2.60297907669884,depleted,5.6036490122638e-05,g__unclassified_o__Cytophagales,6.77550007373194
g__unclassified_o__Veillonellales-Selenomonadales,-2.58827035959467,depleted,0.0068504186016198,g__unclassified_o__Veillonellales-Selenomonadales,6.69914345435635
g__unclassified_f__KD3-93,-2.57944331794469,depleted,6.20192989289107e-05,g__unclassified_f__KD3-93,6.6535278304895
g__Vampirovibrio,-2.56186138149732,depleted,0.00700940855343057,g__Vampirovibrio,6.56313373800734
g__unclassified_f__Euzebyaceae,2.56094490232273,enriched,3.21145767022557e-05,g__unclassified_f__Euzebyaceae,6.55843879273279
g__OLB13,2.54921428272358,enriched,0.000101759831945274,g__OLB13,6.49849345924187
g__Anaerolinea,2.54844221204502,enriched,0.00143568091853095,g__Anaerolinea,6.49455770813289
g__unclassified_f__Burkholderiaceae,2.52936603420547,enriched,0.0119276364084476,g__unclassified_f__Burkholderiaceae,6.3976925349923
g__Roseisolibacter,-2.50958805870241,depleted,7.40792242097755e-05,g__Roseisolibacter,6.29803222438171
g__unclassified_o__MSB-4B10,-2.49920589571178,depleted,0.0114920141756636,g__unclassified_o__MSB-4B10,6.24603010916051
g__Nakamurella,-2.49792043936708,depleted,0.00546006761693436,g__Nakamurella,6.23960652140782
g__Flavobacterium,2.4881851559975,enriched,6.08435599035618e-07,g__Flavobacterium,6.19106537052628
g__unclassified_c__Dojkabacteria,-2.39770671094029,depleted,0.0101894886941476,g__unclassified_c__Dojkabacteria,5.74899747168809
g__unclassified_c__OLB14,2.39417860170878,enriched,2.6345963758698e-14,g__unclassified_c__OLB14,5.73209117688023
g__Hymenobacter,-2.36864978734851,depleted,5.9701507476611e-16,g__Hymenobacter,5.61050181510613
g__YC-ZSS-LKJ147,-2.25919826149971,depleted,5.66372259321557e-08,g__YC-ZSS-LKJ147,5.10397678476333
g__Blastopirellula,2.24912332685144,enriched,0.00288965916582108,g__Blastopirellula,5.05855573938728
g__Fluviicola,2.24095366711893,enriched,0.000355794752827649,g__Fluviicola,5.02187333817379
g__Ohtaekwangia,2.23780180377903,enriched,1.12669302592608e-13,g__Ohtaekwangia,5.00775691299667
g__Segetibacter,-2.22662884919104,depleted,1.6027423563332e-17,g__Segetibacter,4.95787603204981
g__Cnuella,-2.15149732986031,depleted,0.00853894944069834,g__Cnuella,4.62894076039604
g__Dyadobacter,2.11934798864395,enriched,3.22949567805404e-06,g__Dyadobacter,4.49163589696914
g__Luteolibacter,2.09825302277337,enriched,2.90581448011382e-05,g__Luteolibacter,4.40266574757757
g__Sandaracinus,2.09633630018797,enriched,2.46925801544987e-12,g__Sandaracinus,4.3946258834858
g__Dyella,-2.09585835941983,depleted,0.00266844131154921,g__Dyella,4.39262226274996
g__unclassified_f__Microscillaceae,2.08846652331327,enriched,2.64633453463381e-10,g__unclassified_f__Microscillaceae,4.36169241900024
g__unclassified_o__CCM11a,2.08515134212318,enriched,0.00803547808259408,g__unclassified_o__CCM11a,4.34785611955809
g__unclassified_f__WWH38,-2.07035671018244,depleted,0.00858026318883005,g__unclassified_f__WWH38,4.28637690739744
g__Alsobacter,-2.00433691133321,depleted,0.00122113400321104,g__Alsobacter,4.01736645413274
g__unclassified_o__PLTA13,1.99885962474465,enriched,3.3162819538543e-15,g__unclassified_o__PLTA13,3.99543979943434
g__unclassified_p__GAL15,1.99404185664115,enriched,0.000450686925206747,g__unclassified_p__GAL15,3.97620292603689
g__Panacagrimonas,1.95417417346267,enriched,0.0040504477267591,g__Panacagrimonas,3.81879670022853
g__unclassified_c__Anaerolineae,1.95347135130518,enriched,1.47538075440458e-05,g__unclassified_c__Anaerolineae,3.8160503203701
g__OLB12,1.94838839586915,enriched,0.00341453867427537,g__OLB12,3.79621734115757
g__Glycomyces,1.91635914432557,enriched,0.000259322226464176,g__Glycomyces,3.67243237004023
g__Burkholderia-Caballeronia-Paraburkholderia,-1.9144197918903,depleted,0.000811430801230901,g__Burkholderia-Caballeronia-Paraburkholderia,3.66500313958132
g__Promicromonospora,1.90883029113345,enriched,3.48178392311284e-05,g__Promicromonospora,3.6436330803486
g__unclassified_f__CPla-3_termite_group,-1.89574570678709,depleted,3.96789284742503e-05,g__unclassified_f__CPla-3_termite_group,3.5938517848017
g__Pseudomonas,1.89341463668891,enriched,3.30064457136917e-08,g__Pseudomonas,3.5850189864278
g__Variovorax,1.87543707301533,enriched,7.29821339323645e-09,g__Variovorax,3.51726421484029
g__Aurantisolimonas,-1.86834684791977,depleted,0.00345640223708251,g__Aurantisolimonas,3.49071994413176
g__Legionella,-1.85226273087222,depleted,0.000687379420752764,g__Legionella,3.43087722417823
g__Sporichthya,1.82265892322896,enriched,0.0079366913315965,g__Sporichthya,3.32208555042614
g__Oceanobacillus,-1.79628682403282,depleted,0.00743560767208518,g__Oceanobacillus,3.2266463541939
g__unclassified_c__OM190,1.76420023750065,enriched,5.54417250474585e-05,g__unclassified_c__OM190,3.11240247799735
g__Angustibacter,-1.74766684085214,depleted,8.94135029961168e-10,g__Angustibacter,3.0543393866141
g__Sphingobium,1.73827894612317,enriched,0.0113587771053795,g__Sphingobium,3.02161369453508
g__Nitrosomonas,1.71438687471081,enriched,5.84037974953112e-05,g__Nitrosomonas,2.93912235618069
g__Polaromonas,1.69692082567827,enriched,0.0101324558610908,g__Polaromonas,2.87954028862061
g__BIyi10,1.66263071824329,enriched,5.73788586166473e-06,g__BIyi10,2.76434090524618
g__Lechevalieria,1.6371515548722,enriched,1.45097721474185e-09,g__Lechevalieria,2.68026521362047
g__unclassified_f__Diplorickettsiaceae,-1.63102916164624,depleted,0.00198330877329892,g__unclassified_f__Diplorickettsiaceae,2.66025612614044
g__Bdellovibrio,-1.60618563515943,depleted,2.07749146111878e-05,g__Bdellovibrio,2.57983229459251
g__unclassified_c__Subgroup_11,1.60420397316287,enriched,1.15272238848197e-07,g__unclassified_c__Subgroup_11,2.57347038751153
g__unclassified_f__A21b,-1.59324737785799,depleted,4.95347949204237e-12,g__unclassified_f__A21b,2.53843720705136
g__unclassified_f__NS11-12_marine_group,1.58991333856597,enriched,0.00103852664826364,g__unclassified_f__NS11-12_marine_group,2.52782442415
g__Nibribacter,-1.58557787791227,depleted,0.0039307455644157,g__Nibribacter,2.51405720692479
g__unclassified_o__0319-7L14,1.55243477581942,enriched,2.64554801159064e-05,g__unclassified_o__0319-7L14,2.41005373317349
g__unclassified_p__NB1-j,1.53702886332624,enriched,3.32070907339518e-07,g__unclassified_p__NB1-j,2.36245772669795
g__Pedobacter,1.53463886978206,enriched,0.00487442714139728,g__Pedobacter,2.35511646064597
g__Noviherbaspirillum,-1.50857209742455,depleted,1.47185846194077e-14,g__Noviherbaspirillum,2.27578977312789
g__unclassified_c__BD2-11_terrestrial_group,1.48417997382106,enriched,0.00019233614184667,g__unclassified_c__BD2-11_terrestrial_group,2.20279019469148
g__Gemmatimonas,-1.48274034744735,depleted,8.80159267007738e-25,g__Gemmatimonas,2.19851893794829
g__Brevundimonas,1.4814300866742,enriched,0.0104814439563818,g__Brevundimonas,2.19463510170354
g__unclassified_o__Rhodospirillales,-1.46391532526817,depleted,0.00377012129070898,g__unclassified_o__Rhodospirillales,2.14304807955502
g__Geodermatophilus,-1.43899541534567,depleted,3.27372835244575e-06,g__Geodermatophilus,2.07070780538587
g__SWB02,1.43245957127822,enriched,1.27886857735442e-09,g__SWB02,2.05194042334659
g__unclassified_c__AKAU4049,1.42868410877046,enriched,0.000782100880862204,g__unclassified_c__AKAU4049,2.04113828265325
g__unclassified_c__Pla4_lineage,1.42866095301831,enriched,0.00880427054135804,g__unclassified_c__Pla4_lineage,2.04107211867919
g__MND1,1.40142616397982,enriched,4.33585232930354e-13,g__MND1,1.9639952930872
g__Dokdonella,-1.39823816211956,depleted,3.33811021001115e-06,g__Dokdonella,1.95506995800749
g__unclassified_f__Sandaracinaceae,1.39328815059724,enriched,5.74974224019909e-11,g__unclassified_f__Sandaracinaceae,1.94125187059469
g__unclassified_o__Actinomarinales,1.38487821692495,enriched,7.94871286526677e-08,g__unclassified_o__Actinomarinales,1.91788767571322
g__Phaselicystis,1.3801879750513,enriched,1.72506352252026e-06,g__Phaselicystis,1.90491884647621
g__Chthonomonas,-1.37262481242635,depleted,0.00327724069491427,g__Chthonomonas,1.88409887568846
