,logFC,level,p,Genus,ord
R09853,6.36175863197109,enriched,2.65930279980065e-13,R09853,40.4719728914586
R09858,6.36175863197109,enriched,2.65930279980065e-13,R09858,40.4719728914586
R10485,5.12467146404384,enriched,1.18784934920557e-08,R10485,26.2622576143852
R09811,4.68164324097935,enriched,3.06944431151984e-08,R09811,21.9177834358076
R02528,4.64802335629465,enriched,6.7415499302061e-08,R02528,21.6041211206606
R06701,4.5269988819392,enriched,6.42581279306218e-07,R06701,20.4937188770787
R09269,4.5269988819392,enriched,6.42581279306218e-07,R09269,20.4937188770787
R00502,-4.43308869915052,depleted,1.46423462393058e-09,R00502,19.6522754145361
R01381,-4.43308869915052,depleted,1.46423462393058e-09,R01381,19.6522754145361
R03077,-4.43308869915052,depleted,1.46423462393058e-09,R03077,19.6522754145361
R08845,-4.43308869915052,depleted,1.46423462393058e-09,R08845,19.6522754145361
R00618,4.36921771383691,enriched,1.75106536311177e-06,R00618,19.0900634309063
R06703,4.36449293489855,enriched,3.27130019846713e-07,R06703,19.0487985787793
R06713,4.36449293489855,enriched,3.27130019846713e-07,R06713,19.0487985787793
R10312,-4.3538827080957,depleted,1.43950455400528e-06,R10312,18.9562946358547
R00374,4.32019697262726,enriched,2.34930547773677e-11,R00374,18.6641018822977
R05704,4.32019697262726,enriched,2.34930547773677e-11,R05704,18.6641018822977
R11710,4.29928373650186,enriched,2.75775133081622e-06,R11710,18.4838406469494
R10486,4.2765949556632,enriched,3.08066650479384e-06,R10486,18.289264414804
R10099,-4.15080919738037,depleted,5.59130142402443e-06,R10099,17.2292169930575
R07761,4.13764699439751,enriched,6.70629896864275e-06,R07761,17.1201226502468
R09449,4.13764699439751,enriched,6.70629896864275e-06,R09449,17.1201226502468
R10828,4.13764699439751,enriched,6.70629896864275e-06,R10828,17.1201226502468
R08088,4.12420846521907,enriched,5.75886686477474e-08,R08088,17.0090954645846
R11412,4.02012127722307,enriched,2.38669230236783e-07,R11412,16.1613750835816
R02394,3.98857163954414,enriched,1.49341481460504e-05,R02394,15.9087037237758
R11237,3.89178249406351,enriched,2.59260513566816e-05,R11237,15.1459709810992
R11246,3.89178249406351,enriched,2.59260513566816e-05,R11246,15.1459709810992
R11402,3.89178249406351,enriched,2.59260513566816e-05,R11402,15.1459709810992
R11244,3.87927310167363,enriched,9.38424657735083e-07,R11244,15.0487597973685
R08912,3.74042453130693,enriched,5.57868235102349e-16,R08912,13.9907756744027
R08913,3.74042453130693,enriched,5.57868235102349e-16,R08913,13.9907756744027
R02335,3.72359107125682,enriched,3.67712956057003e-06,R02335,13.8651304659435
R06028,3.72359107125682,enriched,3.67712956057003e-06,R06028,13.8651304659435
R10519,3.72182242357467,enriched,3.68326194185922e-06,R10519,13.8519621526232
R11418,3.712713191277,enriched,3.05194582795323e-06,R11418,13.7842392406822
R06264,3.62608217739581,enriched,2.70150629294585e-07,R06264,13.1484719572276
R07419,3.55269516698034,enriched,0.000135881655807632,R07419,12.6216429494855
R06772,3.55267777851232,enriched,3.04599074248312e-15,R06772,12.6215193979353
R00295,3.54603005687038,enriched,1.46840159102878e-05,R00295,12.5743291642281
R00861,3.54603005687038,enriched,1.46840159102878e-05,R00861,12.5743291642281
R08035,3.54603005687038,enriched,1.46840159102878e-05,R08035,12.5743291642281
R11941,3.53979948285079,enriched,9.93806399354253e-22,R11941,12.5301803787908
R11123,3.52061740322122,enriched,2.05218633588791e-09,R11123,12.3947468998641
R11080,3.44549136095263,enriched,1.7184048295303e-05,R11080,11.8714107183992
R11139,3.38528414918618,enriched,8.80282639794124e-09,R11139,11.4601487707312
R06627,3.34419821653549,enriched,1.12250478768277e-14,R06627,11.1836617114792
