,logFC,level,p,Genus,ord
K13066,-5.00489456776561,depleted,3.68666017504968e-24,K13066,25.0489696344497
K11188,4.92230551014692,enriched,7.69885905370155e-09,K11188,24.2290915352228
K24188,-4.85087540902354,depleted,1.5367406621456e-17,K24188,23.5309922338693
K00660,-4.58638749904184,depleted,3.80466651476928e-29,K00660,21.0349502913672
K02715,4.45406560078718,enriched,0.000146570870828638,K02715,19.8387003761156
K17911,-3.91610057139364,depleted,3.9102229435094e-18,K17911,15.3358436852696
K07192,-3.7394208399352,depleted,7.92799885667693e-13,K07192,13.9832682181417
K22547,-3.6430997751307,depleted,9.86404966688191e-18,K22547,13.2721759715574
K11153,-3.40008317554356,depleted,1.17868730500876e-14,K11153,11.5605656006144
K12133,-3.07335456800161,depleted,3.24080703034488e-53,K12133,9.44550830065636
K10529,-3.05377766999303,depleted,8.95283766987525e-17,K10529,9.32555805774805
K10384,-2.96912054929187,depleted,8.41757583198776e-06,K10384,8.81567683622723
K03564,2.95347439975945,enriched,0.000261087093572734,K03564,8.72301103003446
K13449,-2.93348214470789,depleted,1.27274551883087e-07,K13449,8.60531749332
K03147,2.91712607761391,enriched,2.25195410612404e-23,K03147,8.50962455269513
K02699,-2.76925647219697,depleted,0.00102270084670921,K02699,7.66878140880479
K17912,-2.72282376285057,depleted,4.32674444881201e-06,K17912,7.41376924354371
K24444,2.6094887874622,enriched,6.42709814011771e-11,K24444,6.80943173189096
K12930,2.59584681023485,enriched,1.40037448681063e-05,K12930,6.73842066220646
K04124,-2.52093607735213,depleted,5.20888686660831e-06,K04124,6.35511870609555
K05770,2.49377052969262,enriched,1.0409157968633e-05,K05770,6.21889145476341
K02705,2.40565215693918,enriched,2.97801617602223e-05,K02705,5.78716230018612
K15797,-2.37961657892402,depleted,2.50649574001425e-05,K15797,5.66257506269004
K00318,2.33156528140397,enriched,8.69294694601356e-12,K00318,5.43619666144836
K13051,2.30579988803346,enriched,1.38933208336373e-12,K13051,5.3167131236551
K08241,-2.21010097005292,depleted,1.27497443988985e-19,K08241,4.88454629782885
K02716,-2.16608093792005,depleted,0.00607570406813686,K02716,4.69190662962059
K13434,2.16560833629682,enriched,0.00078555715189044,K13434,4.68985946623826
K04122,-2.11604574091161,depleted,1.47180912400757e-07,K04122,4.47764957763018
K19219,-2.10701245142201,depleted,1.57576214557157e-09,K19219,4.43950147044739
K13034,-2.10687138237636,depleted,1.87669000147692e-12,K13034,4.43890702187645
K00522,2.10673372845861,enriched,1.33751056085668e-16,K00522,4.43832700262513
K06617,2.1051734218171,enriched,1.16203513736167e-08,K06617,4.4317551359251
K20771,-2.1050841069446,depleted,2.91712270753287e-07,K20771,4.43137909731073
K14043,-2.08788768202597,depleted,0.000228967237928869,K14043,4.35927497275576
K12639,-2.03068254494903,depleted,4.22380119270738e-13,K12639,4.12367159836066
K03695,2.00860147387352,enriched,1.92325162309162e-05,K03695,4.03447988084686
K00224,1.97587009547476,enriched,1.94151017746787e-07,K00224,3.90406263419142
K14332,-1.97337474671057,depleted,1.93078647732716e-05,K14332,3.894207890955
K09840,1.97157632144066,enriched,1.69463534219436e-15,K09840,3.88711319126549
K13064,-1.97005181556613,depleted,1.66434704035506e-17,K13064,3.8811041560154
K12127,1.96408925622802,enriched,6.8358283318698e-29,K12127,3.85764660643035
K16085,-1.9631731141013,depleted,9.19248316733063e-05,K16085,3.8540486759302
K09377,-1.92554151798999,depleted,1.42088874788665e-12,K09377,3.70771013750319
K13029,-1.92394567988938,depleted,1.00427452656694e-21,K13029,3.70156697916502
K23869,1.91219206044115,enriched,3.16980866676608e-12,K23869,3.65647847601417
K00645,-1.88916688282152,depleted,1.3270157085763e-11,K00645,3.56895151114957
K19011,-1.8789500434357,depleted,1.87239636728763e-12,K19011,3.53045326572702
K12116,1.85977699831209,enriched,0.00094048479069929,K12116,3.45877048345075
K02110,1.83215138437653,enriched,0.0025134986165442,K02110,3.35677869527282
K15400,-1.8285040209728,depleted,3.90597445151482e-08,K15400,3.3434269547137
K01762,1.82353073895971,enriched,5.85921156335503e-07,K01762,3.32526435593094
K07019,-1.82342633276773,depleted,3.94801990125473e-08,K07019,3.32488359103079
K09590,-1.79779131659246,depleted,0.000136610028558097,K09590,3.23205361801526
K09843,1.79184363151484,enriched,2.08960958412662e-08,K09843,3.2107035998003
K23180,-1.79128499956122,depleted,0.000115367267771469,K23180,3.20870194965302
K02372,-1.79038802254795,depleted,8.33683588469045e-10,K02372,3.20548927128316
K13226,1.78804075501725,enriched,3.53292147212624e-05,K13226,3.19708974160267
K19366,1.76767361820563,enriched,3.64141044348402e-07,K19366,3.12467002050019
K13222,1.75489611175793,enriched,4.00802152764776e-06,K13222,3.0796603630631
K16297,-1.75211673690019,depleted,4.23765637355683e-24,K16297,3.06991305972578
K09872,-1.71510804404332,depleted,2.51781230916929e-22,K09872,2.94159560274212
K14164,1.68700499400243,enriched,0.0017616131105205,K14164,2.84598584978915
K18980,-1.67302768297549,depleted,0.00900221085322484,K18980,2.79902162800234
K01953,-1.66205263982493,depleted,2.7098744095853e-11,K01953,2.76241897754903
K08905,-1.65662604347479,depleted,0.00284708530614342,K08905,2.74440984791895
K19363,1.65636780787801,enriched,2.23126787907223e-13,K19363,2.74355431497461
K06199,-1.64995800570505,depleted,3.76720830260248e-05,K06199,2.72236142059017
K01006,-1.64650550259371,depleted,0.00167178839991263,K01006,2.71098037007136
K01853,-1.64516416528987,depleted,2.89534582218281e-06,K01853,2.70656513075392
K00208,-1.64363055337154,depleted,3.60215168594057e-13,K00208,2.70152139597643
K20893,1.62514155952393,enriched,0.000233877134750997,K20893,2.64108508849187
K05269,-1.61954697916207,depleted,0.008094276605351,K05269,2.622932417713
K18812,1.59907054365187,enriched,7.0498763545849e-08,K18812,2.55702660357507
K01489,1.5742662749048,enriched,9.74061139857214e-07,K01489,2.47831430430264
K22772,1.55627456082562,enriched,0.00273017782566612,K22772,2.42199050867299
K20604,1.55319957575709,enriched,2.00027626963943e-06,K20604,2.41242892213199
K00648,-1.5526718547674,depleted,1.05481675993013e-09,K00648,2.41078988858683
K24976,-1.54256733136389,depleted,5.92622964642505e-10,K24976,2.3795139717911
K14207,-1.54058115156738,depleted,3.15076420845043e-19,K14207,2.37339028456468
K13083,-1.53844835076023,depleted,4.79327619064176e-15,K13083,2.36682332795687
K19892,1.53389942845475,enriched,2.22900140079636e-07,K19892,2.3528474566138
K15746,1.5217621855241,enriched,5.89973137938702e-07,K15746,2.31576014929109
K15100,1.52098637117968,enriched,2.39400259286371e-05,K15100,2.31339954131433
K09562,1.51070912238919,enriched,1.75638582022441e-06,K09562,2.28224205246992
K05917,-1.50790982594836,depleted,1.48991381168413e-05,K05917,2.2737920431916
K01859,-1.49733706402931,depleted,1.83478207098616e-10,K01859,2.24201828331591
K08994,1.48644652783697,enriched,0.000876968062026813,K08994,2.20952328011858
