,ID,Group,name,orig,name2,orig2
1,A1,Group1,A1_1.fq.gz,KO1_1.fq.gz,A1_2.fq.gz,KO1_2.fq.gz
2,A2,Group1,A2_1.fq.gz,KO2_1.fq.gz,A2_2.fq.gz,KO2_2.fq.gz
3,A3,Group1,A3_1.fq.gz,KO3_1.fq.gz,A3_2.fq.gz,KO3_2.fq.gz
4,A4,Group1,A4_1.fq.gz,KO4_1.fq.gz,A4_2.fq.gz,KO4_2.fq.gz
5,A5,Group1,A5_1.fq.gz,KO5_1.fq.gz,A5_2.fq.gz,KO5_2.fq.gz
6,A6,Group1,A6_1.fq.gz,KO6_1.fq.gz,A6_2.fq.gz,KO6_2.fq.gz
7,A7,Group2,A7_1.fq.gz,OE1_1.fq.gz,A7_2.fq.gz,OE1_2.fq.gz
8,A8,Group2,A8_1.fq.gz,OE2_1.fq.gz,A8_2.fq.gz,OE2_2.fq.gz
9,A9,Group2,A9_1.fq.gz,OE3_1.fq.gz,A9_2.fq.gz,OE3_2.fq.gz
10,A10,Group2,A10_1.fq.gz,OE4_1.fq.gz,A10_2.fq.gz,OE4_2.fq.gz
11,A11,Group2,A11_1.fq.gz,OE5_1.fq.gz,A11_2.fq.gz,OE5_2.fq.gz
12,A12,Group2,A12_1.fq.gz,OE6_1.fq.gz,A12_2.fq.gz,OE6_2.fq.gz
13,A13,Group3,A13_1.fq.gz,WT1_1.fq.gz,A13_2.fq.gz,WT1_2.fq.gz
14,A14,Group3,A14_1.fq.gz,WT2_1.fq.gz,A14_2.fq.gz,WT2_2.fq.gz
15,A15,Group3,A15_1.fq.gz,WT3_1.fq.gz,A15_2.fq.gz,WT3_2.fq.gz
16,A16,Group3,A16_1.fq.gz,WT4_1.fq.gz,A16_2.fq.gz,WT4_2.fq.gz
17,A17,Group3,A17_1.fq.gz,WT5_1.fq.gz,A17_2.fq.gz,WT5_2.fq.gz
18,A18,Group3,A18_1.fq.gz,WT6_1.fq.gz,A18_2.fq.gz,WT6_2.fq.gz
