function	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A2	A3	A4	A5	A6	A7	A8	A9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	65792.73000000001	64263.75	68125.17	63918.880000000005	76804.32999999999	77813.98999999999	74036.82	74487.72	74711.13	74825.73	74649.29000000001	77220.28	74142.67	76914.25	73297.57	64260.23	68349.56	68031.51000000001
1.1.1.136-RXN	5082.280000000001	4729.91	5040.09	5612.71	5080.530000000001	4443.14	4877.63	4657.96	4991.5	4907.0	5388.160000000001	5538.05	6392.31	5487.709999999999	6274.800000000001	5423.67	5277.9	4797.4400000000005
1.1.1.145-RXN	116.0	64.0	61.5	94.0	92.5	54.0	174.0	84.0	65.0	79.5	153.0	144.5	79.0	41.0	46.0	96.5	100.0	84.0
1.1.1.170-RXN	33.0	23.0	23.0	42.0	36.0	36.0	40.0	22.0	40.0	49.0	28.0	16.0	20.0	18.0	26.0	40.0	25.0	28.0
1.1.1.197-RXN	41.0	22.0	18.0	52.0	9.0	11.0	9.0	10.0	6.0	14.0	3.0	4.0	30.0	13.0	12.0	64.0	13.0	32.0
1.1.1.215-RXN	9158.75	7712.889999999999	7245.79	6082.75	8089.48	10088.25	7464.38	8307.84	8874.48	7744.24	6463.290000000001	9694.69	9533.8	13336.1	9778.77	5486.07	5121.39	7179.21
1.1.1.251-RXN	0.0	0.0	4.0	2.0	2.0	3.0	1.0	1.0	2.0	10.0	7.0	3.0	2.0	1.0	1.0	20.0	1.0	5.0
1.1.1.253-RXN	3028.41	2840.51	3569.63	3859.06	3126.25	3316.76	4348.120000000001	3764.51	2917.15	3949.18	2996.4800000000005	2926.83	2809.8	2371.51	2998.46	3820.58	3123.04	3282.55
1.1.1.261-RXN	2975.96	2978.7000000000003	3047.37	2969.16	4620.84	4434.99	3760.74	4397.619999999999	3791.85	3691.98	4357.049999999999	2346.44	3283.71	1920.38	2811.8500000000004	3418.94	4032.67	4126.2
1.1.1.264-RXN	4626.860000000001	4396.56	4757.0	3541.7	4685.73	6253.130000000001	4281.17	5151.27	5802.5	4692.89	3497.62	5179.18	5112.299999999999	6429.42	4731.48	3202.84	3896.750000000001	4384.33
1.1.1.271-RXN	11363.6	10551.87	11968.319999999998	11322.080000000002	12794.16	14609.78	12972.46	12389.26	12813.580000000002	11317.03	9973.44	12189.3	11530.98	14405.7	12760.01	11263.02	10001.830000000002	11040.509999999998
1.1.1.289-RXN	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	2.0	0.0	1.0	1.0	17.0	0.0	0.0	0.0
1.1.1.292-RXN	1032.58	939.66	1252.66	999.17	895.08	1474.76	818.16	1046.58	1639.42	1110.59	929.0	1920.84	1773.83	2472.5	1663.25	747.75	934.25	847.6600000000001
1.1.1.34-RXN	54.67	51.0	54.010000000000005	69.66	83.51	41.0	72.84	61.33	45.5	62.17	66.49	119.16	153.33	40.67	59.34	42.0	78.17	26.0
1.1.1.39-RXN	15349.91	17419.43	19630.32	21414.69	23850.06	19902.6	21439.62	21475.42	20929.21	20420.6	25771.25	18081.22	19566.91	12243.31	16189.25	21183.65	22268.73	20488.04
1.1.1.43-RXN	13.3	106.66	55.66	155.84	7.23	15.97	32.43	26.36	34.27	46.370000000000005	24.0	11.07	37.5	38.17000000000001	55.74	36.2	133.8	35.73
1.1.1.51-RXN	89.47	71.38	85.93	106.37	56.45	75.25	96.43	117.63	58.02	81.7	88.15	102.7	161.17000000000002	61.45	200.62	125.4	74.75	78.43
1.1.1.53-RXN	8174.81	7701.82	9396.509999999998	8318.880000000001	14024.59	12618.44	11935.68	13452.36	10844.62	10842.47	14436.51	9413.37	9935.09	7610.51	8210.25	8833.32	10844.11	9733.88
1.1.1.83-RXN	17108.89	14847.68	14873.69	13246.71	16252.71	18081.51	15524.16	16423.03	17879.510000000002	16602.17	14100.63	19824.68	19630.53	24476.27	19735.33	13047.9	11994.94	14389.2
