"","L1S140","L1S208","L1S8","L1S281","L3S242","L2S309","L2S357","L4S112","L2S155","L2S382","L4S63","L2S222","L3S341","L3S360","L2S204","L4S137","L3S294","L2S175","L5S203","L6S93","L6S20","L6S68","L1S257","L3S378","L1S105","L5S174","L5S155","L5S222","L5S104","L1S57","L1S76","L5S240","L3S313","L2S240"
"153978",0,0,0,0,0,3,6,18,22,4,21,12,1,2,7,5,20,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"505587",11,0,0,0,0,47,49,107,78,45,419,18,2,1,15,105,19,27,0,0,1,0,0,2,1,0,0,0,0,0,1,0,16,12
"1060621",0,1,1,0,0,13,55,112,22,76,42,7,4,2,8,186,10,31,122,490,1210,615,0,0,0,24,157,132,7,0,0,131,0,507
"898309",0,0,0,0,0,0,2,4,1,1,4,3,1,0,0,14,0,11,7,294,35,40,0,0,0,3,4,34,47,0,0,17,2,34
"365628",24,20,87,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,32,0,0,0,0,75,23,0,0,0
"1042479",0,0,2,0,1,1,0,3,1,11,6,0,0,1,1,31,0,12,93,751,113,106,0,0,0,519,83,293,119,0,0,52,2,190
"1090059",0,1,0,0,1,5,3,40,4,9,30,2,3,1,2,48,2,17,41,34,31,141,0,0,0,24,29,30,64,1,0,50,6,60
"1008348",0,0,0,0,0,3,7,6,3,3,5,10,5,2,5,33,0,26,1,10,0,3,0,0,0,0,0,0,1,0,0,0,2,0
"503236",1,0,0,0,0,5,3,10,10,6,66,5,3,0,1,31,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"817734",0,0,0,0,0,6,4,4,3,0,19,27,4,7,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"1066621",0,0,0,0,0,2,1,1,0,3,2,0,0,1,2,11,0,5,57,259,66,44,0,0,1,202,42,134,69,0,0,21,2,34
"1073276",0,1,0,1,0,2,5,16,0,4,10,1,1,0,3,14,2,11,61,28,25,49,0,0,0,29,53,41,51,0,1,11,3,36
"312140",11,24,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,0,0,0,0,5,11,0,0,0
"4456091",0,0,0,0,0,6,1,7,16,0,128,10,1,6,9,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"465989",0,0,0,0,0,0,1,8,22,2,15,3,6,2,4,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"4298899",0,0,0,0,0,0,2,5,6,11,3,2,0,1,0,32,0,3,9,5,15,5,0,0,0,0,3,1,1,0,0,5,1,9
"581079",19,11,41,5,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,5,9,0,0,0,0,6,4,0,0,0
"716006",0,0,0,1,1,70,27,102,9,2,234,22,2,3,4,3,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
"503406",0,0,0,0,0,7,13,10,24,2,59,3,0,0,3,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"1047041",0,0,0,0,0,21,68,232,164,15,172,36,3,5,17,38,92,927,1,0,0,0,0,0,1,0,0,0,0,0,0,0,202,4
"579608",0,7,23,3,2,5,46,200,23,15,20,17,7,4,20,72,9,94,69,87,99,39,2,0,0,44,87,7,29,2,0,38,55,119
"300586",0,0,0,0,1,14,3,4,39,0,227,21,5,5,26,2,4,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
"324532",0,0,0,0,0,0,0,3,0,15,0,0,0,1,0,10,0,3,10,26,19,24,0,0,0,4,2,7,1,0,0,3,0,10
"269907",0,0,0,0,0,5,15,63,12,9,13,25,57,5,13,98,7,77,10,20,3,6,0,0,0,2,0,3,0,0,0,0,4,0
"1088265",0,0,0,0,0,35,25,89,9,35,95,8,2,0,3,26,9,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1
"787709",0,0,0,0,0,2,4,13,0,2,9,0,0,0,2,30,0,1,19,10,78,21,0,0,0,30,8,9,20,0,0,6,1,29
